Date Time, Prediction, Type
2018-11-01 04:06,0.002,L
2018-11-01 12:18,2.504,H
2018-11-01 18:36,1.507,L
2018-11-01 22:30,1.737,H
2018-11-02 05:14,0.198,L
2018-11-02 13:06,2.524,H
2018-11-02 19:23,1.210,L
2018-11-03 00:13,1.724,H
2018-11-03 06:19,0.401,L
2018-11-03 13:45,2.539,H
2018-11-03 20:02,0.883,L
2018-11-04 01:47,1.831,H
2018-11-04 07:19,0.614,L
2018-11-04 14:20,2.544,H
2018-11-04 20:37,0.552,L
2018-11-05 03:03,2.002,H
2018-11-05 08:14,0.840,L
2018-11-05 14:50,2.536,H
2018-11-05 21:12,0.247,L
2018-11-06 04:07,2.179,H
2018-11-06 09:04,1.074,L
2018-11-06 15:18,2.514,H
2018-11-06 21:47,-0.007,L
2018-11-07 05:03,2.331,H
2018-11-07 09:52,1.302,L
2018-11-07 15:46,2.471,H
2018-11-07 22:22,-0.191,L
2018-11-08 05:55,2.448,H
2018-11-08 10:40,1.510,L
2018-11-08 16:13,2.408,H
2018-11-08 22:58,-0.295,L
2018-11-09 06:45,2.525,H
2018-11-09 11:29,1.683,L
2018-11-09 16:40,2.323,H
2018-11-09 23:35,-0.319,L
2018-11-10 07:34,2.564,H
2018-11-10 12:24,1.813,L
2018-11-10 17:10,2.217,H
2018-11-11 00:14,-0.272,L
2018-11-11 08:24,2.570,H
2018-11-11 13:29,1.888,L
2018-11-11 17:42,2.091,H
2018-11-12 00:55,-0.163,L
2018-11-12 09:15,2.552,H
2018-11-12 15:04,1.892,L
2018-11-12 18:18,1.951,H
2018-11-13 01:39,-0.010,L
2018-11-13 10:07,2.521,H
2018-11-14 02:27,0.173,L
2018-11-14 10:58,2.487,H
2018-11-15 03:20,0.368,L
2018-11-15 11:44,2.458,H
2018-11-15 19:12,1.454,L
2018-11-15 21:31,1.520,H
2018-11-16 04:19,0.560,L
2018-11-16 12:21,2.435,H
2018-11-16 19:39,1.260,L
2018-11-16 23:07,1.467,H
2018-11-17 05:19,0.739,L
2018-11-17 12:51,2.421,H
2018-11-17 19:58,1.045,L
2018-11-18 00:50,1.528,H
2018-11-18 06:17,0.907,L
2018-11-18 13:17,2.420,H
2018-11-18 20:13,0.802,L
2018-11-19 02:14,1.685,H
2018-11-19 07:10,1.072,L
2018-11-19 13:42,2.431,H
2018-11-19 20:31,0.526,L
2018-11-20 03:15,1.885,H
2018-11-20 07:58,1.235,L
2018-11-20 14:08,2.450,H
2018-11-20 20:55,0.230,L
2018-11-21 04:05,2.092,H
2018-11-21 08:44,1.399,L
2018-11-21 14:35,2.470,H
2018-11-21 21:25,-0.066,L
2018-11-22 04:52,2.285,H
2018-11-22 09:28,1.558,L
2018-11-22 15:04,2.485,H
2018-11-22 21:58,-0.332,L
2018-11-23 05:38,2.450,H
2018-11-23 10:13,1.704,L
2018-11-23 15:34,2.485,H
2018-11-23 22:36,-0.538,L
2018-11-24 06:26,2.576,H
2018-11-24 11:01,1.827,L
2018-11-24 16:07,2.460,H
2018-11-24 23:17,-0.659,L
2018-11-25 07:14,2.656,H
2018-11-25 11:52,1.914,L
2018-11-25 16:44,2.399,H
2018-11-26 00:02,-0.681,L
2018-11-26 08:05,2.695,H
2018-11-26 12:51,1.950,L
2018-11-26 17:28,2.291,H
2018-11-27 00:50,-0.599,L
2018-11-27 08:57,2.702,H
2018-11-27 14:02,1.918,L
2018-11-27 18:22,2.132,H
2018-11-28 01:42,-0.420,L
2018-11-28 09:50,2.693,H
2018-11-28 15:31,1.789,L
2018-11-28 19:31,1.931,H
2018-11-29 02:37,-0.161,L
2018-11-29 10:41,2.677,H
2018-11-29 17:14,1.543,L
2018-11-29 20:57,1.725,H
2018-11-30 03:37,0.156,L
2018-11-30 11:29,2.662,H
2018-11-30 18:22,1.218,L
2018-11-30 22:40,1.589,H
