Date Time, Prediction, Type
2018-10-01 02:32,-0.069,L
2018-10-01 10:28,2.157,H
2018-10-01 15:12,1.728,L
2018-10-01 20:15,2.098,H
2018-10-02 03:32,-0.077,L
2018-10-02 11:53,2.208,H
2018-10-02 16:38,1.786,L
2018-10-02 21:13,2.018,H
2018-10-03 04:37,-0.060,L
2018-10-03 13:03,2.289,H
2018-10-03 18:06,1.713,L
2018-10-03 22:30,1.952,H
2018-10-04 05:45,-0.033,L
2018-10-04 13:55,2.363,H
2018-10-04 19:12,1.533,L
2018-10-04 23:56,1.936,H
2018-10-05 06:49,0.009,L
2018-10-05 14:35,2.419,H
2018-10-05 20:01,1.285,L
2018-10-06 01:20,1.989,H
2018-10-06 07:47,0.085,L
2018-10-06 15:10,2.453,H
2018-10-06 20:44,0.997,L
2018-10-07 02:34,2.082,H
2018-10-07 08:39,0.216,L
2018-10-07 15:42,2.470,H
2018-10-07 21:24,0.700,L
2018-10-08 03:39,2.180,H
2018-10-08 09:26,0.402,L
2018-10-08 16:11,2.470,H
2018-10-08 22:04,0.423,L
2018-10-09 04:39,2.258,H
2018-10-09 10:12,0.636,L
2018-10-09 16:40,2.452,H
2018-10-09 22:44,0.191,L
2018-10-10 05:36,2.311,H
2018-10-10 10:57,0.898,L
2018-10-10 17:09,2.410,H
2018-10-10 23:24,0.027,L
2018-10-11 06:33,2.339,H
2018-10-11 11:44,1.163,L
2018-10-11 17:38,2.342,H
2018-10-12 00:05,-0.060,L
2018-10-12 07:31,2.346,H
2018-10-12 12:35,1.409,L
2018-10-12 18:08,2.248,H
2018-10-13 00:48,-0.069,L
2018-10-13 08:32,2.339,H
2018-10-13 13:33,1.611,L
2018-10-13 18:40,2.131,H
2018-10-14 01:32,-0.010,L
2018-10-14 09:39,2.327,H
2018-10-14 14:49,1.745,L
2018-10-14 19:16,1.998,H
2018-10-15 02:21,0.101,L
2018-10-15 10:52,2.323,H
2018-10-15 16:53,1.770,L
2018-10-15 19:58,1.860,H
2018-10-16 03:15,0.237,L
2018-10-16 12:02,2.333,H
2018-10-16 18:38,1.677,L
2018-10-16 20:56,1.731,H
2018-10-17 04:16,0.370,L
2018-10-17 12:59,2.344,H
2018-10-17 19:35,1.541,L
2018-10-17 22:12,1.635,H
2018-10-18 05:20,0.476,L
2018-10-18 13:42,2.347,H
2018-10-18 20:10,1.392,L
2018-10-18 23:41,1.609,H
2018-10-19 06:22,0.554,L
2018-10-19 14:14,2.339,H
2018-10-19 20:34,1.231,L
2018-10-20 01:05,1.667,H
2018-10-20 07:15,0.619,L
2018-10-20 14:37,2.328,H
2018-10-20 20:51,1.051,L
2018-10-21 02:12,1.776,H
2018-10-21 08:01,0.693,L
2018-10-21 14:56,2.327,H
2018-10-21 21:07,0.841,L
2018-10-22 03:07,1.904,H
2018-10-22 08:42,0.789,L
2018-10-22 15:15,2.339,H
2018-10-22 21:29,0.603,L
2018-10-23 03:56,2.036,H
2018-10-23 09:21,0.915,L
2018-10-23 15:37,2.356,H
2018-10-23 21:55,0.350,L
2018-10-24 04:43,2.163,H
2018-10-24 09:59,1.068,L
2018-10-24 16:02,2.368,H
2018-10-24 22:26,0.102,L
2018-10-25 05:30,2.275,H
2018-10-25 10:38,1.242,L
2018-10-25 16:29,2.367,H
2018-10-25 23:01,-0.117,L
2018-10-26 06:20,2.366,H
2018-10-26 11:21,1.426,L
2018-10-26 16:58,2.347,H
2018-10-26 23:40,-0.283,L
2018-10-27 07:13,2.427,H
2018-10-27 12:07,1.602,L
2018-10-27 17:29,2.305,H
2018-10-28 00:23,-0.375,L
2018-10-28 08:09,2.460,H
2018-10-28 13:00,1.752,L
2018-10-28 18:03,2.236,H
2018-10-29 01:10,-0.385,L
2018-10-29 09:11,2.470,H
2018-10-29 14:04,1.849,L
2018-10-29 18:44,2.137,H
2018-10-30 02:03,-0.314,L
2018-10-30 10:16,2.474,H
2018-10-30 15:27,1.859,L
2018-10-30 19:39,2.002,H
2018-10-31 03:02,-0.177,L
2018-10-31 11:21,2.484,H
2018-10-31 17:13,1.741,L
2018-10-31 20:56,1.852,H
