Date Time, Prediction, Type
2018-11-01 04:18,-0.022,L
2018-11-01 12:28,2.814,H
2018-11-01 19:16,1.531,L
2018-11-01 22:28,1.676,H
2018-11-02 05:25,0.201,L
2018-11-02 13:12,2.809,H
2018-11-02 19:57,1.194,L
2018-11-03 00:30,1.691,H
2018-11-03 06:35,0.441,L
2018-11-03 13:51,2.792,H
2018-11-03 20:34,0.827,L
2018-11-04 02:04,1.856,H
2018-11-04 07:41,0.685,L
2018-11-04 14:25,2.763,H
2018-11-04 21:11,0.464,L
2018-11-05 03:19,2.081,H
2018-11-05 08:42,0.934,L
2018-11-05 14:58,2.720,H
2018-11-05 21:47,0.140,L
2018-11-06 04:24,2.312,H
2018-11-06 09:38,1.180,L
2018-11-06 15:28,2.662,H
2018-11-06 22:24,-0.117,L
2018-11-07 05:22,2.513,H
2018-11-07 10:32,1.413,L
2018-11-07 15:57,2.586,H
2018-11-07 22:59,-0.289,L
2018-11-08 06:14,2.663,H
2018-11-08 11:24,1.617,L
2018-11-08 16:24,2.491,H
2018-11-08 23:34,-0.374,L
2018-11-09 07:04,2.755,H
2018-11-09 12:17,1.786,L
2018-11-09 16:50,2.379,H
2018-11-10 00:09,-0.377,L
2018-11-10 07:54,2.795,H
2018-11-10 13:13,1.910,L
2018-11-10 17:12,2.255,H
2018-11-11 00:44,-0.315,L
2018-11-11 08:44,2.796,H
2018-11-11 14:20,1.978,L
2018-11-11 17:29,2.125,H
2018-11-12 01:20,-0.203,L
2018-11-12 09:35,2.774,H
2018-11-13 01:59,-0.055,L
2018-11-13 10:25,2.741,H
2018-11-14 02:40,0.119,L
2018-11-14 11:13,2.708,H
2018-11-15 03:25,0.311,L
2018-11-15 11:55,2.678,H
2018-11-16 04:15,0.518,L
2018-11-16 12:32,2.654,H
2018-11-16 20:16,1.264,L
2018-11-16 23:23,1.367,H
2018-11-17 05:11,0.732,L
2018-11-17 13:03,2.636,H
2018-11-17 20:22,1.025,L
2018-11-18 01:16,1.478,H
2018-11-18 06:13,0.942,L
2018-11-18 13:30,2.622,H
2018-11-18 20:39,0.755,L
2018-11-19 02:31,1.691,H
2018-11-19 07:16,1.142,L
2018-11-19 13:55,2.611,H
2018-11-19 21:02,0.464,L
2018-11-20 03:32,1.949,H
2018-11-20 08:14,1.331,L
2018-11-20 14:20,2.601,H
2018-11-20 21:28,0.167,L
2018-11-21 04:26,2.222,H
2018-11-21 09:08,1.515,L
2018-11-21 14:45,2.590,H
2018-11-21 21:57,-0.119,L
2018-11-22 05:15,2.484,H
2018-11-22 10:02,1.691,L
2018-11-22 15:10,2.575,H
2018-11-22 22:30,-0.375,L
2018-11-23 06:02,2.712,H
2018-11-23 10:56,1.851,L
2018-11-23 15:38,2.551,H
2018-11-23 23:06,-0.577,L
2018-11-24 06:49,2.888,H
2018-11-24 11:51,1.984,L
2018-11-24 16:08,2.510,H
2018-11-24 23:45,-0.704,L
2018-11-25 07:38,3.004,H
2018-11-25 12:49,2.075,L
2018-11-25 16:41,2.439,H
2018-11-26 00:26,-0.734,L
2018-11-26 08:29,3.063,H
2018-11-26 13:56,2.101,L
2018-11-26 17:17,2.322,H
2018-11-27 01:11,-0.658,L
2018-11-27 09:21,3.077,H
2018-11-27 15:15,2.029,L
2018-11-27 17:59,2.146,H
2018-11-28 01:59,-0.474,L
2018-11-28 10:11,3.058,H
2018-11-28 16:39,1.842,L
2018-11-28 18:58,1.906,H
2018-11-29 02:52,-0.195,L
2018-11-29 10:58,3.019,H
2018-11-29 17:55,1.548,L
2018-11-29 20:45,1.647,H
2018-11-30 03:48,0.156,L
2018-11-30 11:42,2.970,H
2018-11-30 18:51,1.183,L
2018-11-30 23:00,1.523,H
