Date Time, Prediction, Type
2018-11-01 04:59,0.002,L
2018-11-01 12:48,2.694,H
2018-11-01 19:29,1.586,L
2018-11-01 23:00,1.878,H
2018-11-02 06:07,0.208,L
2018-11-02 13:36,2.715,H
2018-11-02 20:16,1.274,L
2018-11-03 00:43,1.864,H
2018-11-03 07:12,0.422,L
2018-11-03 14:15,2.731,H
2018-11-03 20:55,0.929,L
2018-11-04 02:17,1.978,H
2018-11-04 08:12,0.646,L
2018-11-04 14:50,2.736,H
2018-11-04 21:30,0.581,L
2018-11-05 03:33,2.160,H
2018-11-05 09:07,0.884,L
2018-11-05 15:20,2.728,H
2018-11-05 22:05,0.260,L
2018-11-06 04:37,2.348,H
2018-11-06 09:57,1.130,L
2018-11-06 15:48,2.704,H
2018-11-06 22:40,-0.007,L
2018-11-07 05:33,2.510,H
2018-11-07 10:45,1.370,L
2018-11-07 16:16,2.659,H
2018-11-07 23:15,-0.201,L
2018-11-08 06:25,2.634,H
2018-11-08 11:33,1.589,L
2018-11-08 16:43,2.592,H
2018-11-08 23:51,-0.310,L
2018-11-09 07:15,2.716,H
2018-11-09 12:22,1.772,L
2018-11-09 17:10,2.501,H
2018-11-10 00:28,-0.336,L
2018-11-10 08:04,2.758,H
2018-11-10 13:17,1.908,L
2018-11-10 17:40,2.388,H
2018-11-11 01:07,-0.286,L
2018-11-11 08:54,2.764,H
2018-11-11 14:22,1.987,L
2018-11-11 18:12,2.254,H
2018-11-12 01:48,-0.172,L
2018-11-12 09:45,2.745,H
2018-11-12 15:57,1.992,L
2018-11-12 18:48,2.105,H
2018-11-13 02:32,-0.010,L
2018-11-13 10:37,2.712,H
2018-11-13 18:17,1.886,L
2018-11-13 19:34,1.943,H
2018-11-14 03:20,0.182,L
2018-11-14 11:28,2.676,H
2018-11-14 19:25,1.720,L
2018-11-14 20:38,1.781,H
2018-11-15 04:13,0.387,L
2018-11-15 12:14,2.645,H
2018-11-15 20:05,1.531,L
2018-11-15 22:01,1.647,H
2018-11-16 05:12,0.589,L
2018-11-16 12:51,2.620,H
2018-11-16 20:32,1.326,L
2018-11-16 23:37,1.591,H
2018-11-17 06:12,0.778,L
2018-11-17 13:21,2.606,H
2018-11-17 20:51,1.100,L
2018-11-18 01:20,1.656,H
2018-11-18 07:10,0.955,L
2018-11-18 13:47,2.604,H
2018-11-18 21:06,0.844,L
2018-11-19 02:44,1.823,H
2018-11-19 08:03,1.128,L
2018-11-19 14:12,2.616,H
2018-11-19 21:24,0.554,L
2018-11-20 03:45,2.035,H
2018-11-20 08:51,1.300,L
2018-11-20 14:38,2.636,H
2018-11-20 21:48,0.242,L
2018-11-21 04:35,2.255,H
2018-11-21 09:37,1.473,L
2018-11-21 15:05,2.658,H
2018-11-21 22:18,-0.069,L
2018-11-22 05:22,2.461,H
2018-11-22 10:21,1.640,L
2018-11-22 15:34,2.674,H
2018-11-22 22:51,-0.349,L
2018-11-23 06:08,2.636,H
2018-11-23 11:06,1.794,L
2018-11-23 16:04,2.674,H
2018-11-23 23:29,-0.566,L
2018-11-24 06:56,2.770,H
2018-11-24 11:54,1.923,L
2018-11-24 16:37,2.647,H
2018-11-25 00:10,-0.694,L
2018-11-25 07:44,2.855,H
2018-11-25 12:45,2.015,L
2018-11-25 17:14,2.582,H
2018-11-26 00:55,-0.717,L
2018-11-26 08:35,2.897,H
2018-11-26 13:44,2.053,L
2018-11-26 17:58,2.467,H
2018-11-27 01:43,-0.631,L
2018-11-27 09:27,2.905,H
2018-11-27 14:55,2.019,L
2018-11-27 18:52,2.298,H
2018-11-28 02:35,-0.442,L
2018-11-28 10:20,2.895,H
2018-11-28 16:24,1.883,L
2018-11-28 20:01,2.084,H
2018-11-29 03:30,-0.169,L
2018-11-29 11:11,2.878,H
2018-11-29 18:07,1.624,L
2018-11-29 21:27,1.865,H
2018-11-30 04:30,0.164,L
2018-11-30 11:59,2.862,H
2018-11-30 19:15,1.282,L
2018-11-30 23:10,1.720,H
