Date Time, Prediction, Type
2018-11-01 04:20,0.063,L
2018-11-01 12:36,2.667,H
2018-11-01 19:08,1.586,L
2018-11-01 22:09,1.698,H
2018-11-02 05:25,0.278,L
2018-11-02 13:18,2.655,H
2018-11-02 19:52,1.264,L
2018-11-03 00:31,1.688,H
2018-11-03 06:33,0.512,L
2018-11-03 13:55,2.633,H
2018-11-03 20:30,0.911,L
2018-11-04 02:06,1.828,H
2018-11-04 07:38,0.752,L
2018-11-04 14:27,2.603,H
2018-11-04 21:08,0.560,L
2018-11-05 03:21,2.021,H
2018-11-05 08:37,0.996,L
2018-11-05 14:57,2.568,H
2018-11-05 21:44,0.247,L
2018-11-06 04:26,2.219,H
2018-11-06 09:32,1.234,L
2018-11-06 15:26,2.525,H
2018-11-06 22:21,-0.001,L
2018-11-07 05:24,2.394,H
2018-11-07 10:25,1.456,L
2018-11-07 15:52,2.470,H
2018-11-07 22:56,-0.169,L
2018-11-08 06:17,2.527,H
2018-11-08 11:15,1.649,L
2018-11-08 16:15,2.403,H
2018-11-08 23:31,-0.253,L
2018-11-09 07:07,2.610,H
2018-11-09 12:06,1.807,L
2018-11-09 16:37,2.324,H
2018-11-10 00:06,-0.261,L
2018-11-10 07:58,2.650,H
2018-11-10 13:00,1.925,L
2018-11-10 16:56,2.236,H
2018-11-11 00:41,-0.207,L
2018-11-11 08:49,2.656,H
2018-11-11 14:04,1.994,L
2018-11-11 17:14,2.140,H
2018-11-12 01:18,-0.106,L
2018-11-12 09:40,2.640,H
2018-11-12 15:29,1.997,L
2018-11-12 17:29,2.033,H
2018-11-13 01:57,0.029,L
2018-11-13 10:30,2.613,H
2018-11-14 02:40,0.188,L
2018-11-14 11:18,2.583,H
2018-11-15 03:26,0.365,L
2018-11-15 12:01,2.554,H
2018-11-16 04:15,0.555,L
2018-11-16 12:37,2.529,H
2018-11-16 19:59,1.347,L
2018-11-16 23:07,1.414,H
2018-11-17 05:10,0.754,L
2018-11-17 13:07,2.508,H
2018-11-17 20:11,1.103,L
2018-11-18 01:15,1.502,H
2018-11-18 06:09,0.953,L
2018-11-18 13:33,2.493,H
2018-11-18 20:32,0.832,L
2018-11-19 02:31,1.686,H
2018-11-19 07:10,1.147,L
2018-11-19 13:55,2.485,H
2018-11-19 20:56,0.545,L
2018-11-20 03:33,1.913,H
2018-11-20 08:07,1.335,L
2018-11-20 14:16,2.484,H
2018-11-20 21:23,0.253,L
2018-11-21 04:28,2.156,H
2018-11-21 09:01,1.520,L
2018-11-21 14:37,2.490,H
2018-11-21 21:54,-0.024,L
2018-11-22 05:19,2.391,H
2018-11-22 09:54,1.698,L
2018-11-22 15:01,2.497,H
2018-11-22 22:28,-0.269,L
2018-11-23 06:08,2.596,H
2018-11-23 10:47,1.862,L
2018-11-23 15:27,2.498,H
2018-11-23 23:05,-0.460,L
2018-11-24 06:56,2.753,H
2018-11-24 11:41,1.999,L
2018-11-24 15:57,2.482,H
2018-11-24 23:44,-0.575,L
2018-11-25 07:47,2.855,H
2018-11-25 12:39,2.096,L
2018-11-25 16:31,2.434,H
2018-11-26 00:27,-0.598,L
2018-11-26 08:39,2.905,H
2018-11-26 13:46,2.129,L
2018-11-26 17:08,2.338,H
2018-11-27 01:13,-0.519,L
2018-11-27 09:31,2.914,H
2018-11-27 15:07,2.067,L
2018-11-27 17:51,2.179,H
2018-11-28 02:02,-0.341,L
2018-11-28 10:20,2.892,H
2018-11-28 16:33,1.890,L
2018-11-28 18:46,1.952,H
2018-11-29 02:54,-0.077,L
2018-11-29 11:07,2.851,H
2018-11-29 17:49,1.610,L
2018-11-29 20:22,1.686,H
2018-11-30 03:48,0.253,L
2018-11-30 11:49,2.803,H
2018-11-30 18:46,1.259,L
2018-11-30 23:00,1.535,H
