Date Time, Prediction, Type
2018-11-01 04:21,0.002,L
2018-11-01 12:20,2.398,H
2018-11-01 18:51,1.427,L
2018-11-01 22:32,1.663,H
2018-11-02 05:29,0.187,L
2018-11-02 13:08,2.417,H
2018-11-02 19:38,1.147,L
2018-11-03 00:15,1.651,H
2018-11-03 06:34,0.380,L
2018-11-03 13:47,2.431,H
2018-11-03 20:17,0.836,L
2018-11-04 01:49,1.753,H
2018-11-04 07:34,0.581,L
2018-11-04 14:22,2.435,H
2018-11-04 20:52,0.523,L
2018-11-05 03:05,1.917,H
2018-11-05 08:29,0.796,L
2018-11-05 14:52,2.428,H
2018-11-05 21:27,0.234,L
2018-11-06 04:09,2.086,H
2018-11-06 09:19,1.017,L
2018-11-06 15:20,2.407,H
2018-11-06 22:02,-0.006,L
2018-11-07 05:05,2.232,H
2018-11-07 10:07,1.233,L
2018-11-07 15:48,2.366,H
2018-11-07 22:37,-0.181,L
2018-11-08 05:57,2.344,H
2018-11-08 10:55,1.430,L
2018-11-08 16:15,2.306,H
2018-11-08 23:13,-0.279,L
2018-11-09 06:47,2.417,H
2018-11-09 11:44,1.595,L
2018-11-09 16:42,2.224,H
2018-11-09 23:50,-0.302,L
2018-11-10 07:36,2.455,H
2018-11-10 12:39,1.717,L
2018-11-10 17:12,2.122,H
2018-11-11 00:29,-0.257,L
2018-11-11 08:26,2.461,H
2018-11-11 13:44,1.788,L
2018-11-11 17:44,2.002,H
2018-11-12 01:10,-0.155,L
2018-11-12 09:17,2.444,H
2018-11-12 15:19,1.793,L
2018-11-12 18:20,1.868,H
2018-11-13 01:54,-0.009,L
2018-11-13 10:09,2.414,H
2018-11-14 02:42,0.164,L
2018-11-14 11:00,2.381,H
2018-11-15 03:35,0.348,L
2018-11-15 11:46,2.354,H
2018-11-15 19:27,1.378,L
2018-11-15 21:33,1.455,H
2018-11-16 04:34,0.530,L
2018-11-16 12:23,2.331,H
2018-11-16 19:54,1.193,L
2018-11-16 23:09,1.405,H
2018-11-17 05:34,0.700,L
2018-11-17 12:53,2.318,H
2018-11-17 20:13,0.990,L
2018-11-18 00:52,1.463,H
2018-11-18 06:32,0.859,L
2018-11-18 13:19,2.317,H
2018-11-18 20:28,0.760,L
2018-11-19 02:16,1.614,H
2018-11-19 07:25,1.015,L
2018-11-19 13:44,2.327,H
2018-11-19 20:46,0.499,L
2018-11-20 03:17,1.805,H
2018-11-20 08:13,1.170,L
2018-11-20 14:10,2.345,H
2018-11-20 21:10,0.218,L
2018-11-21 04:07,2.003,H
2018-11-21 08:59,1.326,L
2018-11-21 14:37,2.365,H
2018-11-21 21:40,-0.062,L
2018-11-22 04:54,2.188,H
2018-11-22 09:43,1.476,L
2018-11-22 15:06,2.380,H
2018-11-22 22:13,-0.314,L
2018-11-23 05:40,2.345,H
2018-11-23 10:28,1.615,L
2018-11-23 15:36,2.380,H
2018-11-23 22:51,-0.509,L
2018-11-24 06:28,2.466,H
2018-11-24 11:16,1.731,L
2018-11-24 16:09,2.355,H
2018-11-24 23:32,-0.625,L
2018-11-25 07:16,2.543,H
2018-11-25 12:07,1.814,L
2018-11-25 16:46,2.297,H
2018-11-26 00:17,-0.645,L
2018-11-26 08:07,2.580,H
2018-11-26 13:06,1.848,L
2018-11-26 17:30,2.193,H
2018-11-27 01:05,-0.568,L
2018-11-27 08:59,2.588,H
2018-11-27 14:17,1.817,L
2018-11-27 18:24,2.041,H
2018-11-28 01:57,-0.398,L
2018-11-28 09:52,2.579,H
2018-11-28 15:46,1.695,L
2018-11-28 19:33,1.849,H
2018-11-29 02:52,-0.152,L
2018-11-29 10:43,2.563,H
2018-11-29 17:29,1.462,L
2018-11-29 20:59,1.652,H
2018-11-30 03:52,0.148,L
2018-11-30 11:31,2.549,H
2018-11-30 18:37,1.154,L
2018-11-30 22:42,1.521,H
