Date Time, Prediction, Type
2018-11-01 03:38,0.023,L
2018-11-01 12:19,2.384,H
2018-11-01 18:49,1.514,L
2018-11-01 21:45,1.635,H
2018-11-02 04:45,0.229,L
2018-11-02 13:02,2.378,H
2018-11-02 19:24,1.247,L
2018-11-02 23:36,1.590,H
2018-11-03 05:53,0.450,L
2018-11-03 13:38,2.356,H
2018-11-03 19:55,0.945,L
2018-11-04 01:29,1.665,H
2018-11-04 06:55,0.683,L
2018-11-04 14:07,2.325,H
2018-11-04 20:26,0.630,L
2018-11-05 02:53,1.816,H
2018-11-05 07:51,0.926,L
2018-11-05 14:30,2.291,H
2018-11-05 20:58,0.331,L
2018-11-06 04:00,1.978,H
2018-11-06 08:42,1.170,L
2018-11-06 14:49,2.260,H
2018-11-06 21:30,0.074,L
2018-11-07 04:59,2.122,H
2018-11-07 09:30,1.400,L
2018-11-07 15:08,2.229,H
2018-11-07 22:03,-0.119,L
2018-11-08 05:53,2.234,H
2018-11-08 10:19,1.599,L
2018-11-08 15:29,2.190,H
2018-11-08 22:37,-0.240,L
2018-11-09 06:45,2.315,H
2018-11-09 11:13,1.754,L
2018-11-09 15:53,2.134,H
2018-11-09 23:14,-0.286,L
2018-11-10 07:37,2.365,H
2018-11-10 12:17,1.858,L
2018-11-10 16:19,2.057,H
2018-11-10 23:52,-0.262,L
2018-11-11 08:28,2.390,H
2018-11-11 13:53,1.901,L
2018-11-11 16:43,1.961,H
2018-11-12 00:32,-0.179,L
2018-11-12 09:21,2.394,H
2018-11-13 01:15,-0.047,L
2018-11-13 10:13,2.384,H
2018-11-14 02:02,0.122,L
2018-11-14 11:03,2.362,H
2018-11-15 02:52,0.318,L
2018-11-15 11:46,2.333,H
2018-11-16 03:49,0.526,L
2018-11-16 12:21,2.296,H
2018-11-16 19:46,1.245,L
2018-11-16 22:24,1.327,H
2018-11-17 04:49,0.735,L
2018-11-17 12:46,2.260,H
2018-11-17 20:01,1.054,L
2018-11-18 00:54,1.374,H
2018-11-18 05:50,0.937,L
2018-11-18 13:02,2.235,H
2018-11-18 20:12,0.834,L
2018-11-19 02:26,1.536,H
2018-11-19 06:44,1.132,L
2018-11-19 13:16,2.233,H
2018-11-19 20:23,0.582,L
2018-11-20 03:27,1.728,H
2018-11-20 07:32,1.322,L
2018-11-20 13:35,2.254,H
2018-11-20 20:39,0.304,L
2018-11-21 04:18,1.922,H
2018-11-21 08:16,1.503,L
2018-11-21 13:57,2.285,H
2018-11-21 21:03,0.023,L
2018-11-22 05:04,2.105,H
2018-11-22 09:00,1.670,L
2018-11-22 14:24,2.315,H
2018-11-22 21:35,-0.230,L
2018-11-23 05:49,2.266,H
2018-11-23 09:46,1.817,L
2018-11-23 14:53,2.331,H
2018-11-23 22:11,-0.426,L
2018-11-24 06:35,2.397,H
2018-11-24 10:36,1.936,L
2018-11-24 15:24,2.324,H
2018-11-24 22:52,-0.544,L
2018-11-25 07:23,2.493,H
2018-11-25 11:34,2.016,L
2018-11-25 15:59,2.283,H
2018-11-25 23:37,-0.569,L
2018-11-26 08:14,2.553,H
2018-11-26 12:43,2.043,L
2018-11-26 16:38,2.196,H
2018-11-27 00:25,-0.496,L
2018-11-27 09:06,2.581,H
2018-11-27 14:17,1.994,L
2018-11-27 17:25,2.055,H
2018-11-28 01:15,-0.328,L
2018-11-28 09:57,2.585,H
2018-11-28 16:28,1.830,L
2018-11-28 18:32,1.859,H
2018-11-29 02:09,-0.075,L
2018-11-29 10:44,2.570,H
2018-11-29 17:40,1.569,L
2018-11-29 20:07,1.638,H
2018-11-30 03:05,0.241,L
2018-11-30 11:27,2.542,H
2018-11-30 18:25,1.252,L
2018-11-30 22:05,1.476,H
