Date Time, Prediction, Type
2018-11-01 03:23,0.024,L
2018-11-01 11:56,2.326,H
2018-11-01 18:26,1.512,L
2018-11-01 20:55,1.589,H
2018-11-02 04:24,0.218,L
2018-11-02 12:29,2.327,H
2018-11-02 18:59,1.222,L
2018-11-02 22:53,1.523,H
2018-11-03 05:27,0.438,L
2018-11-03 12:56,2.319,H
2018-11-03 19:32,0.898,L
2018-11-04 00:47,1.588,H
2018-11-04 06:27,0.670,L
2018-11-04 13:19,2.311,H
2018-11-04 20:07,0.572,L
2018-11-05 02:16,1.724,H
2018-11-05 07:23,0.906,L
2018-11-05 13:42,2.304,H
2018-11-05 20:42,0.276,L
2018-11-06 03:30,1.877,H
2018-11-06 08:14,1.137,L
2018-11-06 14:05,2.292,H
2018-11-06 21:18,0.036,L
2018-11-07 04:33,2.017,H
2018-11-07 09:04,1.351,L
2018-11-07 14:30,2.267,H
2018-11-07 21:53,-0.132,L
2018-11-08 05:30,2.128,H
2018-11-08 09:52,1.538,L
2018-11-08 14:57,2.225,H
2018-11-08 22:28,-0.222,L
2018-11-09 06:25,2.202,H
2018-11-09 10:40,1.691,L
2018-11-09 15:24,2.163,H
2018-11-09 23:04,-0.241,L
2018-11-10 07:20,2.247,H
2018-11-10 11:31,1.809,L
2018-11-10 15:50,2.085,H
2018-11-10 23:41,-0.200,L
2018-11-11 08:16,2.269,H
2018-11-11 12:32,1.885,L
2018-11-11 16:13,1.995,H
2018-11-12 00:20,-0.112,L
2018-11-12 09:11,2.278,H
2018-11-13 01:01,0.009,L
2018-11-13 10:04,2.280,H
2018-11-14 01:46,0.151,L
2018-11-14 10:51,2.276,H
2018-11-15 02:32,0.309,L
2018-11-15 11:28,2.266,H
2018-11-16 03:21,0.479,L
2018-11-16 11:55,2.252,H
2018-11-16 19:21,1.274,L
2018-11-16 21:22,1.318,H
2018-11-17 04:12,0.659,L
2018-11-17 12:12,2.241,H
2018-11-17 19:27,1.063,L
2018-11-17 23:33,1.323,H
2018-11-18 05:06,0.843,L
2018-11-18 12:24,2.243,H
2018-11-18 19:38,0.818,L
2018-11-19 01:21,1.450,H
2018-11-19 06:02,1.028,L
2018-11-19 12:39,2.259,H
2018-11-19 19:56,0.550,L
2018-11-20 02:36,1.628,H
2018-11-20 06:55,1.212,L
2018-11-20 13:00,2.283,H
2018-11-20 20:22,0.273,L
2018-11-21 03:38,1.824,H
2018-11-21 07:47,1.395,L
2018-11-21 13:25,2.307,H
2018-11-21 20:53,0.008,L
2018-11-22 04:33,2.017,H
2018-11-22 08:38,1.574,L
2018-11-22 13:53,2.325,H
2018-11-22 21:28,-0.225,L
2018-11-23 05:24,2.189,H
2018-11-23 09:29,1.741,L
2018-11-23 14:22,2.333,H
2018-11-23 22:05,-0.405,L
2018-11-24 06:15,2.325,H
2018-11-24 10:21,1.885,L
2018-11-24 14:53,2.324,H
2018-11-24 22:46,-0.513,L
2018-11-25 07:08,2.422,H
2018-11-25 11:16,1.992,L
2018-11-25 15:25,2.286,H
2018-11-25 23:29,-0.534,L
2018-11-26 08:03,2.482,H
2018-11-26 12:21,2.043,L
2018-11-26 16:01,2.205,H
2018-11-27 00:15,-0.462,L
2018-11-27 08:55,2.511,H
2018-11-27 13:45,2.005,L
2018-11-27 16:40,2.065,H
2018-11-28 01:05,-0.303,L
2018-11-28 09:43,2.515,H
2018-11-29 01:57,-0.069,L
2018-11-29 10:24,2.503,H
2018-11-29 17:18,1.576,L
2018-11-29 19:13,1.610,H
2018-11-30 02:50,0.222,L
2018-11-30 10:59,2.484,H
2018-11-30 18:03,1.248,L
2018-11-30 21:12,1.416,H
