Date Time, Prediction, Type
2018-10-01 02:00,0.014,L
2018-10-01 10:40,1.918,H
2018-10-01 14:22,1.702,L
2018-10-01 18:42,1.957,H
2018-10-02 02:57,-0.036,L
2018-10-02 11:56,2.023,H
2018-10-02 15:39,1.766,L
2018-10-02 19:37,1.899,H
2018-10-03 03:59,-0.050,L
2018-10-03 12:46,2.109,H
2018-10-03 17:16,1.718,L
2018-10-03 21:00,1.827,H
2018-10-04 05:03,-0.030,L
2018-10-04 13:25,2.162,H
2018-10-04 18:41,1.551,L
2018-10-04 22:33,1.782,H
2018-10-05 06:06,0.025,L
2018-10-05 13:57,2.185,H
2018-10-05 19:30,1.314,L
2018-10-06 00:03,1.792,H
2018-10-06 07:04,0.127,L
2018-10-06 14:26,2.188,H
2018-10-06 20:13,1.036,L
2018-10-07 01:24,1.838,H
2018-10-07 07:57,0.281,L
2018-10-07 14:51,2.181,H
2018-10-07 20:54,0.748,L
2018-10-08 02:39,1.892,H
2018-10-08 08:46,0.483,L
2018-10-08 15:15,2.170,H
2018-10-08 21:34,0.480,L
2018-10-09 03:51,1.944,H
2018-10-09 09:32,0.715,L
2018-10-09 15:38,2.153,H
2018-10-09 22:14,0.259,L
2018-10-10 04:56,1.981,H
2018-10-10 10:16,0.960,L
2018-10-10 16:02,2.125,H
2018-10-10 22:54,0.104,L
2018-10-11 06:00,1.998,H
2018-10-11 10:59,1.195,L
2018-10-11 16:27,2.082,H
2018-10-11 23:35,0.021,L
2018-10-12 07:06,1.999,H
2018-10-12 11:45,1.406,L
2018-10-12 16:53,2.022,H
2018-10-13 00:16,0.003,L
2018-10-13 08:18,2.000,H
2018-10-13 12:36,1.577,L
2018-10-13 17:19,1.947,H
2018-10-14 01:01,0.038,L
2018-10-14 09:32,2.013,H
2018-10-14 13:40,1.695,L
2018-10-14 17:45,1.861,H
2018-10-15 01:48,0.106,L
2018-10-15 10:43,2.039,H
2018-10-15 15:16,1.742,L
2018-10-15 18:06,1.765,H
2018-10-16 02:38,0.192,L
2018-10-16 11:42,2.071,H
2018-10-17 03:31,0.284,L
2018-10-17 12:27,2.093,H
2018-10-18 04:27,0.373,L
2018-10-18 13:02,2.102,H
2018-10-18 19:34,1.404,L
2018-10-18 21:58,1.475,H
2018-10-19 05:24,0.458,L
2018-10-19 13:29,2.098,H
2018-10-19 19:51,1.243,L
2018-10-19 23:37,1.483,H
2018-10-20 06:16,0.543,L
2018-10-20 13:49,2.091,H
2018-10-20 20:07,1.054,L
2018-10-21 00:56,1.549,H
2018-10-21 07:04,0.640,L
2018-10-21 14:02,2.088,H
2018-10-21 20:27,0.842,L
2018-10-22 02:02,1.640,H
2018-10-22 07:48,0.759,L
2018-10-22 14:15,2.095,H
2018-10-22 20:52,0.616,L
2018-10-23 03:03,1.743,H
2018-10-23 08:30,0.902,L
2018-10-23 14:33,2.106,H
2018-10-23 21:21,0.389,L
2018-10-24 04:00,1.852,H
2018-10-24 09:12,1.068,L
2018-10-24 14:55,2.116,H
2018-10-24 21:54,0.176,L
2018-10-25 04:55,1.955,H
2018-10-25 09:55,1.251,L
2018-10-25 15:19,2.122,H
2018-10-25 22:29,-0.010,L
2018-10-26 05:50,2.044,H
2018-10-26 10:38,1.442,L
2018-10-26 15:45,2.121,H
2018-10-26 23:07,-0.153,L
2018-10-27 06:51,2.114,H
2018-10-27 11:26,1.625,L
2018-10-27 16:12,2.110,H
2018-10-27 23:49,-0.242,L
2018-10-28 07:59,2.171,H
2018-10-28 12:20,1.780,L
2018-10-28 16:39,2.083,H
2018-10-29 00:36,-0.267,L
2018-10-29 09:12,2.224,H
2018-10-29 13:29,1.875,L
2018-10-29 17:07,2.023,H
2018-10-30 01:28,-0.228,L
2018-10-30 10:19,2.272,H
2018-10-30 14:55,1.877,L
2018-10-30 17:36,1.916,H
2018-10-31 02:24,-0.129,L
2018-10-31 11:14,2.309,H
