Date Time, Prediction, Type
2018-11-01 04:11,0.030,L
2018-11-01 12:38,2.436,H
2018-11-01 19:10,1.522,L
2018-11-01 22:04,1.624,H
2018-11-02 05:16,0.236,L
2018-11-02 13:21,2.430,H
2018-11-02 19:50,1.233,L
2018-11-03 00:13,1.579,H
2018-11-03 06:22,0.460,L
2018-11-03 13:57,2.416,H
2018-11-03 20:25,0.911,L
2018-11-04 02:00,1.674,H
2018-11-04 07:25,0.694,L
2018-11-04 14:28,2.395,H
2018-11-04 20:58,0.586,L
2018-11-05 03:19,1.841,H
2018-11-05 08:22,0.935,L
2018-11-05 14:54,2.367,H
2018-11-05 21:31,0.285,L
2018-11-06 04:26,2.023,H
2018-11-06 09:14,1.179,L
2018-11-06 15:17,2.333,H
2018-11-06 22:04,0.036,L
2018-11-07 05:26,2.194,H
2018-11-07 10:04,1.411,L
2018-11-07 15:38,2.291,H
2018-11-07 22:38,-0.146,L
2018-11-08 06:19,2.335,H
2018-11-08 10:56,1.612,L
2018-11-08 15:58,2.239,H
2018-11-08 23:12,-0.252,L
2018-11-09 07:09,2.434,H
2018-11-09 11:52,1.768,L
2018-11-09 16:20,2.173,H
2018-11-09 23:47,-0.281,L
2018-11-10 07:58,2.488,H
2018-11-10 12:55,1.869,L
2018-11-10 16:44,2.091,H
2018-11-11 00:23,-0.242,L
2018-11-11 08:47,2.504,H
2018-11-11 14:18,1.908,L
2018-11-11 17:10,1.993,H
2018-11-12 01:01,-0.145,L
2018-11-12 09:37,2.491,H
2018-11-13 01:42,-0.004,L
2018-11-13 10:27,2.459,H
2018-11-14 02:26,0.168,L
2018-11-14 11:14,2.420,H
2018-11-15 03:15,0.356,L
2018-11-15 11:56,2.380,H
2018-11-16 04:08,0.550,L
2018-11-16 12:31,2.343,H
2018-11-16 19:50,1.243,L
2018-11-16 22:52,1.350,H
2018-11-17 05:05,0.744,L
2018-11-17 13:00,2.314,H
2018-11-17 20:10,1.032,L
2018-11-18 01:00,1.403,H
2018-11-18 06:04,0.935,L
2018-11-18 13:24,2.295,H
2018-11-18 20:28,0.796,L
2018-11-19 02:28,1.564,H
2018-11-19 07:02,1.121,L
2018-11-19 13:44,2.289,H
2018-11-19 20:46,0.533,L
2018-11-20 03:33,1.768,H
2018-11-20 07:56,1.303,L
2018-11-20 14:04,2.295,H
2018-11-20 21:08,0.252,L
2018-11-21 04:28,1.986,H
2018-11-21 08:45,1.483,L
2018-11-21 14:25,2.312,H
2018-11-21 21:36,-0.027,L
2018-11-22 05:18,2.195,H
2018-11-22 09:33,1.656,L
2018-11-22 14:48,2.331,H
2018-11-22 22:09,-0.278,L
2018-11-23 06:06,2.378,H
2018-11-23 10:22,1.812,L
2018-11-23 15:14,2.343,H
2018-11-23 22:46,-0.472,L
2018-11-24 06:53,2.517,H
2018-11-24 11:14,1.938,L
2018-11-24 15:45,2.335,H
2018-11-24 23:27,-0.589,L
2018-11-25 07:42,2.605,H
2018-11-25 12:12,2.021,L
2018-11-25 16:19,2.294,H
2018-11-26 00:11,-0.613,L
2018-11-26 08:33,2.647,H
2018-11-26 13:18,2.045,L
2018-11-26 16:59,2.205,H
2018-11-27 00:58,-0.536,L
2018-11-27 09:25,2.654,H
2018-11-27 14:50,1.987,L
2018-11-27 17:46,2.057,H
2018-11-28 01:48,-0.364,L
2018-11-28 10:17,2.640,H
2018-11-28 16:42,1.812,L
2018-11-28 18:46,1.849,H
2018-11-29 02:41,-0.108,L
2018-11-29 11:04,2.614,H
2018-11-29 17:55,1.543,L
2018-11-29 20:19,1.605,H
2018-11-30 03:38,0.208,L
2018-11-30 11:47,2.584,H
2018-11-30 18:47,1.216,L
2018-11-30 22:40,1.435,H
