Date Time, Prediction, Type
2018-11-01 04:21,0.002,L
2018-11-01 12:18,2.398,H
2018-11-01 18:51,1.570,L
2018-11-01 22:30,1.663,H
2018-11-02 05:29,0.206,L
2018-11-02 13:06,2.417,H
2018-11-02 19:38,1.261,L
2018-11-03 00:13,1.651,H
2018-11-03 06:34,0.418,L
2018-11-03 13:45,2.431,H
2018-11-03 20:17,0.920,L
2018-11-04 01:47,1.753,H
2018-11-04 07:34,0.640,L
2018-11-04 14:20,2.435,H
2018-11-04 20:52,0.575,L
2018-11-05 03:03,1.917,H
2018-11-05 08:29,0.875,L
2018-11-05 14:50,2.428,H
2018-11-05 21:27,0.257,L
2018-11-06 04:07,2.086,H
2018-11-06 09:19,1.119,L
2018-11-06 15:18,2.407,H
2018-11-06 22:02,-0.007,L
2018-11-07 05:03,2.232,H
2018-11-07 10:07,1.356,L
2018-11-07 15:46,2.366,H
2018-11-07 22:37,-0.199,L
2018-11-08 05:55,2.344,H
2018-11-08 10:55,1.573,L
2018-11-08 16:13,2.306,H
2018-11-08 23:13,-0.307,L
2018-11-09 06:45,2.417,H
2018-11-09 11:44,1.754,L
2018-11-09 16:40,2.224,H
2018-11-09 23:50,-0.333,L
2018-11-10 07:34,2.455,H
2018-11-10 12:39,1.889,L
2018-11-10 17:10,2.122,H
2018-11-11 00:29,-0.283,L
2018-11-11 08:24,2.461,H
2018-11-11 13:44,1.967,L
2018-11-11 17:42,2.002,H
2018-11-12 01:10,-0.170,L
2018-11-12 09:15,2.444,H
2018-11-12 15:19,1.972,L
2018-11-12 18:18,1.868,H
2018-11-13 01:54,-0.010,L
2018-11-13 10:07,2.414,H
2018-11-13 17:39,1.867,L
2018-11-13 19:04,1.722,H
2018-11-14 02:42,0.180,L
2018-11-14 10:58,2.381,H
2018-11-14 18:47,1.703,L
2018-11-14 20:08,1.576,H
2018-11-15 03:35,0.383,L
2018-11-15 11:44,2.354,H
2018-11-15 19:27,1.516,L
2018-11-15 21:31,1.455,H
2018-11-16 04:34,0.583,L
2018-11-16 12:21,2.331,H
2018-11-16 19:54,1.313,L
2018-11-16 23:07,1.405,H
2018-11-17 05:34,0.770,L
2018-11-17 12:51,2.318,H
2018-11-17 20:13,1.089,L
2018-11-18 00:50,1.463,H
2018-11-18 06:32,0.945,L
2018-11-18 13:17,2.317,H
2018-11-18 20:28,0.836,L
2018-11-19 02:14,1.614,H
2018-11-19 07:25,1.117,L
2018-11-19 13:42,2.327,H
2018-11-19 20:46,0.548,L
2018-11-20 03:15,1.805,H
2018-11-20 08:13,1.287,L
2018-11-20 14:08,2.345,H
2018-11-20 21:10,0.240,L
2018-11-21 04:05,2.003,H
2018-11-21 08:59,1.458,L
2018-11-21 14:35,2.365,H
2018-11-21 21:40,-0.068,L
2018-11-22 04:52,2.188,H
2018-11-22 09:43,1.624,L
2018-11-22 15:04,2.380,H
2018-11-22 22:13,-0.346,L
2018-11-23 05:38,2.345,H
2018-11-23 10:28,1.776,L
2018-11-23 15:34,2.380,H
2018-11-23 22:51,-0.560,L
2018-11-24 06:26,2.466,H
2018-11-24 11:16,1.904,L
2018-11-24 16:07,2.355,H
2018-11-24 23:32,-0.687,L
2018-11-25 07:14,2.543,H
2018-11-25 12:07,1.995,L
2018-11-25 16:44,2.297,H
2018-11-26 00:17,-0.710,L
2018-11-26 08:05,2.580,H
2018-11-26 13:06,2.032,L
2018-11-26 17:28,2.193,H
2018-11-27 01:05,-0.625,L
2018-11-27 08:57,2.588,H
2018-11-27 14:17,1.999,L
2018-11-27 18:22,2.041,H
2018-11-28 01:57,-0.438,L
2018-11-28 09:50,2.579,H
2018-11-28 15:46,1.864,L
2018-11-28 19:31,1.849,H
2018-11-29 02:52,-0.167,L
2018-11-29 10:41,2.563,H
2018-11-29 17:29,1.608,L
2018-11-29 20:57,1.652,H
2018-11-30 03:52,0.162,L
2018-11-30 11:29,2.549,H
2018-11-30 18:37,1.269,L
2018-11-30 22:40,1.521,H
