Date Time, Prediction, Type
2018-10-01 02:33,-0.003,L
2018-10-01 10:59,2.096,H
2018-10-01 15:03,1.754,L
2018-10-01 19:20,2.025,H
2018-10-02 03:30,-0.046,L
2018-10-02 12:12,2.196,H
2018-10-02 16:28,1.826,L
2018-10-02 20:13,1.959,H
2018-10-03 04:33,-0.051,L
2018-10-03 13:08,2.285,H
2018-10-03 18:26,1.761,L
2018-10-03 21:32,1.875,H
2018-10-04 05:41,-0.026,L
2018-10-04 13:53,2.344,H
2018-10-04 19:32,1.580,L
2018-10-04 23:13,1.825,H
2018-10-05 06:47,0.028,L
2018-10-05 14:32,2.372,H
2018-10-05 20:18,1.333,L
2018-10-06 00:54,1.853,H
2018-10-06 07:46,0.128,L
2018-10-06 15:07,2.373,H
2018-10-06 20:59,1.047,L
2018-10-07 02:21,1.933,H
2018-10-07 08:41,0.283,L
2018-10-07 15:38,2.355,H
2018-10-07 21:39,0.750,L
2018-10-08 03:35,2.029,H
2018-10-08 09:31,0.489,L
2018-10-08 16:06,2.322,H
2018-10-08 22:18,0.474,L
2018-10-09 04:41,2.114,H
2018-10-09 10:18,0.729,L
2018-10-09 16:31,2.277,H
2018-10-09 22:57,0.249,L
2018-10-10 05:42,2.171,H
2018-10-10 11:03,0.983,L
2018-10-10 16:53,2.220,H
2018-10-10 23:35,0.091,L
2018-10-11 06:41,2.196,H
2018-10-11 11:48,1.229,L
2018-10-11 17:13,2.155,H
2018-10-12 00:15,0.009,L
2018-10-12 07:43,2.198,H
2018-10-12 12:36,1.448,L
2018-10-12 17:34,2.081,H
2018-10-13 00:56,-0.006,L
2018-10-13 08:47,2.192,H
2018-10-13 13:30,1.623,L
2018-10-13 17:55,2.001,H
2018-10-14 01:38,0.034,L
2018-10-14 09:54,2.189,H
2018-10-14 14:38,1.741,L
2018-10-14 18:16,1.914,H
2018-10-15 02:24,0.111,L
2018-10-15 11:00,2.198,H
2018-10-15 16:21,1.785,L
2018-10-15 18:38,1.820,H
2018-10-16 03:12,0.209,L
2018-10-16 11:59,2.217,H
2018-10-17 04:05,0.314,L
2018-10-17 12:48,2.236,H
2018-10-18 05:04,0.413,L
2018-10-18 13:27,2.246,H
2018-10-18 20:02,1.443,L
2018-10-18 22:36,1.511,H
2018-10-19 06:04,0.499,L
2018-10-19 14:00,2.247,H
2018-10-19 20:24,1.272,L
2018-10-20 00:42,1.543,H
2018-10-20 06:58,0.581,L
2018-10-20 14:28,2.239,H
2018-10-20 20:46,1.075,L
2018-10-21 01:59,1.638,H
2018-10-21 07:46,0.675,L
2018-10-21 14:50,2.227,H
2018-10-21 21:08,0.857,L
2018-10-22 03:01,1.758,H
2018-10-22 08:31,0.791,L
2018-10-22 15:08,2.214,H
2018-10-22 21:33,0.626,L
2018-10-23 03:57,1.890,H
2018-10-23 09:13,0.931,L
2018-10-23 15:23,2.205,H
2018-10-23 22:01,0.392,L
2018-10-24 04:49,2.022,H
2018-10-24 09:55,1.095,L
2018-10-24 15:40,2.200,H
2018-10-24 22:32,0.170,L
2018-10-25 05:39,2.143,H
2018-10-25 10:38,1.279,L
2018-10-25 16:00,2.198,H
2018-10-25 23:06,-0.024,L
2018-10-26 06:32,2.243,H
2018-10-26 11:22,1.472,L
2018-10-26 16:24,2.194,H
2018-10-26 23:43,-0.176,L
2018-10-27 07:29,2.320,H
2018-10-27 12:11,1.659,L
2018-10-27 16:50,2.180,H
2018-10-28 00:25,-0.269,L
2018-10-28 08:32,2.380,H
2018-10-28 13:08,1.816,L
2018-10-28 17:19,2.148,H
2018-10-29 01:11,-0.295,L
2018-10-29 09:37,2.427,H
2018-10-29 14:19,1.912,L
2018-10-29 17:50,2.081,H
2018-10-30 02:02,-0.251,L
2018-10-30 10:41,2.468,H
2018-10-30 15:52,1.912,L
2018-10-30 18:28,1.964,H
2018-10-31 02:58,-0.139,L
2018-10-31 11:38,2.498,H
