Date Time, Prediction, Type
2018-11-01 03:17,0.002,L
2018-11-01 11:29,2.344,H
2018-11-01 17:47,1.396,L
2018-11-01 21:41,1.626,H
2018-11-02 04:25,0.183,L
2018-11-02 12:17,2.363,H
2018-11-02 18:34,1.121,L
2018-11-02 23:24,1.614,H
2018-11-03 05:30,0.371,L
2018-11-03 12:56,2.377,H
2018-11-03 19:13,0.818,L
2018-11-04 00:58,1.714,H
2018-11-04 06:30,0.568,L
2018-11-04 13:31,2.381,H
2018-11-04 19:48,0.511,L
2018-11-05 02:14,1.874,H
2018-11-05 07:25,0.778,L
2018-11-05 14:01,2.374,H
2018-11-05 20:23,0.229,L
2018-11-06 03:18,2.040,H
2018-11-06 08:15,0.994,L
2018-11-06 14:29,2.353,H
2018-11-06 20:58,-0.006,L
2018-11-07 04:14,2.182,H
2018-11-07 09:03,1.206,L
2018-11-07 14:57,2.314,H
2018-11-07 21:33,-0.177,L
2018-11-08 05:06,2.292,H
2018-11-08 09:51,1.398,L
2018-11-08 15:24,2.255,H
2018-11-08 22:09,-0.273,L
2018-11-09 05:56,2.364,H
2018-11-09 10:40,1.559,L
2018-11-09 15:51,2.174,H
2018-11-09 22:46,-0.296,L
2018-11-10 06:45,2.401,H
2018-11-10 11:35,1.679,L
2018-11-10 16:21,2.075,H
2018-11-10 23:25,-0.252,L
2018-11-11 07:35,2.406,H
2018-11-11 12:40,1.749,L
2018-11-11 16:53,1.957,H
2018-11-12 00:06,-0.151,L
2018-11-12 08:26,2.389,H
2018-11-12 14:15,1.753,L
2018-11-12 17:29,1.826,H
2018-11-13 00:50,-0.009,L
2018-11-13 09:18,2.360,H
2018-11-14 01:38,0.160,L
2018-11-14 10:09,2.328,H
2018-11-15 02:31,0.341,L
2018-11-15 10:55,2.301,H
2018-11-15 18:23,1.347,L
2018-11-15 20:42,1.423,H
2018-11-16 03:30,0.518,L
2018-11-16 11:32,2.279,H
2018-11-16 18:50,1.167,L
2018-11-16 22:18,1.374,H
2018-11-17 04:30,0.685,L
2018-11-17 12:02,2.267,H
2018-11-17 19:09,0.968,L
2018-11-18 00:01,1.431,H
2018-11-18 05:28,0.840,L
2018-11-18 12:28,2.265,H
2018-11-18 19:24,0.743,L
2018-11-19 01:25,1.578,H
2018-11-19 06:21,0.993,L
2018-11-19 12:53,2.276,H
2018-11-19 19:42,0.488,L
2018-11-20 02:26,1.764,H
2018-11-20 07:09,1.144,L
2018-11-20 13:19,2.293,H
2018-11-20 20:06,0.213,L
2018-11-21 03:16,1.958,H
2018-11-21 07:55,1.296,L
2018-11-21 13:46,2.313,H
2018-11-21 20:36,-0.061,L
2018-11-22 04:03,2.139,H
2018-11-22 08:39,1.443,L
2018-11-22 14:15,2.327,H
2018-11-22 21:09,-0.307,L
2018-11-23 04:49,2.293,H
2018-11-23 09:24,1.579,L
2018-11-23 14:45,2.327,H
2018-11-23 21:47,-0.498,L
2018-11-24 05:37,2.411,H
2018-11-24 10:12,1.692,L
2018-11-24 15:18,2.303,H
2018-11-24 22:28,-0.611,L
2018-11-25 06:25,2.486,H
2018-11-25 11:03,1.773,L
2018-11-25 15:55,2.246,H
2018-11-25 23:13,-0.631,L
2018-11-26 07:16,2.523,H
2018-11-26 12:02,1.807,L
2018-11-26 16:39,2.145,H
2018-11-27 00:01,-0.555,L
2018-11-27 08:08,2.530,H
2018-11-27 13:13,1.777,L
2018-11-27 17:33,1.996,H
2018-11-28 00:53,-0.389,L
2018-11-28 09:01,2.521,H
2018-11-28 14:42,1.657,L
2018-11-28 18:42,1.808,H
2018-11-29 01:48,-0.149,L
2018-11-29 09:52,2.506,H
2018-11-29 16:25,1.429,L
2018-11-29 20:08,1.615,H
2018-11-30 02:48,0.144,L
2018-11-30 10:40,2.492,H
2018-11-30 17:33,1.128,L
2018-11-30 21:51,1.487,H
