Date Time, Prediction, Type
2019-11-01 00:11,-0.360,L
2019-11-01 08:37,2.602,H
2019-11-01 13:23,1.740,L
2019-11-01 18:03,2.151,H
2019-11-02 00:59,-0.216,L
2019-11-02 09:42,2.584,H
2019-11-02 15:29,1.742,L
2019-11-02 18:46,1.971,H
2019-11-03 01:51,-0.025,L
2019-11-03 10:47,2.559,H
2019-11-03 17:31,1.611,L
2019-11-03 19:42,1.786,H
2019-11-04 02:48,0.184,L
2019-11-04 11:45,2.535,H
2019-11-04 18:32,1.436,L
2019-11-04 21:01,1.624,H
2019-11-05 03:51,0.383,L
2019-11-05 12:33,2.505,H
2019-11-05 19:11,1.252,L
2019-11-05 22:41,1.536,H
2019-11-06 04:55,0.556,L
2019-11-06 13:10,2.468,H
2019-11-06 19:39,1.064,L
2019-11-07 00:30,1.570,H
2019-11-07 05:55,0.708,L
2019-11-07 13:37,2.430,H
2019-11-07 20:00,0.870,L
2019-11-08 01:53,1.698,H
2019-11-08 06:47,0.851,L
2019-11-08 13:56,2.402,H
2019-11-08 20:17,0.668,L
2019-11-09 02:52,1.855,H
2019-11-09 07:33,0.997,L
2019-11-09 14:13,2.390,H
2019-11-09 20:35,0.455,L
2019-11-10 03:41,2.017,H
2019-11-10 08:14,1.148,L
2019-11-10 14:31,2.393,H
2019-11-10 20:57,0.238,L
2019-11-11 04:25,2.170,H
2019-11-11 08:54,1.303,L
2019-11-11 14:53,2.396,H
2019-11-11 21:22,0.031,L
2019-11-12 05:06,2.309,H
2019-11-12 09:33,1.454,L
2019-11-12 15:16,2.388,H
2019-11-12 21:52,-0.152,L
2019-11-13 05:49,2.426,H
2019-11-13 10:14,1.595,L
2019-11-13 15:42,2.365,H
2019-11-13 22:25,-0.295,L
2019-11-14 06:33,2.517,H
2019-11-14 10:57,1.717,L
2019-11-14 16:07,2.324,H
2019-11-14 23:02,-0.385,L
2019-11-15 07:20,2.575,H
2019-11-15 11:46,1.813,L
2019-11-15 16:31,2.266,H
2019-11-15 23:44,-0.415,L
2019-11-16 08:10,2.603,H
2019-11-16 12:43,1.870,L
2019-11-16 16:52,2.188,H
2019-11-17 00:29,-0.379,L
2019-11-17 09:03,2.609,H
2019-11-17 13:55,1.867,L
2019-11-17 17:05,2.078,H
2019-11-18 01:20,-0.279,L
2019-11-18 09:58,2.606,H
2019-11-18 15:38,1.771,L
2019-11-18 18:11,1.917,H
2019-11-19 02:16,-0.119,L
2019-11-19 10:49,2.604,H
2019-11-19 17:27,1.564,L
2019-11-19 20:24,1.741,H
2019-11-20 03:17,0.087,L
2019-11-20 11:35,2.608,H
2019-11-20 17:59,1.283,L
2019-11-20 22:12,1.628,H
2019-11-21 04:22,0.324,L
2019-11-21 12:15,2.618,H
2019-11-21 18:34,0.944,L
2019-11-22 00:03,1.653,H
2019-11-22 05:26,0.579,L
2019-11-22 12:51,2.633,H
2019-11-22 19:10,0.573,L
2019-11-23 01:43,1.829,H
2019-11-23 06:27,0.840,L
2019-11-23 13:24,2.650,H
2019-11-23 19:46,0.204,L
2019-11-24 03:00,2.076,H
2019-11-24 07:24,1.098,L
2019-11-24 13:55,2.657,H
2019-11-24 20:24,-0.123,L
2019-11-25 04:03,2.321,H
2019-11-25 08:18,1.338,L
2019-11-25 14:26,2.647,H
2019-11-25 21:02,-0.376,L
2019-11-26 04:59,2.524,H
2019-11-26 09:11,1.544,L
2019-11-26 14:57,2.607,H
2019-11-26 21:40,-0.532,L
2019-11-27 05:51,2.669,H
2019-11-27 10:05,1.704,L
2019-11-27 15:30,2.533,H
2019-11-27 22:20,-0.586,L
2019-11-28 06:41,2.749,H
2019-11-28 11:01,1.809,L
2019-11-28 16:03,2.423,H
2019-11-28 23:01,-0.545,L
2019-11-29 07:31,2.775,H
2019-11-29 12:04,1.858,L
2019-11-29 16:39,2.280,H
2019-11-29 23:44,-0.425,L
2019-11-30 08:20,2.759,H
2019-11-30 13:25,1.842,L
2019-11-30 17:19,2.112,H
