Date Time, Prediction, Type
2019-10-01 06:21,2.352,H
2019-10-01 11:26,0.901,L
2019-10-01 17:48,2.455,H
2019-10-01 23:57,-0.101,L
2019-10-02 07:28,2.335,H
2019-10-02 12:19,1.199,L
2019-10-02 18:22,2.369,H
2019-10-03 00:46,-0.138,L
2019-10-03 08:42,2.317,H
2019-10-03 13:21,1.449,L
2019-10-03 18:59,2.247,H
2019-10-04 01:39,-0.092,L
2019-10-04 10:04,2.320,H
2019-10-04 14:44,1.617,L
2019-10-04 19:41,2.097,H
2019-10-05 02:36,0.011,L
2019-10-05 11:27,2.357,H
2019-10-05 16:54,1.646,L
2019-10-05 20:32,1.938,H
2019-10-06 03:39,0.137,L
2019-10-06 12:37,2.405,H
2019-10-06 18:34,1.546,L
2019-10-06 21:40,1.800,H
2019-10-07 04:46,0.252,L
2019-10-07 13:30,2.436,H
2019-10-07 19:30,1.408,L
2019-10-07 23:07,1.725,H
2019-10-08 05:51,0.340,L
2019-10-08 14:12,2.435,H
2019-10-08 20:06,1.264,L
2019-10-09 00:35,1.739,H
2019-10-09 06:47,0.408,L
2019-10-09 14:45,2.406,H
2019-10-09 20:31,1.118,L
2019-10-10 01:46,1.814,H
2019-10-10 07:34,0.479,L
2019-10-10 15:09,2.366,H
2019-10-10 20:49,0.962,L
2019-10-11 02:40,1.905,H
2019-10-11 08:14,0.564,L
2019-10-11 15:27,2.330,H
2019-10-11 21:07,0.791,L
2019-10-12 03:26,1.994,H
2019-10-12 08:50,0.673,L
2019-10-12 15:41,2.313,H
2019-10-12 21:29,0.607,L
2019-10-13 04:10,2.078,H
2019-10-13 09:25,0.808,L
2019-10-13 15:58,2.311,H
2019-10-13 21:54,0.421,L
2019-10-14 04:53,2.153,H
2019-10-14 10:00,0.964,L
2019-10-14 16:19,2.308,H
2019-10-14 22:23,0.245,L
2019-10-15 05:37,2.220,H
2019-10-15 10:37,1.138,L
2019-10-15 16:43,2.290,H
2019-10-15 22:55,0.092,L
2019-10-16 06:25,2.274,H
2019-10-16 11:16,1.317,L
2019-10-16 17:08,2.252,H
2019-10-16 23:31,-0.027,L
2019-10-17 07:16,2.311,H
2019-10-17 11:59,1.490,L
2019-10-17 17:34,2.199,H
2019-10-18 00:10,-0.103,L
2019-10-18 08:12,2.330,H
2019-10-18 12:50,1.642,L
2019-10-18 18:00,2.137,H
2019-10-19 00:55,-0.131,L
2019-10-19 09:16,2.340,H
2019-10-19 13:53,1.752,L
2019-10-19 18:24,2.066,H
2019-10-20 01:47,-0.114,L
2019-10-20 10:28,2.355,H
2019-10-20 15:20,1.787,L
2019-10-20 18:56,1.981,H
2019-10-21 02:46,-0.064,L
2019-10-21 11:37,2.389,H
2019-10-21 17:10,1.710,L
2019-10-21 20:23,1.877,H
2019-10-22 03:51,0.005,L
2019-10-22 12:31,2.431,H
2019-10-22 18:10,1.536,L
2019-10-22 22:06,1.804,H
2019-10-23 04:58,0.084,L
2019-10-23 13:13,2.469,H
2019-10-23 18:47,1.289,L
2019-10-23 23:44,1.814,H
2019-10-24 06:01,0.181,L
2019-10-24 13:48,2.503,H
2019-10-24 19:23,0.980,L
2019-10-25 01:12,1.917,H
2019-10-25 06:58,0.316,L
2019-10-25 14:19,2.536,H
2019-10-25 20:01,0.634,L
2019-10-26 02:29,2.074,H
2019-10-26 07:51,0.499,L
2019-10-26 14:49,2.562,H
2019-10-26 20:40,0.287,L
2019-10-27 03:36,2.240,H
2019-10-27 08:40,0.726,L
2019-10-27 15:18,2.576,H
2019-10-27 21:20,-0.023,L
2019-10-28 04:38,2.387,H
2019-10-28 09:29,0.979,L
2019-10-28 15:48,2.567,H
2019-10-28 22:01,-0.258,L
2019-10-29 05:37,2.499,H
2019-10-29 10:18,1.230,L
2019-10-29 16:19,2.522,H
2019-10-29 22:43,-0.395,L
2019-10-30 06:36,2.570,H
2019-10-30 11:10,1.456,L
2019-10-30 16:51,2.436,H
2019-10-30 23:26,-0.426,L
2019-10-31 07:35,2.602,H
2019-10-31 12:10,1.633,L
2019-10-31 17:25,2.310,H
