Date Time, Prediction, Type
2019-11-01 00:37,-0.417,L
2019-11-01 08:46,2.547,H
2019-11-01 13:49,2.017,L
2019-11-01 18:12,2.106,H
2019-11-02 01:25,-0.251,L
2019-11-02 09:51,2.530,H
2019-11-02 15:55,2.019,L
2019-11-02 18:55,1.930,H
2019-11-03 02:17,-0.029,L
2019-11-03 10:56,2.505,H
2019-11-03 17:57,1.868,L
2019-11-03 19:51,1.748,H
2019-11-04 03:14,0.213,L
2019-11-04 11:54,2.481,H
2019-11-04 18:58,1.665,L
2019-11-04 21:10,1.590,H
2019-11-05 04:17,0.444,L
2019-11-05 12:42,2.452,H
2019-11-05 19:37,1.451,L
2019-11-05 22:50,1.504,H
2019-11-06 05:21,0.645,L
2019-11-06 13:19,2.416,H
2019-11-06 20:05,1.233,L
2019-11-07 00:39,1.537,H
2019-11-07 06:21,0.820,L
2019-11-07 13:46,2.379,H
2019-11-07 20:26,1.009,L
2019-11-08 02:02,1.662,H
2019-11-08 07:13,0.986,L
2019-11-08 14:05,2.351,H
2019-11-08 20:43,0.774,L
2019-11-09 03:01,1.816,H
2019-11-09 07:59,1.156,L
2019-11-09 14:22,2.340,H
2019-11-09 21:01,0.527,L
2019-11-10 03:50,1.974,H
2019-11-10 08:40,1.331,L
2019-11-10 14:40,2.343,H
2019-11-10 21:23,0.275,L
2019-11-11 04:34,2.124,H
2019-11-11 09:20,1.511,L
2019-11-11 15:02,2.345,H
2019-11-11 21:48,0.036,L
2019-11-12 05:15,2.260,H
2019-11-12 09:59,1.685,L
2019-11-12 15:25,2.338,H
2019-11-12 22:18,-0.176,L
2019-11-13 05:58,2.375,H
2019-11-13 10:40,1.848,L
2019-11-13 15:51,2.315,H
2019-11-13 22:51,-0.342,L
2019-11-14 06:42,2.464,H
2019-11-14 11:23,1.990,L
2019-11-14 16:16,2.275,H
2019-11-14 23:28,-0.447,L
2019-11-15 07:29,2.520,H
2019-11-15 12:12,2.101,L
2019-11-15 16:40,2.218,H
2019-11-16 00:10,-0.481,L
2019-11-16 08:19,2.548,H
2019-11-16 13:09,2.168,L
2019-11-16 17:01,2.142,H
2019-11-17 00:55,-0.440,L
2019-11-17 09:12,2.554,H
2019-11-17 14:21,2.164,L
2019-11-17 17:14,2.034,H
2019-11-18 01:46,-0.323,L
2019-11-18 10:07,2.551,H
2019-11-18 16:04,2.053,L
2019-11-18 18:20,1.877,H
2019-11-19 02:42,-0.138,L
2019-11-19 10:58,2.549,H
2019-11-19 17:53,1.813,L
2019-11-19 20:33,1.705,H
2019-11-20 03:43,0.101,L
2019-11-20 11:44,2.553,H
2019-11-20 18:25,1.487,L
2019-11-20 22:21,1.594,H
2019-11-21 04:48,0.375,L
2019-11-21 12:24,2.563,H
2019-11-21 19:00,1.094,L
2019-11-22 00:12,1.618,H
2019-11-22 05:52,0.671,L
2019-11-22 13:00,2.578,H
2019-11-22 19:36,0.664,L
2019-11-23 01:52,1.790,H
2019-11-23 06:53,0.974,L
2019-11-23 13:33,2.594,H
2019-11-23 20:12,0.237,L
2019-11-24 03:09,2.032,H
2019-11-24 07:50,1.273,L
2019-11-24 14:04,2.601,H
2019-11-24 20:50,-0.143,L
2019-11-25 04:12,2.272,H
2019-11-25 08:44,1.551,L
2019-11-25 14:35,2.591,H
2019-11-25 21:28,-0.436,L
2019-11-26 05:08,2.471,H
2019-11-26 09:37,1.789,L
2019-11-26 15:06,2.552,H
2019-11-26 22:06,-0.617,L
2019-11-27 06:00,2.612,H
2019-11-27 10:31,1.975,L
2019-11-27 15:39,2.479,H
2019-11-27 22:46,-0.679,L
2019-11-28 06:50,2.691,H
2019-11-28 11:27,2.097,L
2019-11-28 16:12,2.372,H
2019-11-28 23:27,-0.631,L
2019-11-29 07:40,2.717,H
2019-11-29 12:30,2.153,L
2019-11-29 16:48,2.232,H
2019-11-30 00:10,-0.493,L
2019-11-30 08:29,2.701,H
2019-11-30 13:51,2.135,L
2019-11-30 17:28,2.067,H
