Date Time, Prediction, Type
2019-11-01 01:00,-0.389,L
2019-11-01 09:02,2.602,H
2019-11-01 14:12,1.878,L
2019-11-01 18:28,2.151,H
2019-11-02 01:48,-0.234,L
2019-11-02 10:07,2.584,H
2019-11-02 16:18,1.880,L
2019-11-02 19:11,1.971,H
2019-11-03 02:40,-0.027,L
2019-11-03 11:12,2.559,H
2019-11-03 18:20,1.739,L
2019-11-03 20:07,1.786,H
2019-11-04 03:37,0.199,L
2019-11-04 12:10,2.535,H
2019-11-04 19:21,1.550,L
2019-11-04 21:26,1.624,H
2019-11-05 04:40,0.413,L
2019-11-05 12:58,2.505,H
2019-11-05 20:00,1.352,L
2019-11-05 23:06,1.536,H
2019-11-06 05:44,0.600,L
2019-11-06 13:35,2.468,H
2019-11-06 20:28,1.149,L
2019-11-07 00:55,1.570,H
2019-11-07 06:44,0.764,L
2019-11-07 14:02,2.430,H
2019-11-07 20:49,0.940,L
2019-11-08 02:18,1.698,H
2019-11-08 07:36,0.919,L
2019-11-08 14:21,2.402,H
2019-11-08 21:06,0.721,L
2019-11-09 03:17,1.855,H
2019-11-09 08:22,1.076,L
2019-11-09 14:38,2.390,H
2019-11-09 21:24,0.491,L
2019-11-10 04:06,2.017,H
2019-11-10 09:03,1.240,L
2019-11-10 14:56,2.393,H
2019-11-10 21:46,0.257,L
2019-11-11 04:50,2.170,H
2019-11-11 09:43,1.407,L
2019-11-11 15:18,2.396,H
2019-11-11 22:11,0.033,L
2019-11-12 05:31,2.309,H
2019-11-12 10:22,1.569,L
2019-11-12 15:41,2.388,H
2019-11-12 22:41,-0.164,L
2019-11-13 06:14,2.426,H
2019-11-13 11:03,1.721,L
2019-11-13 16:07,2.365,H
2019-11-13 23:14,-0.318,L
2019-11-14 06:58,2.517,H
2019-11-14 11:46,1.853,L
2019-11-14 16:32,2.324,H
2019-11-14 23:51,-0.416,L
2019-11-15 07:45,2.575,H
2019-11-15 12:35,1.957,L
2019-11-15 16:56,2.266,H
2019-11-16 00:33,-0.448,L
2019-11-16 08:35,2.603,H
2019-11-16 13:32,2.019,L
2019-11-16 17:17,2.188,H
2019-11-17 01:18,-0.409,L
2019-11-17 09:28,2.609,H
2019-11-17 14:44,2.016,L
2019-11-17 17:30,2.078,H
2019-11-18 02:09,-0.301,L
2019-11-18 10:23,2.606,H
2019-11-18 16:27,1.912,L
2019-11-18 18:36,1.917,H
2019-11-19 03:05,-0.128,L
2019-11-19 11:14,2.604,H
2019-11-19 18:16,1.688,L
2019-11-19 20:49,1.741,H
2019-11-20 04:06,0.094,L
2019-11-20 12:00,2.608,H
2019-11-20 18:48,1.385,L
2019-11-20 22:37,1.628,H
2019-11-21 05:11,0.350,L
2019-11-21 12:40,2.618,H
2019-11-21 19:23,1.019,L
2019-11-22 00:28,1.653,H
2019-11-22 06:15,0.625,L
2019-11-22 13:16,2.633,H
2019-11-22 19:59,0.618,L
2019-11-23 02:08,1.829,H
2019-11-23 07:16,0.907,L
2019-11-23 13:49,2.650,H
2019-11-23 20:35,0.220,L
2019-11-24 03:25,2.076,H
2019-11-24 08:13,1.186,L
2019-11-24 14:20,2.657,H
2019-11-24 21:13,-0.133,L
2019-11-25 04:28,2.321,H
2019-11-25 09:07,1.445,L
2019-11-25 14:51,2.647,H
2019-11-25 21:51,-0.406,L
2019-11-26 05:24,2.524,H
2019-11-26 10:00,1.666,L
2019-11-26 15:22,2.607,H
2019-11-26 22:29,-0.575,L
2019-11-27 06:16,2.669,H
2019-11-27 10:54,1.839,L
2019-11-27 15:55,2.533,H
2019-11-27 23:09,-0.633,L
2019-11-28 07:06,2.749,H
2019-11-28 11:50,1.953,L
2019-11-28 16:28,2.423,H
2019-11-28 23:50,-0.588,L
2019-11-29 07:56,2.775,H
2019-11-29 12:53,2.005,L
2019-11-29 17:04,2.280,H
2019-11-30 00:33,-0.459,L
2019-11-30 08:45,2.759,H
2019-11-30 14:14,1.988,L
2019-11-30 17:44,2.112,H
