Date Time, Prediction, Type
2019-11-01 00:49,-0.389,L
2019-11-01 08:59,2.575,H
2019-11-01 14:01,1.878,L
2019-11-01 18:25,2.128,H
2019-11-02 01:37,-0.234,L
2019-11-02 10:04,2.557,H
2019-11-02 16:07,1.880,L
2019-11-02 19:08,1.951,H
2019-11-03 02:29,-0.027,L
2019-11-03 11:09,2.532,H
2019-11-04 03:26,0.199,L
2019-11-04 12:07,2.508,H
2019-11-04 19:10,1.550,L
2019-11-04 21:23,1.607,H
2019-11-05 04:29,0.413,L
2019-11-05 12:55,2.479,H
2019-11-05 19:49,1.352,L
2019-11-05 23:03,1.520,H
2019-11-06 05:33,0.600,L
2019-11-06 13:32,2.442,H
2019-11-06 20:17,1.149,L
2019-11-07 00:52,1.554,H
2019-11-07 06:33,0.764,L
2019-11-07 13:59,2.405,H
2019-11-07 20:38,0.940,L
2019-11-08 02:15,1.680,H
2019-11-08 07:25,0.919,L
2019-11-08 14:18,2.376,H
2019-11-08 20:55,0.721,L
2019-11-09 03:14,1.836,H
2019-11-09 08:11,1.076,L
2019-11-09 14:35,2.365,H
2019-11-09 21:13,0.491,L
2019-11-10 04:03,1.996,H
2019-11-10 08:52,1.240,L
2019-11-10 14:53,2.368,H
2019-11-10 21:35,0.257,L
2019-11-11 04:47,2.147,H
2019-11-11 09:32,1.407,L
2019-11-11 15:15,2.371,H
2019-11-11 22:00,0.033,L
2019-11-12 05:28,2.284,H
2019-11-12 10:11,1.569,L
2019-11-12 15:38,2.363,H
2019-11-12 22:30,-0.164,L
2019-11-13 06:11,2.401,H
2019-11-13 10:52,1.721,L
2019-11-13 16:04,2.340,H
2019-11-13 23:03,-0.318,L
2019-11-14 06:55,2.490,H
2019-11-14 11:35,1.853,L
2019-11-14 16:29,2.299,H
2019-11-14 23:40,-0.416,L
2019-11-15 07:42,2.547,H
2019-11-15 12:24,1.957,L
2019-11-15 16:53,2.242,H
2019-11-16 00:22,-0.448,L
2019-11-16 08:32,2.576,H
2019-11-16 13:21,2.019,L
2019-11-16 17:14,2.165,H
2019-11-17 01:07,-0.409,L
2019-11-17 09:25,2.581,H
2019-11-17 14:33,2.016,L
2019-11-17 17:27,2.056,H
2019-11-18 01:58,-0.301,L
2019-11-18 10:20,2.578,H
2019-11-18 16:16,1.912,L
2019-11-18 18:33,1.897,H
2019-11-19 02:54,-0.128,L
2019-11-19 11:11,2.577,H
2019-11-19 18:05,1.688,L
2019-11-19 20:46,1.723,H
2019-11-20 03:55,0.094,L
2019-11-20 11:57,2.580,H
2019-11-20 18:37,1.385,L
2019-11-20 22:34,1.611,H
2019-11-21 05:00,0.350,L
2019-11-21 12:37,2.591,H
2019-11-21 19:12,1.019,L
2019-11-22 00:25,1.636,H
2019-11-22 06:04,0.625,L
2019-11-22 13:13,2.606,H
2019-11-22 19:48,0.618,L
2019-11-23 02:05,1.809,H
2019-11-23 07:05,0.907,L
2019-11-23 13:46,2.622,H
2019-11-23 20:24,0.220,L
2019-11-24 03:22,2.054,H
2019-11-24 08:02,1.186,L
2019-11-24 14:17,2.629,H
2019-11-24 21:02,-0.133,L
2019-11-25 04:25,2.296,H
2019-11-25 08:56,1.445,L
2019-11-25 14:48,2.619,H
2019-11-25 21:40,-0.406,L
2019-11-26 05:21,2.498,H
2019-11-26 09:49,1.666,L
2019-11-26 15:19,2.579,H
2019-11-26 22:18,-0.575,L
2019-11-27 06:13,2.640,H
2019-11-27 10:43,1.839,L
2019-11-27 15:52,2.506,H
2019-11-27 22:58,-0.633,L
2019-11-28 07:03,2.720,H
2019-11-28 11:39,1.953,L
2019-11-28 16:25,2.397,H
2019-11-28 23:39,-0.588,L
2019-11-29 07:53,2.746,H
2019-11-29 12:42,2.005,L
2019-11-29 17:01,2.256,H
2019-11-30 00:22,-0.459,L
2019-11-30 08:42,2.730,H
2019-11-30 14:03,1.988,L
2019-11-30 17:41,2.090,H
