Date Time, Prediction, Type
2019-10-01 06:43,2.327,H
2019-10-01 12:04,0.973,L
2019-10-01 18:10,2.429,H
2019-10-02 00:35,-0.109,L
2019-10-02 07:50,2.311,H
2019-10-02 12:57,1.294,L
2019-10-02 18:44,2.344,H
2019-10-03 01:24,-0.149,L
2019-10-03 09:04,2.293,H
2019-10-03 13:59,1.565,L
2019-10-03 19:21,2.223,H
2019-10-04 02:17,-0.100,L
2019-10-04 10:26,2.295,H
2019-10-04 15:22,1.745,L
2019-10-04 20:03,2.075,H
2019-10-05 03:14,0.011,L
2019-10-05 11:49,2.332,H
2019-10-05 17:32,1.777,L
2019-10-05 20:54,1.918,H
2019-10-06 04:17,0.148,L
2019-10-06 12:59,2.380,H
2019-10-06 19:12,1.669,L
2019-10-06 22:02,1.781,H
2019-10-07 05:24,0.272,L
2019-10-07 13:52,2.410,H
2019-10-07 20:08,1.520,L
2019-10-07 23:29,1.707,H
2019-10-08 06:29,0.367,L
2019-10-08 14:34,2.409,H
2019-10-08 20:44,1.364,L
2019-10-09 00:57,1.721,H
2019-10-09 07:25,0.441,L
2019-10-09 15:07,2.381,H
2019-10-09 21:09,1.207,L
2019-10-10 02:08,1.794,H
2019-10-10 08:12,0.517,L
2019-10-10 15:31,2.341,H
2019-10-10 21:27,1.038,L
2019-10-11 03:02,1.885,H
2019-10-11 08:52,0.609,L
2019-10-11 15:49,2.306,H
2019-10-11 21:45,0.854,L
2019-10-12 03:48,1.973,H
2019-10-12 09:28,0.727,L
2019-10-12 16:03,2.289,H
2019-10-12 22:07,0.656,L
2019-10-13 04:32,2.056,H
2019-10-13 10:03,0.872,L
2019-10-13 16:20,2.287,H
2019-10-13 22:32,0.454,L
2019-10-14 05:15,2.130,H
2019-10-14 10:38,1.041,L
2019-10-14 16:41,2.283,H
2019-10-14 23:01,0.264,L
2019-10-15 05:59,2.197,H
2019-10-15 11:15,1.228,L
2019-10-15 17:05,2.266,H
2019-10-15 23:33,0.099,L
2019-10-16 06:47,2.250,H
2019-10-16 11:54,1.422,L
2019-10-16 17:30,2.229,H
2019-10-17 00:09,-0.029,L
2019-10-17 07:38,2.287,H
2019-10-17 12:37,1.608,L
2019-10-17 17:56,2.176,H
2019-10-18 00:48,-0.111,L
2019-10-18 08:34,2.306,H
2019-10-18 13:28,1.773,L
2019-10-18 18:22,2.114,H
2019-10-19 01:33,-0.142,L
2019-10-19 09:38,2.315,H
2019-10-19 14:31,1.891,L
2019-10-19 18:46,2.044,H
2019-10-20 02:25,-0.124,L
2019-10-20 10:50,2.330,H
2019-10-20 15:58,1.929,L
2019-10-20 19:18,1.960,H
2019-10-21 03:24,-0.069,L
2019-10-21 11:59,2.364,H
2019-10-21 17:48,1.846,L
2019-10-21 20:45,1.857,H
2019-10-22 04:29,0.006,L
2019-10-22 12:53,2.405,H
2019-10-22 18:48,1.659,L
2019-10-22 22:28,1.785,H
2019-10-23 05:36,0.090,L
2019-10-23 13:35,2.443,H
2019-10-23 19:25,1.392,L
2019-10-24 00:06,1.795,H
2019-10-24 06:39,0.196,L
2019-10-24 14:10,2.477,H
2019-10-24 20:01,1.058,L
2019-10-25 01:34,1.897,H
2019-10-25 07:36,0.341,L
2019-10-25 14:41,2.509,H
2019-10-25 20:39,0.685,L
2019-10-26 02:51,2.052,H
2019-10-26 08:29,0.539,L
2019-10-26 15:11,2.535,H
2019-10-26 21:18,0.310,L
2019-10-27 03:58,2.217,H
2019-10-27 09:18,0.784,L
2019-10-27 15:40,2.549,H
2019-10-27 21:58,-0.025,L
2019-10-28 05:00,2.362,H
2019-10-28 10:07,1.056,L
2019-10-28 16:10,2.540,H
2019-10-28 22:39,-0.278,L
2019-10-29 05:59,2.472,H
2019-10-29 10:56,1.328,L
2019-10-29 16:41,2.496,H
2019-10-29 23:21,-0.427,L
2019-10-30 06:58,2.543,H
2019-10-30 11:48,1.572,L
2019-10-30 17:13,2.410,H
2019-10-31 00:04,-0.460,L
2019-10-31 07:57,2.575,H
2019-10-31 12:48,1.763,L
2019-10-31 17:47,2.286,H
