Date Time, Prediction, Type
2019-10-01 00:25,0.026,L
2019-10-01 07:07,2.549,H
2019-10-01 12:41,1.090,L
2019-10-01 18:22,2.542,H
2019-10-02 01:11,-0.120,L
2019-10-02 08:15,2.547,H
2019-10-02 13:35,1.427,L
2019-10-02 18:52,2.432,H
2019-10-03 01:59,-0.168,L
2019-10-03 09:27,2.532,H
2019-10-03 14:37,1.702,L
2019-10-03 19:21,2.299,H
2019-10-04 02:50,-0.133,L
2019-10-04 10:43,2.524,H
2019-10-04 15:54,1.880,L
2019-10-04 19:52,2.149,H
2019-10-05 03:44,-0.040,L
2019-10-05 11:59,2.535,H
2019-10-05 17:43,1.923,L
2019-10-05 20:29,1.988,H
2019-10-06 04:43,0.078,L
2019-10-06 13:05,2.557,H
2019-10-07 05:46,0.191,L
2019-10-07 13:56,2.570,H
2019-10-07 20:38,1.635,L
2019-10-07 23:27,1.725,H
2019-10-08 06:48,0.283,L
2019-10-08 14:36,2.567,H
2019-10-08 21:07,1.453,L
2019-10-09 01:01,1.723,H
2019-10-09 07:43,0.363,L
2019-10-09 15:09,2.550,H
2019-10-09 21:32,1.263,L
2019-10-10 02:11,1.791,H
2019-10-10 08:30,0.451,L
2019-10-10 15:36,2.526,H
2019-10-10 21:55,1.064,L
2019-10-11 03:10,1.889,H
2019-10-11 09:13,0.562,L
2019-10-11 16:00,2.497,H
2019-10-11 22:19,0.861,L
2019-10-12 04:03,2.001,H
2019-10-12 09:52,0.703,L
2019-10-12 16:22,2.463,H
2019-10-12 22:44,0.663,L
2019-10-13 04:51,2.115,H
2019-10-13 10:29,0.872,L
2019-10-13 16:42,2.423,H
2019-10-13 23:10,0.478,L
2019-10-14 05:38,2.221,H
2019-10-14 11:07,1.065,L
2019-10-14 17:01,2.376,H
2019-10-14 23:37,0.314,L
2019-10-15 06:23,2.312,H
2019-10-15 11:45,1.274,L
2019-10-15 17:18,2.324,H
2019-10-16 00:06,0.175,L
2019-10-16 07:10,2.385,H
2019-10-16 12:24,1.487,L
2019-10-16 17:33,2.273,H
2019-10-17 00:37,0.061,L
2019-10-17 08:02,2.440,H
2019-10-17 13:08,1.693,L
2019-10-17 17:48,2.228,H
2019-10-18 01:11,-0.024,L
2019-10-18 08:59,2.484,H
2019-10-18 14:00,1.873,L
2019-10-18 18:03,2.186,H
2019-10-19 01:52,-0.077,L
2019-10-19 10:03,2.529,H
2019-10-19 15:09,2.000,L
2019-10-19 18:18,2.135,H
2019-10-20 02:39,-0.092,L
2019-10-20 11:08,2.583,H
2019-10-21 03:33,-0.067,L
2019-10-21 12:09,2.645,H
2019-10-22 04:35,-0.001,L
2019-10-22 12:59,2.700,H
2019-10-22 19:45,1.697,L
2019-10-22 22:02,1.743,H
2019-10-23 05:43,0.101,L
2019-10-23 13:40,2.738,H
2019-10-23 20:10,1.403,L
2019-10-24 00:15,1.743,H
2019-10-24 06:52,0.234,L
2019-10-24 14:16,2.756,H
2019-10-24 20:43,1.042,L
2019-10-25 01:52,1.899,H
2019-10-25 07:56,0.409,L
2019-10-25 14:49,2.755,H
2019-10-25 21:18,0.643,L
2019-10-26 03:10,2.126,H
2019-10-26 08:55,0.634,L
2019-10-26 15:21,2.738,H
2019-10-26 21:56,0.248,L
2019-10-27 04:19,2.368,H
2019-10-27 09:51,0.901,L
2019-10-27 15:51,2.706,H
2019-10-27 22:35,-0.098,L
2019-10-28 05:22,2.584,H
2019-10-28 10:46,1.188,L
2019-10-28 16:22,2.654,H
2019-10-28 23:15,-0.356,L
2019-10-29 06:22,2.743,H
2019-10-29 11:40,1.466,L
2019-10-29 16:52,2.577,H
2019-10-29 23:56,-0.503,L
2019-10-30 07:20,2.833,H
2019-10-30 12:36,1.709,L
2019-10-30 17:21,2.471,H
2019-10-31 00:38,-0.532,L
2019-10-31 08:20,2.861,H
2019-10-31 13:38,1.893,L
2019-10-31 17:48,2.336,H
