Date Time, Prediction, Type
2019-10-01 00:22,0.094,L
2019-10-01 07:13,2.404,H
2019-10-01 12:36,1.153,L
2019-10-01 18:17,2.395,H
2019-10-02 01:08,-0.046,L
2019-10-02 08:22,2.398,H
2019-10-02 13:27,1.466,L
2019-10-02 18:42,2.322,H
2019-10-03 01:57,-0.091,L
2019-10-03 09:35,2.386,H
2019-10-03 14:26,1.719,L
2019-10-03 19:07,2.230,H
2019-10-04 02:48,-0.056,L
2019-10-04 10:50,2.383,H
2019-10-04 15:41,1.884,L
2019-10-04 19:32,2.121,H
2019-10-05 03:42,0.033,L
2019-10-05 12:04,2.396,H
2019-10-05 17:24,1.934,L
2019-10-05 19:59,1.994,H
2019-10-06 04:41,0.146,L
2019-10-06 13:08,2.416,H
2019-10-07 05:43,0.254,L
2019-10-07 13:57,2.425,H
2019-10-07 20:23,1.691,L
2019-10-07 23:04,1.737,H
2019-10-08 06:45,0.343,L
2019-10-08 14:36,2.419,H
2019-10-08 20:53,1.518,L
2019-10-09 00:55,1.728,H
2019-10-09 07:40,0.420,L
2019-10-09 15:08,2.400,H
2019-10-09 21:19,1.329,L
2019-10-10 02:07,1.783,H
2019-10-10 08:27,0.504,L
2019-10-10 15:36,2.374,H
2019-10-10 21:45,1.128,L
2019-10-11 03:07,1.865,H
2019-10-11 09:08,0.610,L
2019-10-11 16:00,2.345,H
2019-10-11 22:10,0.921,L
2019-10-12 04:01,1.957,H
2019-10-12 09:47,0.743,L
2019-10-12 16:22,2.314,H
2019-10-12 22:36,0.717,L
2019-10-13 04:51,2.051,H
2019-10-13 10:24,0.903,L
2019-10-13 16:41,2.281,H
2019-10-13 23:03,0.528,L
2019-10-14 05:39,2.140,H
2019-10-14 11:01,1.086,L
2019-10-14 16:56,2.248,H
2019-10-14 23:31,0.360,L
2019-10-15 06:27,2.218,H
2019-10-15 11:38,1.283,L
2019-10-15 17:09,2.219,H
2019-10-16 00:01,0.220,L
2019-10-16 07:16,2.281,H
2019-10-16 12:17,1.487,L
2019-10-16 17:23,2.199,H
2019-10-17 00:34,0.109,L
2019-10-17 08:10,2.332,H
2019-10-17 12:59,1.684,L
2019-10-17 17:39,2.184,H
2019-10-18 01:11,0.029,L
2019-10-18 09:10,2.376,H
2019-10-18 13:50,1.859,L
2019-10-18 17:57,2.167,H
2019-10-19 01:53,-0.018,L
2019-10-19 10:15,2.423,H
2019-10-19 14:56,1.986,L
2019-10-19 18:19,2.134,H
2019-10-20 02:42,-0.030,L
2019-10-20 11:21,2.477,H
2019-10-20 16:26,2.028,L
2019-10-20 18:43,2.065,H
2019-10-21 03:37,-0.004,L
2019-10-21 12:20,2.532,H
2019-10-22 04:38,0.061,L
2019-10-22 13:08,2.575,H
2019-10-22 19:32,1.734,L
2019-10-22 21:45,1.783,H
2019-10-23 05:45,0.163,L
2019-10-23 13:47,2.596,H
2019-10-23 20:04,1.451,L
2019-10-24 00:09,1.750,H
2019-10-24 06:52,0.300,L
2019-10-24 14:21,2.597,H
2019-10-24 20:38,1.102,L
2019-10-25 01:54,1.876,H
2019-10-25 07:55,0.480,L
2019-10-25 14:52,2.586,H
2019-10-25 21:14,0.715,L
2019-10-26 03:13,2.069,H
2019-10-26 08:53,0.708,L
2019-10-26 15:22,2.568,H
2019-10-26 21:53,0.334,L
2019-10-27 04:24,2.276,H
2019-10-27 09:48,0.974,L
2019-10-27 15:50,2.545,H
2019-10-27 22:32,0.000,L
2019-10-28 05:28,2.461,H
2019-10-28 10:42,1.254,L
2019-10-28 16:17,2.513,H
2019-10-28 23:13,-0.247,L
2019-10-29 06:27,2.597,H
2019-10-29 11:34,1.521,L
2019-10-29 16:44,2.466,H
2019-10-29 23:54,-0.386,L
2019-10-30 07:26,2.674,H
2019-10-30 12:28,1.751,L
2019-10-30 17:09,2.397,H
2019-10-31 00:36,-0.411,L
2019-10-31 08:27,2.700,H
2019-10-31 13:28,1.923,L
2019-10-31 17:33,2.302,H
