Date Time, Prediction, Type
2019-10-01 00:00,0.106,L
2019-10-01 06:54,2.203,H
2019-10-01 12:10,1.103,L
2019-10-01 17:48,2.242,H
2019-10-02 00:46,-0.041,L
2019-10-02 08:07,2.192,H
2019-10-02 13:00,1.397,L
2019-10-02 18:11,2.181,H
2019-10-03 01:35,-0.099,L
2019-10-03 09:24,2.188,H
2019-10-03 13:59,1.634,L
2019-10-03 18:36,2.103,H
2019-10-04 02:28,-0.081,L
2019-10-04 10:40,2.199,H
2019-10-04 15:18,1.786,L
2019-10-04 19:02,2.006,H
2019-10-05 03:23,-0.010,L
2019-10-05 11:53,2.227,H
2019-10-05 17:04,1.831,L
2019-10-05 19:34,1.891,H
2019-10-06 04:20,0.091,L
2019-10-06 12:54,2.259,H
2019-10-07 05:21,0.197,L
2019-10-07 13:41,2.278,H
2019-10-07 19:56,1.609,L
2019-10-07 22:03,1.650,H
2019-10-08 06:24,0.290,L
2019-10-08 14:19,2.279,H
2019-10-08 20:29,1.450,L
2019-10-09 00:21,1.620,H
2019-10-09 07:18,0.373,L
2019-10-09 14:51,2.265,H
2019-10-09 20:57,1.276,L
2019-10-10 01:42,1.671,H
2019-10-10 08:04,0.464,L
2019-10-10 15:19,2.241,H
2019-10-10 21:24,1.090,L
2019-10-11 02:42,1.743,H
2019-10-11 08:44,0.573,L
2019-10-11 15:42,2.210,H
2019-10-11 21:49,0.895,L
2019-10-12 03:38,1.821,H
2019-10-12 09:22,0.705,L
2019-10-12 16:02,2.175,H
2019-10-12 22:15,0.700,L
2019-10-13 04:31,1.900,H
2019-10-13 09:59,0.860,L
2019-10-13 16:16,2.140,H
2019-10-13 22:41,0.513,L
2019-10-14 05:21,1.975,H
2019-10-14 10:35,1.033,L
2019-10-14 16:27,2.111,H
2019-10-14 23:09,0.344,L
2019-10-15 06:09,2.039,H
2019-10-15 11:12,1.218,L
2019-10-15 16:40,2.089,H
2019-10-15 23:39,0.200,L
2019-10-16 06:59,2.090,H
2019-10-16 11:50,1.410,L
2019-10-16 16:57,2.072,H
2019-10-17 00:12,0.084,L
2019-10-17 07:56,2.134,H
2019-10-17 12:32,1.599,L
2019-10-17 17:16,2.059,H
2019-10-18 00:49,0.002,L
2019-10-18 09:02,2.182,H
2019-10-18 13:23,1.768,L
2019-10-18 17:37,2.044,H
2019-10-19 01:33,-0.046,L
2019-10-19 10:11,2.241,H
2019-10-19 14:32,1.893,L
2019-10-19 17:58,2.016,H
2019-10-20 02:23,-0.059,L
2019-10-20 11:17,2.310,H
2019-10-20 16:06,1.937,L
2019-10-20 18:16,1.959,H
2019-10-21 03:18,-0.035,L
2019-10-21 12:14,2.377,H
2019-10-22 04:17,0.030,L
2019-10-22 12:59,2.427,H
2019-10-22 19:22,1.668,L
2019-10-22 21:22,1.710,H
2019-10-23 05:22,0.136,L
2019-10-23 13:34,2.451,H
2019-10-23 19:48,1.409,L
2019-10-23 23:28,1.662,H
2019-10-24 06:29,0.277,L
2019-10-24 14:05,2.452,H
2019-10-24 20:19,1.084,L
2019-10-25 01:25,1.756,H
2019-10-25 07:31,0.458,L
2019-10-25 14:32,2.439,H
2019-10-25 20:54,0.718,L
2019-10-26 02:49,1.923,H
2019-10-26 08:28,0.682,L
2019-10-26 14:58,2.420,H
2019-10-26 21:31,0.351,L
2019-10-27 04:04,2.103,H
2019-10-27 09:22,0.942,L
2019-10-27 15:22,2.399,H
2019-10-27 22:11,0.025,L
2019-10-28 05:11,2.270,H
2019-10-28 10:15,1.212,L
2019-10-28 15:47,2.372,H
2019-10-28 22:52,-0.223,L
2019-10-29 06:12,2.394,H
2019-10-29 11:07,1.467,L
2019-10-29 16:13,2.334,H
2019-10-29 23:32,-0.369,L
2019-10-30 07:12,2.465,H
2019-10-30 12:00,1.686,L
2019-10-30 16:39,2.275,H
2019-10-31 00:14,-0.405,L
2019-10-31 08:15,2.494,H
2019-10-31 13:00,1.853,L
2019-10-31 17:05,2.193,H
