Date Time, Prediction, Type
2019-11-01 01:04,-0.368,L
2019-11-01 09:01,2.465,H
2019-11-01 14:16,1.779,L
2019-11-01 18:27,2.038,H
2019-11-02 01:52,-0.221,L
2019-11-02 10:06,2.448,H
2019-11-02 16:22,1.781,L
2019-11-02 19:10,1.868,H
2019-11-03 02:44,-0.025,L
2019-11-03 11:11,2.425,H
2019-11-03 18:24,1.648,L
2019-11-03 20:06,1.692,H
2019-11-04 03:41,0.188,L
2019-11-04 12:09,2.401,H
2019-11-04 19:25,1.469,L
2019-11-04 21:25,1.539,H
2019-11-05 04:44,0.392,L
2019-11-05 12:57,2.373,H
2019-11-05 20:04,1.281,L
2019-11-05 23:05,1.455,H
2019-11-06 05:48,0.569,L
2019-11-06 13:34,2.338,H
2019-11-06 20:32,1.088,L
2019-11-07 00:54,1.488,H
2019-11-07 06:48,0.724,L
2019-11-07 14:01,2.302,H
2019-11-07 20:53,0.890,L
2019-11-08 02:17,1.608,H
2019-11-08 07:40,0.870,L
2019-11-08 14:20,2.275,H
2019-11-08 21:10,0.683,L
2019-11-09 03:16,1.758,H
2019-11-09 08:26,1.020,L
2019-11-09 14:37,2.264,H
2019-11-09 21:28,0.465,L
2019-11-10 04:05,1.911,H
2019-11-10 09:07,1.174,L
2019-11-10 14:55,2.267,H
2019-11-10 21:50,0.243,L
2019-11-11 04:49,2.056,H
2019-11-11 09:47,1.333,L
2019-11-11 15:17,2.270,H
2019-11-11 22:15,0.032,L
2019-11-12 05:30,2.187,H
2019-11-12 10:26,1.487,L
2019-11-12 15:40,2.263,H
2019-11-12 22:45,-0.156,L
2019-11-13 06:13,2.299,H
2019-11-13 11:07,1.631,L
2019-11-13 16:06,2.240,H
2019-11-13 23:18,-0.302,L
2019-11-14 06:57,2.384,H
2019-11-14 11:50,1.756,L
2019-11-14 16:31,2.201,H
2019-11-14 23:55,-0.394,L
2019-11-15 07:44,2.439,H
2019-11-15 12:39,1.854,L
2019-11-15 16:55,2.147,H
2019-11-16 00:37,-0.425,L
2019-11-16 08:34,2.466,H
2019-11-16 13:36,1.913,L
2019-11-16 17:16,2.073,H
2019-11-17 01:22,-0.388,L
2019-11-17 09:27,2.471,H
2019-11-17 14:48,1.910,L
2019-11-17 17:29,1.968,H
2019-11-18 02:13,-0.285,L
2019-11-18 10:22,2.469,H
2019-11-18 16:31,1.812,L
2019-11-18 18:35,1.816,H
2019-11-19 03:09,-0.122,L
2019-11-19 11:13,2.467,H
2019-11-19 18:20,1.599,L
2019-11-19 20:48,1.650,H
2019-11-20 04:10,0.089,L
2019-11-20 11:59,2.471,H
2019-11-20 18:52,1.312,L
2019-11-20 22:36,1.543,H
2019-11-21 05:15,0.331,L
2019-11-21 12:39,2.480,H
2019-11-21 19:27,0.966,L
2019-11-22 00:27,1.566,H
2019-11-22 06:19,0.592,L
2019-11-22 13:15,2.495,H
2019-11-22 20:03,0.586,L
2019-11-23 02:07,1.733,H
2019-11-23 07:20,0.859,L
2019-11-23 13:48,2.510,H
2019-11-23 20:39,0.209,L
2019-11-24 03:24,1.967,H
2019-11-24 08:17,1.123,L
2019-11-24 14:19,2.517,H
2019-11-24 21:17,-0.126,L
2019-11-25 04:27,2.199,H
2019-11-25 09:11,1.369,L
2019-11-25 14:50,2.507,H
2019-11-25 21:55,-0.384,L
2019-11-26 05:23,2.391,H
2019-11-26 10:04,1.579,L
2019-11-26 15:21,2.470,H
2019-11-26 22:33,-0.545,L
2019-11-27 06:15,2.528,H
2019-11-27 10:58,1.742,L
2019-11-27 15:54,2.399,H
2019-11-27 23:13,-0.599,L
2019-11-28 07:05,2.605,H
2019-11-28 11:54,1.850,L
2019-11-28 16:27,2.295,H
2019-11-28 23:54,-0.557,L
2019-11-29 07:55,2.629,H
2019-11-29 12:57,1.900,L
2019-11-29 17:03,2.160,H
2019-11-30 00:37,-0.435,L
2019-11-30 08:44,2.614,H
2019-11-30 14:18,1.884,L
2019-11-30 17:43,2.001,H
