Date Time, Prediction, Type
2019-10-01 00:02,0.026,L
2019-10-01 06:45,2.228,H
2019-10-01 12:19,0.922,L
2019-10-01 18:12,2.326,H
2019-10-02 00:50,-0.104,L
2019-10-02 07:52,2.212,H
2019-10-02 13:12,1.226,L
2019-10-02 18:46,2.245,H
2019-10-03 01:39,-0.141,L
2019-10-03 09:06,2.195,H
2019-10-03 14:14,1.482,L
2019-10-03 19:23,2.129,H
2019-10-04 02:32,-0.095,L
2019-10-04 10:28,2.198,H
2019-10-04 15:37,1.653,L
2019-10-04 20:05,1.986,H
2019-10-05 03:29,0.011,L
2019-10-05 11:51,2.233,H
2019-10-05 17:47,1.683,L
2019-10-05 20:56,1.836,H
2019-10-06 04:32,0.140,L
2019-10-06 13:01,2.279,H
2019-10-06 19:27,1.581,L
2019-10-06 22:04,1.706,H
2019-10-07 05:39,0.257,L
2019-10-07 13:54,2.308,H
2019-10-07 20:23,1.440,L
2019-10-07 23:31,1.634,H
2019-10-08 06:44,0.347,L
2019-10-08 14:36,2.307,H
2019-10-08 20:59,1.292,L
2019-10-09 00:59,1.648,H
2019-10-09 07:40,0.418,L
2019-10-09 15:09,2.280,H
2019-10-09 21:24,1.143,L
2019-10-10 02:10,1.718,H
2019-10-10 08:27,0.490,L
2019-10-10 15:33,2.241,H
2019-10-10 21:42,0.984,L
2019-10-11 03:04,1.805,H
2019-10-11 09:07,0.577,L
2019-10-11 15:51,2.208,H
2019-10-11 22:00,0.809,L
2019-10-12 03:50,1.889,H
2019-10-12 09:43,0.689,L
2019-10-12 16:05,2.192,H
2019-10-12 22:22,0.621,L
2019-10-13 04:34,1.968,H
2019-10-13 10:18,0.826,L
2019-10-13 16:22,2.190,H
2019-10-13 22:47,0.430,L
2019-10-14 05:17,2.039,H
2019-10-14 10:53,0.986,L
2019-10-14 16:43,2.186,H
2019-10-14 23:16,0.250,L
2019-10-15 06:01,2.103,H
2019-10-15 11:30,1.164,L
2019-10-15 17:07,2.170,H
2019-10-15 23:48,0.094,L
2019-10-16 06:49,2.155,H
2019-10-16 12:09,1.347,L
2019-10-16 17:32,2.134,H
2019-10-17 00:24,-0.028,L
2019-10-17 07:40,2.190,H
2019-10-17 12:52,1.524,L
2019-10-17 17:58,2.084,H
2019-10-18 01:03,-0.105,L
2019-10-18 08:36,2.208,H
2019-10-18 13:43,1.679,L
2019-10-18 18:24,2.024,H
2019-10-19 01:48,-0.134,L
2019-10-19 09:40,2.217,H
2019-10-19 14:46,1.792,L
2019-10-19 18:48,1.957,H
2019-10-20 02:40,-0.117,L
2019-10-20 10:52,2.231,H
2019-10-20 16:13,1.828,L
2019-10-20 19:20,1.877,H
2019-10-21 03:39,-0.066,L
2019-10-21 12:01,2.264,H
2019-10-21 18:03,1.749,L
2019-10-21 20:47,1.778,H
2019-10-22 04:44,0.005,L
2019-10-22 12:55,2.303,H
2019-10-22 19:03,1.571,L
2019-10-22 22:30,1.709,H
2019-10-23 05:51,0.086,L
2019-10-23 13:37,2.339,H
2019-10-23 19:40,1.319,L
2019-10-24 00:08,1.719,H
2019-10-24 06:54,0.185,L
2019-10-24 14:12,2.371,H
2019-10-24 20:16,1.003,L
2019-10-25 01:36,1.816,H
2019-10-25 07:51,0.323,L
2019-10-25 14:43,2.402,H
2019-10-25 20:54,0.649,L
2019-10-26 02:53,1.965,H
2019-10-26 08:44,0.510,L
2019-10-26 15:13,2.427,H
2019-10-26 21:33,0.293,L
2019-10-27 04:00,2.122,H
2019-10-27 09:33,0.742,L
2019-10-27 15:42,2.441,H
2019-10-27 22:13,-0.023,L
2019-10-28 05:02,2.262,H
2019-10-28 10:22,1.001,L
2019-10-28 16:12,2.432,H
2019-10-28 22:54,-0.264,L
2019-10-29 06:01,2.367,H
2019-10-29 11:11,1.258,L
2019-10-29 16:43,2.390,H
2019-10-29 23:36,-0.404,L
2019-10-30 07:00,2.435,H
2019-10-30 12:03,1.490,L
2019-10-30 17:15,2.308,H
2019-10-31 00:19,-0.436,L
2019-10-31 07:59,2.465,H
2019-10-31 13:03,1.670,L
2019-10-31 17:49,2.189,H
