Date Time, Prediction, Type
2019-11-01 00:28,-0.373,L
2019-11-01 09:07,2.387,H
2019-11-01 14:15,1.918,L
2019-11-01 17:23,1.997,H
2019-11-02 01:15,-0.249,L
2019-11-02 10:09,2.383,H
2019-11-03 02:05,-0.067,L
2019-11-03 11:08,2.369,H
2019-11-04 03:00,0.143,L
2019-11-04 12:00,2.349,H
2019-11-05 04:00,0.355,L
2019-11-05 12:44,2.321,H
2019-11-05 19:50,1.337,L
2019-11-05 22:00,1.382,H
2019-11-06 05:05,0.551,L
2019-11-06 13:20,2.284,H
2019-11-06 20:12,1.150,L
2019-11-07 00:35,1.382,H
2019-11-07 06:08,0.729,L
2019-11-07 13:47,2.240,H
2019-11-07 20:32,0.956,L
2019-11-08 02:08,1.499,H
2019-11-08 07:04,0.902,L
2019-11-08 14:04,2.197,H
2019-11-08 20:49,0.752,L
2019-11-09 03:13,1.651,H
2019-11-09 07:51,1.083,L
2019-11-09 14:14,2.168,H
2019-11-09 21:04,0.537,L
2019-11-10 04:07,1.806,H
2019-11-10 08:33,1.271,L
2019-11-10 14:24,2.161,H
2019-11-10 21:21,0.314,L
2019-11-11 04:55,1.954,H
2019-11-11 09:12,1.458,L
2019-11-11 14:41,2.166,H
2019-11-11 21:42,0.098,L
2019-11-12 05:40,2.087,H
2019-11-12 09:51,1.634,L
2019-11-12 15:02,2.170,H
2019-11-12 22:08,-0.095,L
2019-11-13 06:25,2.201,H
2019-11-13 10:31,1.789,L
2019-11-13 15:25,2.165,H
2019-11-13 22:40,-0.246,L
2019-11-14 07:11,2.294,H
2019-11-14 11:16,1.916,L
2019-11-14 15:47,2.151,H
2019-11-14 23:17,-0.342,L
2019-11-15 07:58,2.365,H
2019-11-15 12:09,2.008,L
2019-11-15 16:04,2.124,H
2019-11-15 23:58,-0.377,L
2019-11-16 08:49,2.416,H
2019-11-16 13:18,2.057,L
2019-11-16 15:57,2.083,H
2019-11-17 00:42,-0.345,L
2019-11-17 09:41,2.449,H
2019-11-18 01:31,-0.245,L
2019-11-18 10:32,2.468,H
2019-11-19 02:25,-0.078,L
2019-11-19 11:18,2.474,H
2019-11-20 03:23,0.149,L
2019-11-20 11:57,2.466,H
2019-11-20 18:55,1.410,L
2019-11-20 21:50,1.527,H
2019-11-21 04:27,0.421,L
2019-11-21 12:30,2.449,H
2019-11-21 19:14,1.077,L
2019-11-21 23:59,1.521,H
2019-11-22 05:33,0.717,L
2019-11-22 12:58,2.430,H
2019-11-22 19:40,0.697,L
2019-11-23 01:57,1.685,H
2019-11-23 06:37,1.021,L
2019-11-23 13:22,2.415,H
2019-11-23 20:11,0.309,L
2019-11-24 03:19,1.928,H
2019-11-24 07:38,1.316,L
2019-11-24 13:45,2.406,H
2019-11-24 20:45,-0.044,L
2019-11-25 04:24,2.165,H
2019-11-25 08:34,1.585,L
2019-11-25 14:08,2.398,H
2019-11-25 21:20,-0.322,L
2019-11-26 05:22,2.358,H
2019-11-26 09:29,1.810,L
2019-11-26 14:33,2.378,H
2019-11-26 21:58,-0.500,L
2019-11-27 06:15,2.491,H
2019-11-27 10:26,1.975,L
2019-11-27 14:59,2.335,H
2019-11-27 22:36,-0.569,L
2019-11-28 07:07,2.565,H
2019-11-28 11:31,2.072,L
2019-11-28 15:27,2.262,H
2019-11-28 23:16,-0.538,L
2019-11-29 07:57,2.591,H
2019-11-29 12:59,2.094,L
2019-11-29 15:54,2.156,H
2019-11-29 23:58,-0.425,L
2019-11-30 08:46,2.583,H
