Date Time, Prediction, Type
2019-11-01 00:55,-0.405,L
2019-11-01 09:01,2.465,H
2019-11-01 14:07,1.957,L
2019-11-01 18:27,2.038,H
2019-11-02 01:43,-0.244,L
2019-11-02 10:06,2.448,H
2019-11-02 16:13,1.959,L
2019-11-02 19:10,1.868,H
2019-11-03 02:35,-0.028,L
2019-11-03 11:11,2.425,H
2019-11-03 18:15,1.813,L
2019-11-03 20:06,1.692,H
2019-11-04 03:32,0.207,L
2019-11-04 12:09,2.401,H
2019-11-04 19:16,1.616,L
2019-11-04 21:25,1.539,H
2019-11-05 04:35,0.431,L
2019-11-05 12:57,2.373,H
2019-11-05 19:55,1.409,L
2019-11-05 23:05,1.455,H
2019-11-06 05:39,0.626,L
2019-11-06 13:34,2.338,H
2019-11-06 20:23,1.197,L
2019-11-07 00:54,1.488,H
2019-11-07 06:39,0.796,L
2019-11-07 14:01,2.302,H
2019-11-07 20:44,0.979,L
2019-11-08 02:17,1.608,H
2019-11-08 07:31,0.957,L
2019-11-08 14:20,2.275,H
2019-11-08 21:01,0.751,L
2019-11-09 03:16,1.758,H
2019-11-09 08:17,1.122,L
2019-11-09 14:37,2.264,H
2019-11-09 21:19,0.512,L
2019-11-10 04:05,1.911,H
2019-11-10 08:58,1.292,L
2019-11-10 14:55,2.267,H
2019-11-10 21:41,0.267,L
2019-11-11 04:49,2.056,H
2019-11-11 09:38,1.466,L
2019-11-11 15:17,2.270,H
2019-11-11 22:06,0.035,L
2019-11-12 05:30,2.187,H
2019-11-12 10:17,1.635,L
2019-11-12 15:40,2.263,H
2019-11-12 22:36,-0.171,L
2019-11-13 06:13,2.299,H
2019-11-13 10:58,1.794,L
2019-11-13 16:06,2.240,H
2019-11-13 23:09,-0.332,L
2019-11-14 06:57,2.384,H
2019-11-14 11:41,1.931,L
2019-11-14 16:31,2.201,H
2019-11-14 23:46,-0.434,L
2019-11-15 07:44,2.439,H
2019-11-15 12:30,2.039,L
2019-11-15 16:55,2.147,H
2019-11-16 00:28,-0.467,L
2019-11-16 08:34,2.466,H
2019-11-16 13:27,2.104,L
2019-11-16 17:16,2.073,H
2019-11-17 01:13,-0.427,L
2019-11-17 09:27,2.471,H
2019-11-17 14:39,2.101,L
2019-11-17 17:29,1.968,H
2019-11-18 02:04,-0.314,L
2019-11-18 10:22,2.469,H
2019-11-18 16:22,1.993,L
2019-11-18 18:35,1.816,H
2019-11-19 03:00,-0.134,L
2019-11-19 11:13,2.467,H
2019-11-19 18:11,1.759,L
2019-11-19 20:48,1.650,H
2019-11-20 04:01,0.098,L
2019-11-20 11:59,2.471,H
2019-11-20 18:43,1.443,L
2019-11-20 22:36,1.543,H
2019-11-21 05:06,0.364,L
2019-11-21 12:39,2.480,H
2019-11-21 19:18,1.062,L
2019-11-22 00:27,1.566,H
2019-11-22 06:10,0.651,L
2019-11-22 13:15,2.495,H
2019-11-22 19:54,0.644,L
2019-11-23 02:07,1.733,H
2019-11-23 07:11,0.945,L
2019-11-23 13:48,2.510,H
2019-11-23 20:30,0.230,L
2019-11-24 03:24,1.967,H
2019-11-24 08:08,1.236,L
2019-11-24 14:19,2.517,H
2019-11-24 21:08,-0.139,L
2019-11-25 04:27,2.199,H
2019-11-25 09:02,1.506,L
2019-11-25 14:50,2.507,H
2019-11-25 21:46,-0.423,L
2019-11-26 05:23,2.391,H
2019-11-26 09:55,1.736,L
2019-11-26 15:21,2.470,H
2019-11-26 22:24,-0.599,L
2019-11-27 06:15,2.528,H
2019-11-27 10:49,1.917,L
2019-11-27 15:54,2.399,H
2019-11-27 23:04,-0.659,L
2019-11-28 07:05,2.605,H
2019-11-28 11:45,2.035,L
2019-11-28 16:27,2.295,H
2019-11-28 23:45,-0.613,L
2019-11-29 07:55,2.629,H
2019-11-29 12:48,2.090,L
2019-11-29 17:03,2.160,H
2019-11-30 00:28,-0.478,L
2019-11-30 08:44,2.614,H
2019-11-30 14:09,2.072,L
2019-11-30 17:43,2.001,H
