Date Time, Prediction, Type
2019-10-01 06:45,2.228,H
2019-10-01 12:10,1.014,L
2019-10-01 18:12,2.326,H
2019-10-02 00:41,-0.114,L
2019-10-02 07:52,2.212,H
2019-10-02 13:03,1.348,L
2019-10-02 18:46,2.245,H
2019-10-03 01:30,-0.155,L
2019-10-03 09:06,2.195,H
2019-10-03 14:05,1.631,L
2019-10-03 19:23,2.129,H
2019-10-04 02:23,-0.104,L
2019-10-04 10:28,2.198,H
2019-10-04 15:28,1.819,L
2019-10-04 20:05,1.986,H
2019-10-05 03:20,0.012,L
2019-10-05 11:51,2.233,H
2019-10-05 17:38,1.851,L
2019-10-05 20:56,1.836,H
2019-10-06 04:23,0.154,L
2019-10-06 13:01,2.279,H
2019-10-06 19:18,1.739,L
2019-10-06 22:04,1.706,H
2019-10-07 05:30,0.283,L
2019-10-07 13:54,2.308,H
2019-10-07 20:14,1.584,L
2019-10-07 23:31,1.634,H
2019-10-08 06:35,0.382,L
2019-10-08 14:36,2.307,H
2019-10-08 20:50,1.422,L
2019-10-09 00:59,1.648,H
2019-10-09 07:31,0.459,L
2019-10-09 15:09,2.280,H
2019-10-09 21:15,1.257,L
2019-10-10 02:10,1.718,H
2019-10-10 08:18,0.539,L
2019-10-10 15:33,2.241,H
2019-10-10 21:33,1.082,L
2019-10-11 03:04,1.805,H
2019-10-11 08:58,0.635,L
2019-10-11 15:51,2.208,H
2019-10-11 21:51,0.890,L
2019-10-12 03:50,1.889,H
2019-10-12 09:34,0.757,L
2019-10-12 16:05,2.192,H
2019-10-12 22:13,0.683,L
2019-10-13 04:34,1.968,H
2019-10-13 10:09,0.909,L
2019-10-13 16:22,2.190,H
2019-10-13 22:38,0.473,L
2019-10-14 05:17,2.039,H
2019-10-14 10:44,1.085,L
2019-10-14 16:43,2.186,H
2019-10-14 23:07,0.275,L
2019-10-15 06:01,2.103,H
2019-10-15 11:21,1.280,L
2019-10-15 17:07,2.170,H
2019-10-15 23:39,0.103,L
2019-10-16 06:49,2.155,H
2019-10-16 12:00,1.482,L
2019-10-16 17:32,2.134,H
2019-10-17 00:15,-0.031,L
2019-10-17 07:40,2.190,H
2019-10-17 12:43,1.676,L
2019-10-17 17:58,2.084,H
2019-10-18 00:54,-0.116,L
2019-10-18 08:36,2.208,H
2019-10-18 13:34,1.847,L
2019-10-18 18:24,2.024,H
2019-10-19 01:39,-0.148,L
2019-10-19 09:40,2.217,H
2019-10-19 14:37,1.971,L
2019-10-19 18:48,1.957,H
2019-10-20 02:31,-0.129,L
2019-10-20 10:52,2.231,H
2019-10-20 16:04,2.011,L
2019-10-20 19:20,1.877,H
2019-10-21 03:30,-0.072,L
2019-10-21 12:01,2.264,H
2019-10-21 17:54,1.924,L
2019-10-21 20:47,1.778,H
2019-10-22 04:35,0.006,L
2019-10-22 12:55,2.303,H
2019-10-22 18:54,1.729,L
2019-10-22 22:30,1.709,H
2019-10-23 05:42,0.094,L
2019-10-23 13:37,2.339,H
2019-10-23 19:31,1.450,L
2019-10-24 00:08,1.719,H
2019-10-24 06:45,0.204,L
2019-10-24 14:12,2.371,H
2019-10-24 20:07,1.103,L
2019-10-25 01:36,1.816,H
2019-10-25 07:42,0.355,L
2019-10-25 14:43,2.402,H
2019-10-25 20:45,0.714,L
2019-10-26 02:53,1.965,H
2019-10-26 08:35,0.561,L
2019-10-26 15:13,2.427,H
2019-10-26 21:24,0.323,L
2019-10-27 04:00,2.122,H
2019-10-27 09:24,0.817,L
2019-10-27 15:42,2.441,H
2019-10-27 22:04,-0.026,L
2019-10-28 05:02,2.262,H
2019-10-28 10:13,1.101,L
2019-10-28 16:12,2.432,H
2019-10-28 22:45,-0.290,L
2019-10-29 06:01,2.367,H
2019-10-29 11:02,1.384,L
2019-10-29 16:43,2.390,H
2019-10-29 23:27,-0.445,L
2019-10-30 07:00,2.435,H
2019-10-30 11:54,1.638,L
2019-10-30 17:15,2.308,H
2019-10-31 00:10,-0.479,L
2019-10-31 07:59,2.465,H
2019-10-31 12:54,1.837,L
2019-10-31 17:49,2.189,H
