Date Time, Prediction, Type
2019-11-01 01:01,-0.356,L
2019-11-01 09:25,2.512,H
2019-11-01 14:46,1.917,L
2019-11-01 17:53,2.035,H
2019-11-02 01:46,-0.221,L
2019-11-02 10:27,2.505,H
2019-11-03 02:36,-0.032,L
2019-11-03 11:26,2.479,H
2019-11-04 03:30,0.181,L
2019-11-04 12:19,2.438,H
2019-11-05 04:28,0.394,L
2019-11-05 13:03,2.389,H
2019-11-05 20:01,1.349,L
2019-11-05 22:37,1.408,H
2019-11-06 05:29,0.593,L
2019-11-06 13:39,2.333,H
2019-11-06 20:25,1.149,L
2019-11-07 00:52,1.421,H
2019-11-07 06:30,0.776,L
2019-11-07 14:05,2.279,H
2019-11-07 20:47,0.940,L
2019-11-08 02:21,1.538,H
2019-11-08 07:26,0.948,L
2019-11-08 14:24,2.233,H
2019-11-08 21:08,0.724,L
2019-11-09 03:25,1.692,H
2019-11-09 08:14,1.120,L
2019-11-09 14:39,2.203,H
2019-11-09 21:27,0.501,L
2019-11-10 04:19,1.858,H
2019-11-10 08:56,1.294,L
2019-11-10 14:51,2.190,H
2019-11-10 21:48,0.279,L
2019-11-11 05:08,2.025,H
2019-11-11 09:36,1.469,L
2019-11-11 15:06,2.189,H
2019-11-11 22:11,0.066,L
2019-11-12 05:53,2.182,H
2019-11-12 10:18,1.636,L
2019-11-12 15:23,2.191,H
2019-11-12 22:39,-0.121,L
2019-11-13 06:36,2.318,H
2019-11-13 11:01,1.787,L
2019-11-13 15:42,2.189,H
2019-11-13 23:12,-0.269,L
2019-11-14 07:21,2.422,H
2019-11-14 11:49,1.914,L
2019-11-14 16:04,2.178,H
2019-11-14 23:48,-0.366,L
2019-11-15 08:08,2.489,H
2019-11-15 12:42,2.009,L
2019-11-15 16:25,2.155,H
2019-11-16 00:29,-0.400,L
2019-11-16 09:00,2.523,H
2019-11-16 13:46,2.061,L
2019-11-16 16:42,2.110,H
2019-11-17 01:13,-0.367,L
2019-11-17 09:54,2.534,H
2019-11-18 02:02,-0.264,L
2019-11-18 10:47,2.531,H
2019-11-19 02:57,-0.094,L
2019-11-19 11:34,2.520,H
2019-11-20 03:55,0.133,L
2019-11-20 12:15,2.505,H
2019-11-20 19:14,1.380,L
2019-11-20 22:13,1.489,H
2019-11-21 04:57,0.407,L
2019-11-21 12:50,2.491,H
2019-11-21 19:41,1.027,L
2019-11-22 00:37,1.491,H
2019-11-22 06:00,0.712,L
2019-11-22 13:20,2.483,H
2019-11-22 20:12,0.636,L
2019-11-23 02:26,1.674,H
2019-11-23 07:05,1.025,L
2019-11-23 13:47,2.480,H
2019-11-23 20:45,0.247,L
2019-11-24 03:45,1.931,H
2019-11-24 08:07,1.325,L
2019-11-24 14:12,2.478,H
2019-11-24 21:20,-0.098,L
2019-11-25 04:52,2.191,H
2019-11-25 09:05,1.594,L
2019-11-25 14:35,2.468,H
2019-11-25 21:55,-0.364,L
2019-11-26 05:49,2.415,H
2019-11-26 10:03,1.815,L
2019-11-26 15:00,2.439,H
2019-11-26 22:32,-0.530,L
2019-11-27 06:41,2.578,H
2019-11-27 11:04,1.974,L
2019-11-27 15:27,2.380,H
2019-11-27 23:11,-0.589,L
2019-11-28 07:29,2.672,H
2019-11-28 12:11,2.060,L
2019-11-28 15:55,2.290,H
2019-11-28 23:50,-0.550,L
2019-11-29 08:17,2.703,H
2019-11-29 13:31,2.071,L
2019-11-29 16:25,2.169,H
2019-11-30 00:30,-0.430,L
2019-11-30 09:05,2.686,H
