Date Time, Prediction, Type
2019-10-01 00:02,0.029,L
2019-10-01 06:43,2.228,H
2019-10-01 12:19,1.014,L
2019-10-01 18:10,2.326,H
2019-10-02 00:50,-0.114,L
2019-10-02 07:50,2.212,H
2019-10-02 13:12,1.348,L
2019-10-02 18:44,2.245,H
2019-10-03 01:39,-0.155,L
2019-10-03 09:04,2.195,H
2019-10-03 14:14,1.631,L
2019-10-03 19:21,2.129,H
2019-10-04 02:32,-0.104,L
2019-10-04 10:26,2.198,H
2019-10-04 15:37,1.819,L
2019-10-04 20:03,1.986,H
2019-10-05 03:29,0.012,L
2019-10-05 11:49,2.233,H
2019-10-05 17:47,1.851,L
2019-10-05 20:54,1.836,H
2019-10-06 04:32,0.154,L
2019-10-06 12:59,2.279,H
2019-10-06 19:27,1.739,L
2019-10-06 22:02,1.706,H
2019-10-07 05:39,0.283,L
2019-10-07 13:52,2.308,H
2019-10-07 20:23,1.584,L
2019-10-07 23:29,1.634,H
2019-10-08 06:44,0.382,L
2019-10-08 14:34,2.307,H
2019-10-08 20:59,1.422,L
2019-10-09 00:57,1.648,H
2019-10-09 07:40,0.459,L
2019-10-09 15:07,2.280,H
2019-10-09 21:24,1.257,L
2019-10-10 02:08,1.718,H
2019-10-10 08:27,0.539,L
2019-10-10 15:31,2.241,H
2019-10-10 21:42,1.082,L
2019-10-11 03:02,1.805,H
2019-10-11 09:07,0.635,L
2019-10-11 15:49,2.208,H
2019-10-11 22:00,0.890,L
2019-10-12 03:48,1.889,H
2019-10-12 09:43,0.757,L
2019-10-12 16:03,2.192,H
2019-10-12 22:22,0.683,L
2019-10-13 04:32,1.968,H
2019-10-13 10:18,0.909,L
2019-10-13 16:20,2.190,H
2019-10-13 22:47,0.473,L
2019-10-14 05:15,2.039,H
2019-10-14 10:53,1.085,L
2019-10-14 16:41,2.186,H
2019-10-14 23:16,0.275,L
2019-10-15 05:59,2.103,H
2019-10-15 11:30,1.280,L
2019-10-15 17:05,2.170,H
2019-10-15 23:48,0.103,L
2019-10-16 06:47,2.155,H
2019-10-16 12:09,1.482,L
2019-10-16 17:30,2.134,H
2019-10-17 00:24,-0.031,L
2019-10-17 07:38,2.190,H
2019-10-17 12:52,1.676,L
2019-10-17 17:56,2.084,H
2019-10-18 01:03,-0.116,L
2019-10-18 08:34,2.208,H
2019-10-18 13:43,1.847,L
2019-10-18 18:22,2.024,H
2019-10-19 01:48,-0.148,L
2019-10-19 09:38,2.217,H
2019-10-19 14:46,1.971,L
2019-10-19 18:46,1.957,H
2019-10-20 02:40,-0.129,L
2019-10-20 10:50,2.231,H
2019-10-20 16:13,2.011,L
2019-10-20 19:18,1.877,H
2019-10-21 03:39,-0.072,L
2019-10-21 11:59,2.264,H
2019-10-21 18:03,1.924,L
2019-10-21 20:45,1.778,H
2019-10-22 04:44,0.006,L
2019-10-22 12:53,2.303,H
2019-10-22 19:03,1.729,L
2019-10-22 22:28,1.709,H
2019-10-23 05:51,0.094,L
2019-10-23 13:35,2.339,H
2019-10-23 19:40,1.450,L
2019-10-24 00:06,1.719,H
2019-10-24 06:54,0.204,L
2019-10-24 14:10,2.371,H
2019-10-24 20:16,1.103,L
2019-10-25 01:34,1.816,H
2019-10-25 07:51,0.355,L
2019-10-25 14:41,2.402,H
2019-10-25 20:54,0.714,L
2019-10-26 02:51,1.965,H
2019-10-26 08:44,0.561,L
2019-10-26 15:11,2.427,H
2019-10-26 21:33,0.323,L
2019-10-27 03:58,2.122,H
2019-10-27 09:33,0.817,L
2019-10-27 15:40,2.441,H
2019-10-27 22:13,-0.026,L
2019-10-28 05:00,2.262,H
2019-10-28 10:22,1.101,L
2019-10-28 16:10,2.432,H
2019-10-28 22:54,-0.290,L
2019-10-29 05:59,2.367,H
2019-10-29 11:11,1.384,L
2019-10-29 16:41,2.390,H
2019-10-29 23:36,-0.445,L
2019-10-30 06:58,2.435,H
2019-10-30 12:03,1.638,L
2019-10-30 17:13,2.308,H
2019-10-31 00:19,-0.479,L
2019-10-31 07:57,2.465,H
2019-10-31 13:03,1.837,L
2019-10-31 17:47,2.189,H
