Date Time, Prediction, Type
2019-11-01 00:57,-0.346,L
2019-11-01 09:17,2.488,H
2019-11-01 14:21,1.934,L
2019-11-01 17:27,2.071,H
2019-11-02 01:43,-0.215,L
2019-11-02 10:19,2.476,H
2019-11-03 02:30,-0.039,L
2019-11-03 11:17,2.461,H
2019-11-04 03:20,0.158,L
2019-11-04 12:06,2.441,H
2019-11-05 04:12,0.359,L
2019-11-05 12:46,2.414,H
2019-11-06 05:09,0.552,L
2019-11-06 13:19,2.380,H
2019-11-06 20:12,1.213,L
2019-11-07 00:36,1.429,H
2019-11-07 06:08,0.730,L
2019-11-07 13:46,2.342,H
2019-11-07 20:32,0.990,L
2019-11-08 01:57,1.546,H
2019-11-08 07:02,0.898,L
2019-11-08 14:08,2.305,H
2019-11-08 20:54,0.756,L
2019-11-09 03:02,1.698,H
2019-11-09 07:51,1.064,L
2019-11-09 14:23,2.274,H
2019-11-09 21:16,0.520,L
2019-11-10 03:59,1.863,H
2019-11-10 08:36,1.232,L
2019-11-10 14:35,2.254,H
2019-11-10 21:40,0.294,L
2019-11-11 04:49,2.026,H
2019-11-11 09:21,1.399,L
2019-11-11 14:49,2.243,H
2019-11-11 22:06,0.089,L
2019-11-12 05:36,2.174,H
2019-11-12 10:05,1.564,L
2019-11-12 15:08,2.236,H
2019-11-12 22:35,-0.084,L
2019-11-13 06:23,2.299,H
2019-11-13 10:49,1.724,L
2019-11-13 15:29,2.227,H
2019-11-13 23:07,-0.217,L
2019-11-14 07:12,2.399,H
2019-11-14 11:37,1.870,L
2019-11-14 15:52,2.214,H
2019-11-14 23:42,-0.305,L
2019-11-15 08:05,2.477,H
2019-11-15 12:31,1.993,L
2019-11-15 16:16,2.192,H
2019-11-16 00:22,-0.339,L
2019-11-16 08:59,2.536,H
2019-11-16 13:39,2.068,L
2019-11-16 16:37,2.149,H
2019-11-17 01:05,-0.313,L
2019-11-17 09:53,2.577,H
2019-11-18 01:53,-0.223,L
2019-11-18 10:43,2.602,H
2019-11-19 02:45,-0.064,L
2019-11-19 11:27,2.609,H
2019-11-20 03:40,0.162,L
2019-11-20 12:04,2.600,H
2019-11-20 18:59,1.399,L
2019-11-20 21:43,1.505,H
2019-11-21 04:41,0.442,L
2019-11-21 12:35,2.580,H
2019-11-21 19:26,1.033,L
2019-11-22 00:25,1.529,H
2019-11-22 05:46,0.749,L
2019-11-22 13:01,2.560,H
2019-11-22 19:59,0.631,L
2019-11-23 02:09,1.738,H
2019-11-23 06:53,1.057,L
2019-11-23 13:26,2.544,H
2019-11-23 20:34,0.235,L
2019-11-24 03:28,1.999,H
2019-11-24 07:56,1.347,L
2019-11-24 13:51,2.532,H
2019-11-24 21:12,-0.113,L
2019-11-25 04:33,2.251,H
2019-11-25 08:57,1.604,L
2019-11-25 14:16,2.516,H
2019-11-25 21:50,-0.377,L
2019-11-26 05:31,2.456,H
2019-11-26 09:56,1.814,L
2019-11-26 14:44,2.485,H
2019-11-26 22:29,-0.536,L
2019-11-27 06:24,2.596,H
2019-11-27 10:55,1.970,L
2019-11-27 15:13,2.430,H
2019-11-27 23:08,-0.586,L
2019-11-28 07:17,2.672,H
2019-11-28 11:56,2.070,L
2019-11-28 15:43,2.348,H
2019-11-28 23:47,-0.537,L
2019-11-29 08:08,2.698,H
2019-11-29 13:10,2.110,L
2019-11-29 16:11,2.240,H
2019-11-30 00:27,-0.411,L
2019-11-30 08:59,2.689,H
2019-11-30 14:45,2.074,L
2019-11-30 16:36,2.107,H
