Date Time, Prediction, Type
2019-10-01 06:46,2.426,H
2019-10-01 11:41,0.942,L
2019-10-01 18:13,2.532,H
2019-10-02 00:12,-0.106,L
2019-10-02 07:53,2.409,H
2019-10-02 12:34,1.253,L
2019-10-02 18:47,2.444,H
2019-10-03 01:01,-0.144,L
2019-10-03 09:07,2.390,H
2019-10-03 13:36,1.515,L
2019-10-03 19:24,2.318,H
2019-10-04 01:54,-0.097,L
2019-10-04 10:29,2.393,H
2019-10-04 14:59,1.690,L
2019-10-04 20:06,2.163,H
2019-10-05 02:51,0.011,L
2019-10-05 11:52,2.431,H
2019-10-05 17:09,1.720,L
2019-10-05 20:57,1.999,H
2019-10-06 03:54,0.144,L
2019-10-06 13:02,2.481,H
2019-10-06 18:49,1.616,L
2019-10-06 22:05,1.857,H
2019-10-07 05:01,0.263,L
2019-10-07 13:55,2.513,H
2019-10-07 19:45,1.472,L
2019-10-07 23:32,1.780,H
2019-10-08 06:06,0.355,L
2019-10-08 14:37,2.512,H
2019-10-08 20:21,1.321,L
2019-10-09 01:00,1.794,H
2019-10-09 07:02,0.427,L
2019-10-09 15:10,2.482,H
2019-10-09 20:46,1.168,L
2019-10-10 02:11,1.871,H
2019-10-10 07:49,0.500,L
2019-10-10 15:34,2.440,H
2019-10-10 21:04,1.006,L
2019-10-11 03:05,1.965,H
2019-10-11 08:29,0.590,L
2019-10-11 15:52,2.404,H
2019-10-11 21:22,0.827,L
2019-10-12 03:51,2.057,H
2019-10-12 09:05,0.704,L
2019-10-12 16:06,2.386,H
2019-10-12 21:44,0.635,L
2019-10-13 04:35,2.143,H
2019-10-13 09:40,0.845,L
2019-10-13 16:23,2.384,H
2019-10-13 22:09,0.440,L
2019-10-14 05:18,2.221,H
2019-10-14 10:15,1.008,L
2019-10-14 16:44,2.380,H
2019-10-14 22:38,0.256,L
2019-10-15 06:02,2.290,H
2019-10-15 10:52,1.190,L
2019-10-15 17:08,2.363,H
2019-10-15 23:10,0.096,L
2019-10-16 06:50,2.346,H
2019-10-16 11:31,1.377,L
2019-10-16 17:33,2.324,H
2019-10-16 23:46,-0.029,L
2019-10-17 07:41,2.384,H
2019-10-17 12:14,1.558,L
2019-10-17 17:59,2.269,H
2019-10-18 00:25,-0.108,L
2019-10-18 08:37,2.404,H
2019-10-18 13:05,1.717,L
2019-10-18 18:25,2.204,H
2019-10-19 01:10,-0.137,L
2019-10-19 09:41,2.414,H
2019-10-19 14:08,1.832,L
2019-10-19 18:49,2.132,H
2019-10-20 02:02,-0.120,L
2019-10-20 10:53,2.429,H
2019-10-20 15:35,1.869,L
2019-10-20 19:21,2.043,H
2019-10-21 03:01,-0.067,L
2019-10-21 12:02,2.465,H
2019-10-21 17:25,1.788,L
2019-10-21 20:48,1.936,H
2019-10-22 04:06,0.006,L
2019-10-22 12:56,2.508,H
2019-10-22 18:25,1.606,L
2019-10-22 22:31,1.861,H
2019-10-23 05:13,0.087,L
2019-10-23 13:38,2.547,H
2019-10-23 19:02,1.348,L
2019-10-24 00:09,1.872,H
2019-10-24 06:16,0.190,L
2019-10-24 14:13,2.582,H
2019-10-24 19:38,1.025,L
2019-10-25 01:37,1.978,H
2019-10-25 07:13,0.330,L
2019-10-25 14:44,2.616,H
2019-10-25 20:16,0.663,L
2019-10-26 02:54,2.139,H
2019-10-26 08:06,0.522,L
2019-10-26 15:14,2.643,H
2019-10-26 20:55,0.300,L
2019-10-27 04:01,2.311,H
2019-10-27 08:55,0.759,L
2019-10-27 15:43,2.658,H
2019-10-27 21:35,-0.024,L
2019-10-28 05:03,2.463,H
2019-10-28 09:44,1.023,L
2019-10-28 16:13,2.648,H
2019-10-28 22:16,-0.270,L
2019-10-29 06:02,2.577,H
2019-10-29 10:33,1.286,L
2019-10-29 16:44,2.602,H
2019-10-29 22:58,-0.413,L
2019-10-30 07:01,2.651,H
2019-10-30 11:25,1.523,L
2019-10-30 17:16,2.513,H
2019-10-30 23:41,-0.445,L
2019-10-31 08:00,2.684,H
2019-10-31 12:25,1.708,L
2019-10-31 17:50,2.383,H
