Date Time, Prediction, Type
2020-11-01 05:42,2.316,H
2020-11-01 10:13,1.448,L
2020-11-01 15:50,2.309,H
2020-11-01 22:25,-0.073,L
2020-11-02 06:24,2.399,H
2020-11-02 10:54,1.601,L
2020-11-02 16:12,2.267,H
2020-11-02 22:57,-0.163,L
2020-11-03 07:08,2.458,H
2020-11-03 11:40,1.730,L
2020-11-03 16:34,2.206,H
2020-11-03 23:32,-0.204,L
2020-11-04 07:55,2.490,H
2020-11-04 12:33,1.830,L
2020-11-04 16:50,2.135,H
2020-11-05 00:12,-0.201,L
2020-11-05 08:48,2.499,H
2020-11-05 13:42,1.888,L
2020-11-05 16:05,2.068,H
2020-11-06 00:56,-0.157,L
2020-11-06 09:45,2.498,H
2020-11-07 01:47,-0.077,L
2020-11-07 10:43,2.498,H
2020-11-08 02:44,0.028,L
2020-11-08 11:33,2.503,H
2020-11-09 03:47,0.156,L
2020-11-09 12:14,2.515,H
2020-11-09 18:41,1.366,L
2020-11-09 22:24,1.629,H
2020-11-10 04:51,0.303,L
2020-11-10 12:47,2.533,H
2020-11-10 18:52,1.061,L
2020-11-11 00:08,1.682,H
2020-11-11 05:52,0.479,L
2020-11-11 13:17,2.560,H
2020-11-11 19:21,0.688,L
2020-11-12 01:39,1.851,H
2020-11-12 06:48,0.689,L
2020-11-12 13:45,2.597,H
2020-11-12 19:55,0.284,L
2020-11-13 02:55,2.082,H
2020-11-13 07:41,0.930,L
2020-11-13 14:14,2.635,H
2020-11-13 20:33,-0.105,L
2020-11-14 04:00,2.321,H
2020-11-14 08:32,1.184,L
2020-11-14 14:44,2.662,H
2020-11-14 21:13,-0.429,L
2020-11-15 05:00,2.525,H
2020-11-15 09:23,1.428,L
2020-11-15 15:15,2.659,H
2020-11-15 21:55,-0.649,L
2020-11-16 05:58,2.673,H
2020-11-16 10:16,1.637,L
2020-11-16 15:49,2.612,H
2020-11-16 22:39,-0.742,L
2020-11-17 06:55,2.759,H
2020-11-17 11:14,1.789,L
2020-11-17 16:26,2.512,H
2020-11-17 23:25,-0.709,L
2020-11-18 07:52,2.785,H
2020-11-18 12:20,1.873,L
2020-11-18 17:06,2.360,H
2020-11-19 00:13,-0.568,L
2020-11-19 08:50,2.769,H
2020-11-19 13:49,1.869,L
2020-11-19 17:53,2.162,H
2020-11-20 01:04,-0.347,L
2020-11-20 09:48,2.729,H
2020-11-20 16:19,1.738,L
2020-11-20 18:51,1.936,H
2020-11-21 01:59,-0.079,L
2020-11-21 10:44,2.682,H
2020-11-21 17:39,1.515,L
2020-11-21 20:08,1.709,H
2020-11-22 02:57,0.206,L
2020-11-22 11:34,2.632,H
2020-11-22 18:29,1.271,L
2020-11-22 21:46,1.536,H
2020-11-23 03:59,0.485,L
2020-11-23 12:15,2.579,H
2020-11-23 19:06,1.023,L
2020-11-23 23:53,1.503,H
2020-11-24 05:02,0.746,L
2020-11-24 12:48,2.526,H
2020-11-24 19:35,0.783,L
2020-11-25 01:41,1.640,H
2020-11-25 06:01,0.987,L
2020-11-25 13:11,2.477,H
2020-11-25 19:57,0.554,L
2020-11-26 02:52,1.844,H
2020-11-26 06:54,1.209,L
2020-11-26 13:29,2.441,H
2020-11-26 20:16,0.335,L
2020-11-27 03:46,2.053,H
2020-11-27 07:43,1.408,L
2020-11-27 13:46,2.422,H
2020-11-27 20:36,0.130,L
2020-11-28 04:33,2.240,H
2020-11-28 08:29,1.581,L
2020-11-28 14:05,2.411,H
2020-11-28 21:00,-0.053,L
2020-11-29 05:13,2.397,H
2020-11-29 09:13,1.724,L
2020-11-29 14:27,2.398,H
2020-11-29 21:27,-0.204,L
2020-11-30 05:51,2.517,H
2020-11-30 09:56,1.834,L
2020-11-30 14:51,2.370,H
2020-11-30 21:57,-0.316,L
