Date Time, Prediction, Type
2020-10-01 03:55,2.047,H
2020-10-01 09:25,0.549,L
2020-10-01 16:23,2.310,H
2020-10-01 22:00,0.639,L
2020-10-02 04:40,2.089,H
2020-10-02 10:00,0.723,L
2020-10-02 16:38,2.286,H
2020-10-02 22:28,0.467,L
2020-10-03 05:24,2.126,H
2020-10-03 10:35,0.918,L
2020-10-03 16:56,2.267,H
2020-10-03 22:58,0.315,L
2020-10-04 06:10,2.159,H
2020-10-04 11:13,1.124,L
2020-10-04 17:18,2.237,H
2020-10-04 23:32,0.194,L
2020-10-05 07:00,2.186,H
2020-10-05 11:54,1.328,L
2020-10-05 17:42,2.189,H
2020-10-06 00:08,0.113,L
2020-10-06 07:54,2.201,H
2020-10-06 12:40,1.517,L
2020-10-06 18:07,2.122,H
2020-10-07 00:47,0.072,L
2020-10-07 08:56,2.209,H
2020-10-07 13:38,1.676,L
2020-10-07 18:31,2.047,H
2020-10-08 01:33,0.068,L
2020-10-08 10:12,2.221,H
2020-10-08 15:01,1.779,L
2020-10-08 18:48,1.974,H
2020-10-09 02:25,0.084,L
2020-10-09 11:39,2.261,H
2020-10-10 03:26,0.104,L
2020-10-10 12:43,2.318,H
2020-10-10 19:38,1.690,L
2020-10-10 20:44,1.828,H
2020-10-11 04:32,0.109,L
2020-10-11 13:25,2.366,H
2020-10-11 19:11,1.577,L
2020-10-11 22:30,1.799,H
2020-10-12 05:35,0.106,L
2020-10-12 13:56,2.401,H
2020-10-12 19:17,1.386,L
2020-10-13 00:01,1.847,H
2020-10-13 06:33,0.121,L
2020-10-13 14:23,2.431,H
2020-10-13 19:43,1.116,L
2020-10-14 01:20,1.959,H
2020-10-14 07:25,0.189,L
2020-10-14 14:48,2.465,H
2020-10-14 20:17,0.785,L
2020-10-15 02:31,2.102,H
2020-10-15 08:13,0.328,L
2020-10-15 15:14,2.502,H
2020-10-15 20:54,0.424,L
2020-10-16 03:36,2.247,H
2020-10-16 08:59,0.539,L
2020-10-16 15:42,2.537,H
2020-10-16 21:34,0.077,L
2020-10-17 04:39,2.372,H
2020-10-17 09:45,0.804,L
2020-10-17 16:11,2.556,H
2020-10-17 22:17,-0.214,L
2020-10-18 05:42,2.465,H
2020-10-18 10:33,1.092,L
2020-10-18 16:42,2.545,H
2020-10-18 23:02,-0.408,L
2020-10-19 06:45,2.522,H
2020-10-19 11:25,1.368,L
2020-10-19 17:16,2.491,H
2020-10-19 23:49,-0.488,L
2020-10-20 07:52,2.546,H
2020-10-20 12:23,1.596,L
2020-10-20 17:52,2.386,H
2020-10-21 00:40,-0.451,L
2020-10-21 09:03,2.549,H
2020-10-21 13:37,1.747,L
2020-10-21 18:33,2.234,H
2020-10-22 01:34,-0.318,L
2020-10-22 10:19,2.549,H
2020-10-22 15:35,1.776,L
2020-10-22 19:24,2.048,H
2020-10-23 02:34,-0.125,L
2020-10-23 11:30,2.555,H
2020-10-23 17:51,1.637,L
2020-10-23 20:32,1.853,H
2020-10-24 03:39,0.084,L
2020-10-24 12:29,2.556,H
2020-10-24 18:55,1.435,L
2020-10-24 22:04,1.701,H
2020-10-25 04:49,0.275,L
2020-10-25 13:17,2.541,H
2020-10-25 19:36,1.224,L
2020-10-25 23:52,1.657,H
2020-10-26 05:54,0.442,L
2020-10-26 13:54,2.508,H
2020-10-26 20:07,1.017,L
2020-10-27 01:26,1.729,H
2020-10-27 06:50,0.597,L
2020-10-27 14:23,2.459,H
2020-10-27 20:30,0.816,L
2020-10-28 02:34,1.851,H
2020-10-28 07:37,0.757,L
2020-10-28 14:44,2.406,H
2020-10-28 20:48,0.616,L
2020-10-29 03:29,1.980,H
2020-10-29 08:18,0.927,L
2020-10-29 14:59,2.366,H
2020-10-29 21:07,0.418,L
2020-10-30 04:16,2.102,H
2020-10-30 08:57,1.104,L
2020-10-30 15:13,2.346,H
2020-10-30 21:30,0.228,L
2020-10-31 05:00,2.216,H
2020-10-31 09:34,1.280,L
2020-10-31 15:29,2.331,H
2020-10-31 21:56,0.060,L
