Date Time, Prediction, Type
2020-11-01 05:51,2.267,H
2020-11-01 10:39,1.679,L
2020-11-01 15:59,2.260,H
2020-11-01 22:51,-0.085,L
2020-11-02 06:33,2.348,H
2020-11-02 11:20,1.855,L
2020-11-02 16:21,2.219,H
2020-11-02 23:23,-0.189,L
2020-11-03 07:17,2.406,H
2020-11-03 12:06,2.005,L
2020-11-03 16:43,2.159,H
2020-11-03 23:58,-0.237,L
2020-11-04 08:04,2.438,H
2020-11-04 12:59,2.121,L
2020-11-04 16:59,2.090,H
2020-11-05 00:38,-0.233,L
2020-11-05 08:57,2.447,H
2020-11-05 14:08,2.189,L
2020-11-05 16:14,2.025,H
2020-11-06 01:22,-0.182,L
2020-11-06 09:54,2.445,H
2020-11-07 02:13,-0.090,L
2020-11-07 10:52,2.445,H
2020-11-08 03:10,0.033,L
2020-11-08 11:42,2.451,H
2020-11-09 04:13,0.181,L
2020-11-09 12:23,2.462,H
2020-11-09 19:07,1.583,L
2020-11-09 22:33,1.595,H
2020-11-10 05:17,0.351,L
2020-11-10 12:56,2.479,H
2020-11-10 19:18,1.230,L
2020-11-11 00:17,1.647,H
2020-11-11 06:18,0.555,L
2020-11-11 13:26,2.506,H
2020-11-11 19:47,0.798,L
2020-11-12 01:48,1.812,H
2020-11-12 07:14,0.799,L
2020-11-12 13:54,2.543,H
2020-11-12 20:21,0.329,L
2020-11-13 03:04,2.039,H
2020-11-13 08:07,1.078,L
2020-11-13 14:23,2.580,H
2020-11-13 20:59,-0.121,L
2020-11-14 04:09,2.272,H
2020-11-14 08:58,1.373,L
2020-11-14 14:53,2.606,H
2020-11-14 21:39,-0.497,L
2020-11-15 05:09,2.472,H
2020-11-15 09:49,1.655,L
2020-11-15 15:24,2.603,H
2020-11-15 22:21,-0.752,L
2020-11-16 06:07,2.617,H
2020-11-16 10:42,1.897,L
2020-11-16 15:58,2.557,H
2020-11-16 23:05,-0.860,L
2020-11-17 07:04,2.701,H
2020-11-17 11:40,2.074,L
2020-11-17 16:35,2.459,H
2020-11-17 23:51,-0.822,L
2020-11-18 08:01,2.727,H
2020-11-18 12:46,2.171,L
2020-11-18 17:15,2.310,H
2020-11-19 00:39,-0.658,L
2020-11-19 08:59,2.711,H
2020-11-19 14:15,2.166,L
2020-11-19 18:02,2.117,H
2020-11-20 01:30,-0.402,L
2020-11-20 09:57,2.672,H
2020-11-20 16:45,2.015,L
2020-11-20 19:00,1.895,H
2020-11-21 02:25,-0.092,L
2020-11-21 10:53,2.625,H
2020-11-21 18:05,1.756,L
2020-11-21 20:17,1.673,H
2020-11-22 03:23,0.239,L
2020-11-22 11:43,2.576,H
2020-11-22 18:55,1.473,L
2020-11-22 21:55,1.504,H
2020-11-23 04:25,0.562,L
2020-11-23 12:24,2.525,H
2020-11-23 19:32,1.186,L
2020-11-24 00:02,1.471,H
2020-11-24 05:28,0.865,L
2020-11-24 12:57,2.473,H
2020-11-24 20:01,0.908,L
2020-11-25 01:50,1.605,H
2020-11-25 06:27,1.144,L
2020-11-25 13:20,2.425,H
2020-11-25 20:23,0.642,L
2020-11-26 03:01,1.805,H
2020-11-26 07:20,1.401,L
2020-11-26 13:38,2.389,H
2020-11-26 20:42,0.389,L
2020-11-27 03:55,2.010,H
2020-11-27 08:09,1.632,L
2020-11-27 13:55,2.371,H
2020-11-27 21:02,0.151,L
2020-11-28 04:42,2.193,H
2020-11-28 08:55,1.833,L
2020-11-28 14:14,2.360,H
2020-11-28 21:26,-0.061,L
2020-11-29 05:22,2.346,H
2020-11-29 09:39,1.998,L
2020-11-29 14:36,2.347,H
2020-11-29 21:53,-0.237,L
2020-11-30 06:00,2.465,H
2020-11-30 10:22,2.126,L
2020-11-30 15:00,2.320,H
2020-11-30 22:23,-0.366,L
