Date Time, Prediction, Type
2020-10-01 04:04,2.004,H
2020-10-01 09:51,0.636,L
2020-10-01 16:32,2.262,H
2020-10-01 22:26,0.741,L
2020-10-02 04:49,2.045,H
2020-10-02 10:26,0.838,L
2020-10-02 16:47,2.238,H
2020-10-02 22:54,0.542,L
2020-10-03 05:33,2.081,H
2020-10-03 11:01,1.064,L
2020-10-03 17:05,2.219,H
2020-10-03 23:24,0.365,L
2020-10-04 06:19,2.114,H
2020-10-04 11:39,1.303,L
2020-10-04 17:27,2.190,H
2020-10-04 23:58,0.225,L
2020-10-05 07:09,2.140,H
2020-10-05 12:20,1.539,L
2020-10-05 17:51,2.143,H
2020-10-06 00:34,0.131,L
2020-10-06 08:03,2.155,H
2020-10-06 13:06,1.758,L
2020-10-06 18:16,2.078,H
2020-10-07 01:13,0.084,L
2020-10-07 09:05,2.162,H
2020-10-07 14:04,1.942,L
2020-10-07 18:40,2.004,H
2020-10-08 01:59,0.079,L
2020-10-08 10:21,2.174,H
2020-10-08 15:27,2.062,L
2020-10-08 18:57,1.933,H
2020-10-09 02:51,0.098,L
2020-10-09 11:48,2.213,H
2020-10-10 03:52,0.120,L
2020-10-10 12:52,2.269,H
2020-10-10 20:04,1.959,L
2020-10-10 20:53,1.789,H
2020-10-11 04:58,0.126,L
2020-10-11 13:34,2.316,H
2020-10-11 19:37,1.828,L
2020-10-11 22:39,1.761,H
2020-10-12 06:01,0.122,L
2020-10-12 14:05,2.350,H
2020-10-12 19:43,1.607,L
2020-10-13 00:10,1.808,H
2020-10-13 06:59,0.141,L
2020-10-13 14:32,2.380,H
2020-10-13 20:09,1.293,L
2020-10-14 01:29,1.918,H
2020-10-14 07:51,0.219,L
2020-10-14 14:57,2.413,H
2020-10-14 20:43,0.910,L
2020-10-15 02:40,2.058,H
2020-10-15 08:39,0.380,L
2020-10-15 15:23,2.450,H
2020-10-15 21:20,0.492,L
2020-10-16 03:45,2.199,H
2020-10-16 09:25,0.625,L
2020-10-16 15:51,2.484,H
2020-10-16 22:00,0.089,L
2020-10-17 04:48,2.322,H
2020-10-17 10:11,0.932,L
2020-10-17 16:20,2.503,H
2020-10-17 22:43,-0.248,L
2020-10-18 05:51,2.413,H
2020-10-18 10:59,1.266,L
2020-10-18 16:51,2.491,H
2020-10-18 23:28,-0.473,L
2020-10-19 06:54,2.469,H
2020-10-19 11:51,1.585,L
2020-10-19 17:25,2.438,H
2020-10-20 00:15,-0.565,L
2020-10-20 08:01,2.492,H
2020-10-20 12:49,1.850,L
2020-10-20 18:01,2.336,H
2020-10-21 01:06,-0.522,L
2020-10-21 09:12,2.495,H
2020-10-21 14:03,2.025,L
2020-10-21 18:42,2.187,H
2020-10-22 02:00,-0.368,L
2020-10-22 10:28,2.495,H
2020-10-22 16:01,2.058,L
2020-10-22 19:33,2.005,H
2020-10-23 03:00,-0.145,L
2020-10-23 11:39,2.501,H
2020-10-23 18:17,1.897,L
2020-10-23 20:41,1.814,H
2020-10-24 04:05,0.097,L
2020-10-24 12:38,2.502,H
2020-10-24 19:21,1.664,L
2020-10-24 22:13,1.665,H
2020-10-25 05:15,0.319,L
2020-10-25 13:26,2.488,H
2020-10-25 20:02,1.419,L
2020-10-26 00:01,1.622,H
2020-10-26 06:20,0.512,L
2020-10-26 14:03,2.455,H
2020-10-26 20:33,1.179,L
2020-10-27 01:35,1.693,H
2020-10-27 07:16,0.692,L
2020-10-27 14:32,2.407,H
2020-10-27 20:56,0.946,L
2020-10-28 02:43,1.812,H
2020-10-28 08:03,0.877,L
2020-10-28 14:53,2.356,H
2020-10-28 21:14,0.714,L
2020-10-29 03:38,1.938,H
2020-10-29 08:44,1.074,L
2020-10-29 15:08,2.317,H
2020-10-29 21:33,0.485,L
2020-10-30 04:25,2.058,H
2020-10-30 09:23,1.279,L
2020-10-30 15:22,2.296,H
2020-10-30 21:56,0.264,L
2020-10-31 05:09,2.170,H
2020-10-31 10:00,1.483,L
2020-10-31 15:38,2.282,H
2020-10-31 22:22,0.069,L
