Date Time, Prediction, Type
2020-10-01 04:20,2.047,H
2020-10-01 10:14,0.593,L
2020-10-01 16:48,2.310,H
2020-10-01 22:49,0.690,L
2020-10-02 05:05,2.089,H
2020-10-02 10:49,0.781,L
2020-10-02 17:03,2.286,H
2020-10-02 23:17,0.504,L
2020-10-03 05:49,2.126,H
2020-10-03 11:24,0.991,L
2020-10-03 17:21,2.267,H
2020-10-03 23:47,0.340,L
2020-10-04 06:35,2.159,H
2020-10-04 12:02,1.213,L
2020-10-04 17:43,2.237,H
2020-10-05 00:21,0.210,L
2020-10-05 07:25,2.186,H
2020-10-05 12:43,1.434,L
2020-10-05 18:07,2.189,H
2020-10-06 00:57,0.122,L
2020-10-06 08:19,2.201,H
2020-10-06 13:29,1.638,L
2020-10-06 18:32,2.122,H
2020-10-07 01:36,0.078,L
2020-10-07 09:21,2.209,H
2020-10-07 14:27,1.809,L
2020-10-07 18:56,2.047,H
2020-10-08 02:22,0.073,L
2020-10-08 10:37,2.221,H
2020-10-08 15:50,1.921,L
2020-10-08 19:13,1.974,H
2020-10-09 03:14,0.091,L
2020-10-09 12:04,2.261,H
2020-10-10 04:15,0.112,L
2020-10-10 13:08,2.318,H
2020-10-11 05:21,0.118,L
2020-10-11 13:50,2.366,H
2020-10-11 20:00,1.702,L
2020-10-11 22:55,1.799,H
2020-10-12 06:24,0.114,L
2020-10-12 14:21,2.401,H
2020-10-12 20:06,1.496,L
2020-10-13 00:26,1.847,H
2020-10-13 07:22,0.131,L
2020-10-13 14:48,2.431,H
2020-10-13 20:32,1.205,L
2020-10-14 01:45,1.959,H
2020-10-14 08:14,0.204,L
2020-10-14 15:13,2.465,H
2020-10-14 21:06,0.847,L
2020-10-15 02:56,2.102,H
2020-10-15 09:02,0.354,L
2020-10-15 15:39,2.502,H
2020-10-15 21:43,0.458,L
2020-10-16 04:01,2.247,H
2020-10-16 09:48,0.582,L
2020-10-16 16:07,2.537,H
2020-10-16 22:23,0.083,L
2020-10-17 05:04,2.372,H
2020-10-17 10:34,0.868,L
2020-10-17 16:36,2.556,H
2020-10-17 23:06,-0.231,L
2020-10-18 06:07,2.465,H
2020-10-18 11:22,1.179,L
2020-10-18 17:07,2.545,H
2020-10-18 23:51,-0.441,L
2020-10-19 07:10,2.522,H
2020-10-19 12:14,1.476,L
2020-10-19 17:41,2.491,H
2020-10-20 00:38,-0.526,L
2020-10-20 08:17,2.546,H
2020-10-20 13:12,1.723,L
2020-10-20 18:17,2.386,H
2020-10-21 01:29,-0.486,L
2020-10-21 09:28,2.549,H
2020-10-21 14:26,1.886,L
2020-10-21 18:58,2.234,H
2020-10-22 02:23,-0.343,L
2020-10-22 10:44,2.549,H
2020-10-22 16:24,1.917,L
2020-10-22 19:49,2.048,H
2020-10-23 03:23,-0.135,L
2020-10-23 11:55,2.555,H
2020-10-23 18:40,1.767,L
2020-10-23 20:57,1.853,H
2020-10-24 04:28,0.090,L
2020-10-24 12:54,2.556,H
2020-10-24 19:44,1.549,L
2020-10-24 22:29,1.701,H
2020-10-25 05:38,0.297,L
2020-10-25 13:42,2.541,H
2020-10-25 20:25,1.321,L
2020-10-26 00:17,1.657,H
2020-10-26 06:43,0.477,L
2020-10-26 14:19,2.508,H
2020-10-26 20:56,1.098,L
2020-10-27 01:51,1.729,H
2020-10-27 07:39,0.644,L
2020-10-27 14:48,2.459,H
2020-10-27 21:19,0.881,L
2020-10-28 02:59,1.851,H
2020-10-28 08:26,0.817,L
2020-10-28 15:09,2.406,H
2020-10-28 21:37,0.665,L
2020-10-29 03:54,1.980,H
2020-10-29 09:07,1.000,L
2020-10-29 15:24,2.366,H
2020-10-29 21:56,0.451,L
2020-10-30 04:41,2.102,H
2020-10-30 09:46,1.191,L
2020-10-30 15:38,2.346,H
2020-10-30 22:19,0.246,L
2020-10-31 05:25,2.216,H
2020-10-31 10:23,1.381,L
2020-10-31 15:54,2.331,H
2020-10-31 22:45,0.065,L
