Date Time, Prediction, Type
2020-11-01 06:04,2.292,H
2020-11-01 10:51,1.564,L
2020-11-01 16:12,2.284,H
2020-11-01 23:03,-0.079,L
2020-11-02 06:46,2.374,H
2020-11-02 11:32,1.728,L
2020-11-02 16:34,2.243,H
2020-11-02 23:35,-0.176,L
2020-11-03 07:30,2.432,H
2020-11-03 12:18,1.868,L
2020-11-03 16:56,2.183,H
2020-11-04 00:10,-0.220,L
2020-11-04 08:17,2.464,H
2020-11-04 13:11,1.975,L
2020-11-04 17:12,2.112,H
2020-11-05 00:50,-0.217,L
2020-11-05 09:10,2.473,H
2020-11-05 14:20,2.039,L
2020-11-05 16:27,2.046,H
2020-11-06 01:34,-0.169,L
2020-11-06 10:07,2.471,H
2020-11-07 02:25,-0.084,L
2020-11-07 11:05,2.471,H
2020-11-08 03:22,0.030,L
2020-11-08 11:55,2.477,H
2020-11-09 04:25,0.168,L
2020-11-09 12:36,2.488,H
2020-11-09 19:19,1.474,L
2020-11-09 22:46,1.612,H
2020-11-10 05:29,0.327,L
2020-11-10 13:09,2.506,H
2020-11-10 19:30,1.146,L
2020-11-11 00:30,1.665,H
2020-11-11 06:30,0.517,L
2020-11-11 13:39,2.533,H
2020-11-11 19:59,0.743,L
2020-11-12 02:01,1.831,H
2020-11-12 07:26,0.744,L
2020-11-12 14:07,2.570,H
2020-11-12 20:33,0.307,L
2020-11-13 03:17,2.060,H
2020-11-13 08:19,1.004,L
2020-11-13 14:36,2.608,H
2020-11-13 21:11,-0.113,L
2020-11-14 04:22,2.296,H
2020-11-14 09:10,1.279,L
2020-11-14 15:06,2.634,H
2020-11-14 21:51,-0.463,L
2020-11-15 05:22,2.499,H
2020-11-15 10:01,1.542,L
2020-11-15 15:37,2.631,H
2020-11-15 22:33,-0.700,L
2020-11-16 06:20,2.645,H
2020-11-16 10:54,1.767,L
2020-11-16 16:11,2.584,H
2020-11-16 23:17,-0.801,L
2020-11-17 07:17,2.730,H
2020-11-17 11:52,1.931,L
2020-11-17 16:48,2.485,H
2020-11-18 00:03,-0.766,L
2020-11-18 08:14,2.756,H
2020-11-18 12:58,2.022,L
2020-11-18 17:28,2.335,H
2020-11-19 00:51,-0.613,L
2020-11-19 09:12,2.740,H
2020-11-19 14:27,2.018,L
2020-11-19 18:15,2.139,H
2020-11-20 01:42,-0.374,L
2020-11-20 10:10,2.701,H
2020-11-20 16:57,1.876,L
2020-11-20 19:13,1.916,H
2020-11-21 02:37,-0.085,L
2020-11-21 11:06,2.654,H
2020-11-21 18:17,1.636,L
2020-11-21 20:30,1.691,H
2020-11-22 03:35,0.222,L
2020-11-22 11:56,2.604,H
2020-11-22 19:07,1.372,L
2020-11-22 22:08,1.520,H
2020-11-23 04:37,0.523,L
2020-11-23 12:37,2.552,H
2020-11-23 19:44,1.105,L
2020-11-24 00:15,1.487,H
2020-11-24 05:40,0.806,L
2020-11-24 13:10,2.499,H
2020-11-24 20:13,0.845,L
2020-11-25 02:03,1.622,H
2020-11-25 06:39,1.066,L
2020-11-25 13:33,2.451,H
2020-11-25 20:35,0.598,L
2020-11-26 03:14,1.825,H
2020-11-26 07:32,1.305,L
2020-11-26 13:51,2.415,H
2020-11-26 20:54,0.362,L
2020-11-27 04:08,2.031,H
2020-11-27 08:21,1.520,L
2020-11-27 14:08,2.396,H
2020-11-27 21:14,0.141,L
2020-11-28 04:55,2.217,H
2020-11-28 09:07,1.707,L
2020-11-28 14:27,2.386,H
2020-11-28 21:38,-0.057,L
2020-11-29 05:35,2.372,H
2020-11-29 09:51,1.861,L
2020-11-29 14:49,2.373,H
2020-11-29 22:05,-0.220,L
2020-11-30 06:13,2.491,H
2020-11-30 10:34,1.980,L
2020-11-30 15:13,2.345,H
2020-11-30 22:35,-0.341,L
