Date Time, Prediction, Type
2020-10-01 04:30,2.055,H
2020-10-01 10:30,0.554,L
2020-10-01 17:06,2.483,H
2020-10-01 23:20,0.727,L
2020-10-02 05:20,2.122,H
2020-10-02 11:06,0.767,L
2020-10-02 17:25,2.418,H
2020-10-02 23:47,0.564,L
2020-10-03 06:06,2.183,H
2020-10-03 11:41,0.998,L
2020-10-03 17:42,2.348,H
2020-10-04 00:14,0.427,L
2020-10-04 06:54,2.231,H
2020-10-04 12:17,1.237,L
2020-10-04 17:57,2.277,H
2020-10-05 00:42,0.319,L
2020-10-05 07:44,2.264,H
2020-10-05 12:55,1.473,L
2020-10-05 18:09,2.212,H
2020-10-06 01:14,0.240,L
2020-10-06 08:40,2.287,H
2020-10-06 13:38,1.691,L
2020-10-06 18:20,2.158,H
2020-10-07 01:49,0.186,L
2020-10-07 09:44,2.312,H
2020-10-07 14:31,1.877,L
2020-10-07 18:27,2.115,H
2020-10-08 02:30,0.152,L
2020-10-08 10:54,2.356,H
2020-10-08 15:45,2.007,L
2020-10-08 18:28,2.076,H
2020-10-09 03:17,0.131,L
2020-10-09 12:06,2.427,H
2020-10-10 04:13,0.120,L
2020-10-10 13:03,2.512,H
2020-10-11 05:15,0.115,L
2020-10-11 13:46,2.589,H
2020-10-12 06:20,0.121,L
2020-10-12 14:21,2.646,H
2020-10-12 20:41,1.520,L
2020-10-13 00:28,1.772,H
2020-10-13 07:23,0.157,L
2020-10-13 14:51,2.681,H
2020-10-13 21:05,1.213,L
2020-10-14 01:58,1.917,H
2020-10-14 08:20,0.254,L
2020-10-14 15:20,2.696,H
2020-10-14 21:36,0.844,L
2020-10-15 03:13,2.123,H
2020-10-15 09:14,0.432,L
2020-10-15 15:48,2.694,H
2020-10-15 22:11,0.445,L
2020-10-16 04:21,2.349,H
2020-10-16 10:07,0.688,L
2020-10-16 16:17,2.678,H
2020-10-16 22:49,0.061,L
2020-10-17 05:26,2.557,H
2020-10-17 10:59,0.998,L
2020-10-17 16:45,2.649,H
2020-10-17 23:30,-0.262,L
2020-10-18 06:28,2.716,H
2020-10-18 11:52,1.328,L
2020-10-18 17:14,2.603,H
2020-10-19 00:13,-0.485,L
2020-10-19 07:32,2.810,H
2020-10-19 12:47,1.638,L
2020-10-19 17:43,2.530,H
2020-10-20 00:58,-0.584,L
2020-10-20 08:38,2.847,H
2020-10-20 13:50,1.888,L
2020-10-20 18:12,2.423,H
2020-10-21 01:47,-0.559,L
2020-10-21 09:48,2.846,H
2020-10-21 15:09,2.036,L
2020-10-21 18:40,2.275,H
2020-10-22 02:40,-0.433,L
2020-10-22 10:58,2.828,H
2020-10-22 16:54,2.042,L
2020-10-22 19:07,2.088,H
2020-10-23 03:37,-0.238,L
2020-10-23 12:04,2.805,H
2020-10-24 04:38,-0.013,L
2020-10-24 12:59,2.775,H
2020-10-25 05:42,0.212,L
2020-10-25 13:43,2.735,H
2020-10-25 20:41,1.362,L
2020-10-26 00:21,1.587,H
2020-10-26 06:47,0.420,L
2020-10-26 14:19,2.683,H
2020-10-26 21:07,1.103,L
2020-10-27 01:52,1.664,H
2020-10-27 07:44,0.615,L
2020-10-27 14:48,2.627,H
2020-10-27 21:31,0.853,L
2020-10-28 03:01,1.804,H
2020-10-28 08:34,0.810,L
2020-10-28 15:12,2.569,H
2020-10-28 21:55,0.617,L
2020-10-29 03:59,1.969,H
2020-10-29 09:18,1.010,L
2020-10-29 15:34,2.511,H
2020-10-29 22:19,0.401,L
2020-10-30 04:51,2.138,H
2020-10-30 10:01,1.213,L
2020-10-30 15:53,2.454,H
2020-10-30 22:44,0.213,L
2020-10-31 05:37,2.298,H
2020-10-31 10:43,1.413,L
2020-10-31 16:11,2.397,H
2020-10-31 23:09,0.059,L
