Date Time, Prediction, Type
2020-10-01 04:47,2.185,H
2020-10-01 10:56,0.624,L
2020-10-01 17:15,2.462,H
2020-10-01 23:31,0.726,L
2020-10-02 05:32,2.229,H
2020-10-02 11:31,0.822,L
2020-10-02 17:30,2.436,H
2020-10-02 23:59,0.531,L
2020-10-03 06:16,2.268,H
2020-10-03 12:06,1.043,L
2020-10-03 17:48,2.416,H
2020-10-04 00:29,0.358,L
2020-10-04 07:02,2.303,H
2020-10-04 12:44,1.277,L
2020-10-04 18:10,2.385,H
2020-10-05 01:03,0.221,L
2020-10-05 07:52,2.331,H
2020-10-05 13:25,1.509,L
2020-10-05 18:34,2.334,H
2020-10-06 01:39,0.128,L
2020-10-06 08:46,2.347,H
2020-10-06 14:11,1.724,L
2020-10-06 18:59,2.264,H
2020-10-07 02:18,0.082,L
2020-10-07 09:48,2.355,H
2020-10-07 15:09,1.904,L
2020-10-07 19:23,2.185,H
2020-10-08 03:04,0.077,L
2020-10-08 11:04,2.368,H
2020-10-08 16:32,2.022,L
2020-10-08 19:40,2.108,H
2020-10-09 03:56,0.096,L
2020-10-09 12:31,2.410,H
2020-10-10 04:57,0.118,L
2020-10-10 13:35,2.470,H
2020-10-10 21:09,1.921,L
2020-10-10 21:36,1.954,H
2020-10-11 06:03,0.124,L
2020-10-11 14:17,2.520,H
2020-10-11 20:42,1.792,L
2020-10-11 23:22,1.924,H
2020-10-12 07:06,0.120,L
2020-10-12 14:48,2.557,H
2020-10-12 20:48,1.575,L
2020-10-13 00:53,1.974,H
2020-10-13 08:04,0.138,L
2020-10-13 15:15,2.589,H
2020-10-13 21:14,1.268,L
2020-10-14 02:12,2.092,H
2020-10-14 08:56,0.215,L
2020-10-14 15:40,2.625,H
2020-10-14 21:48,0.892,L
2020-10-15 03:23,2.243,H
2020-10-15 09:44,0.373,L
2020-10-15 16:06,2.664,H
2020-10-15 22:25,0.482,L
2020-10-16 04:28,2.395,H
2020-10-16 10:30,0.613,L
2020-10-16 16:34,2.701,H
2020-10-16 23:05,0.087,L
2020-10-17 05:31,2.527,H
2020-10-17 11:16,0.914,L
2020-10-17 17:03,2.721,H
2020-10-17 23:48,-0.243,L
2020-10-18 06:34,2.625,H
2020-10-18 12:04,1.241,L
2020-10-18 17:34,2.709,H
2020-10-19 00:33,-0.464,L
2020-10-19 07:37,2.685,H
2020-10-19 12:56,1.554,L
2020-10-19 18:08,2.652,H
2020-10-20 01:20,-0.554,L
2020-10-20 08:44,2.710,H
2020-10-20 13:54,1.814,L
2020-10-20 18:44,2.542,H
2020-10-21 02:11,-0.512,L
2020-10-21 09:55,2.713,H
2020-10-21 15:08,1.985,L
2020-10-21 19:25,2.382,H
2020-10-22 03:05,-0.361,L
2020-10-22 11:11,2.713,H
2020-10-22 17:06,2.018,L
2020-10-22 20:16,2.186,H
2020-10-23 04:05,-0.142,L
2020-10-23 12:22,2.719,H
2020-10-23 19:22,1.860,L
2020-10-23 21:24,1.981,H
2020-10-24 05:10,0.095,L
2020-10-24 13:21,2.720,H
2020-10-24 20:26,1.631,L
2020-10-24 22:56,1.820,H
2020-10-25 06:20,0.313,L
2020-10-25 14:09,2.705,H
2020-10-25 21:07,1.391,L
2020-10-26 00:44,1.774,H
2020-10-26 07:25,0.502,L
2020-10-26 14:46,2.670,H
2020-10-26 21:38,1.156,L
2020-10-27 02:18,1.850,H
2020-10-27 08:21,0.678,L
2020-10-27 15:15,2.618,H
2020-10-27 22:01,0.927,L
2020-10-28 03:26,1.978,H
2020-10-28 09:08,0.860,L
2020-10-28 15:36,2.563,H
2020-10-28 22:19,0.700,L
2020-10-29 04:21,2.114,H
2020-10-29 09:49,1.053,L
2020-10-29 15:51,2.521,H
2020-10-29 22:38,0.475,L
2020-10-30 05:08,2.243,H
2020-10-30 10:28,1.254,L
2020-10-30 16:05,2.499,H
2020-10-30 23:01,0.259,L
2020-10-31 05:52,2.363,H
2020-10-31 11:05,1.454,L
2020-10-31 16:21,2.484,H
2020-10-31 23:27,0.068,L
