Date Time, Prediction, Type
2020-11-01 06:23,2.335,H
2020-11-01 11:15,1.603,L
2020-11-01 16:15,2.258,H
2020-11-01 23:31,0.017,L
2020-11-02 07:09,2.429,H
2020-11-02 11:57,1.772,L
2020-11-02 16:27,2.232,H
2020-11-03 00:01,-0.060,L
2020-11-03 07:58,2.495,H
2020-11-03 12:41,1.922,L
2020-11-03 16:41,2.210,H
2020-11-04 00:33,-0.100,L
2020-11-04 08:50,2.539,H
2020-11-04 13:35,2.043,L
2020-11-04 16:55,2.185,H
2020-11-05 01:09,-0.106,L
2020-11-05 09:45,2.570,H
2020-11-05 14:50,2.116,L
2020-11-05 17:02,2.150,H
2020-11-06 01:50,-0.080,L
2020-11-06 10:40,2.597,H
2020-11-07 02:37,-0.020,L
2020-11-07 11:32,2.621,H
2020-11-08 03:29,0.079,L
2020-11-08 12:16,2.637,H
2020-11-09 04:26,0.225,L
2020-11-09 12:52,2.641,H
2020-11-09 19:51,1.504,L
2020-11-09 22:15,1.563,H
2020-11-10 05:29,0.420,L
2020-11-10 13:22,2.634,H
2020-11-10 20:04,1.161,L
2020-11-11 00:53,1.622,H
2020-11-11 06:36,0.658,L
2020-11-11 13:49,2.625,H
2020-11-11 20:32,0.750,L
2020-11-12 02:28,1.853,H
2020-11-12 07:40,0.928,L
2020-11-12 14:15,2.620,H
2020-11-12 21:05,0.313,L
2020-11-13 03:44,2.143,H
2020-11-13 08:42,1.220,L
2020-11-13 14:40,2.622,H
2020-11-13 21:42,-0.102,L
2020-11-14 04:51,2.434,H
2020-11-14 09:41,1.513,L
2020-11-14 15:07,2.626,H
2020-11-14 22:23,-0.445,L
2020-11-15 05:52,2.679,H
2020-11-15 10:40,1.782,L
2020-11-15 15:34,2.621,H
2020-11-15 23:05,-0.676,L
2020-11-16 06:50,2.849,H
2020-11-16 11:39,2.001,L
2020-11-16 16:04,2.590,H
2020-11-16 23:48,-0.774,L
2020-11-17 07:48,2.935,H
2020-11-17 12:41,2.152,L
2020-11-17 16:34,2.518,H
2020-11-18 00:33,-0.738,L
2020-11-18 08:46,2.952,H
2020-11-18 13:54,2.218,L
2020-11-18 17:05,2.398,H
2020-11-19 01:19,-0.589,L
2020-11-19 09:43,2.922,H
2020-11-19 15:27,2.176,L
2020-11-19 17:32,2.227,H
2020-11-20 02:07,-0.358,L
2020-11-20 10:37,2.865,H
2020-11-21 02:57,-0.076,L
2020-11-21 11:27,2.795,H
2020-11-22 03:47,0.229,L
2020-11-22 12:10,2.723,H
2020-11-23 04:39,0.539,L
2020-11-23 12:46,2.653,H
2020-11-23 20:05,1.188,L
2020-11-24 00:26,1.436,H
2020-11-24 05:34,0.840,L
2020-11-24 13:15,2.587,H
2020-11-24 20:27,0.906,L
2020-11-25 02:01,1.570,H
2020-11-25 06:33,1.118,L
2020-11-25 13:40,2.530,H
2020-11-25 20:50,0.635,L
2020-11-26 03:13,1.772,H
2020-11-26 07:31,1.366,L
2020-11-26 14:01,2.483,H
2020-11-26 21:15,0.384,L
2020-11-27 04:13,1.997,H
2020-11-27 08:26,1.584,L
2020-11-27 14:18,2.449,H
2020-11-27 21:40,0.161,L
2020-11-28 05:03,2.216,H
2020-11-28 09:19,1.770,L
2020-11-28 14:33,2.425,H
2020-11-28 22:06,-0.025,L
2020-11-29 05:48,2.408,H
2020-11-29 10:10,1.925,L
2020-11-29 14:48,2.408,H
2020-11-29 22:34,-0.170,L
2020-11-30 06:30,2.562,H
2020-11-30 11:00,2.051,L
2020-11-30 15:05,2.391,H
2020-11-30 23:04,-0.273,L
