Date Time, Prediction, Type
2020-11-01 06:06,2.194,H
2020-11-01 11:06,1.481,L
2020-11-01 16:14,2.187,H
2020-11-01 23:18,-0.075,L
2020-11-02 06:48,2.273,H
2020-11-02 11:47,1.637,L
2020-11-02 16:36,2.147,H
2020-11-02 23:50,-0.167,L
2020-11-03 07:32,2.328,H
2020-11-03 12:33,1.769,L
2020-11-03 16:58,2.090,H
2020-11-04 00:25,-0.209,L
2020-11-04 08:19,2.359,H
2020-11-04 13:26,1.871,L
2020-11-04 17:14,2.022,H
2020-11-05 01:05,-0.205,L
2020-11-05 09:12,2.368,H
2020-11-06 01:49,-0.160,L
2020-11-06 10:09,2.366,H
2020-11-07 02:40,-0.079,L
2020-11-07 11:07,2.366,H
2020-11-08 03:37,0.029,L
2020-11-08 11:57,2.371,H
2020-11-09 04:40,0.159,L
2020-11-09 12:38,2.382,H
2020-11-09 19:34,1.397,L
2020-11-09 22:48,1.544,H
2020-11-10 05:44,0.310,L
2020-11-10 13:11,2.399,H
2020-11-10 19:45,1.085,L
2020-11-11 00:32,1.594,H
2020-11-11 06:45,0.490,L
2020-11-11 13:41,2.426,H
2020-11-11 20:14,0.704,L
2020-11-12 02:03,1.753,H
2020-11-12 07:41,0.705,L
2020-11-12 14:09,2.461,H
2020-11-12 20:48,0.291,L
2020-11-13 03:19,1.973,H
2020-11-13 08:34,0.951,L
2020-11-13 14:38,2.497,H
2020-11-13 21:26,-0.107,L
2020-11-14 04:24,2.199,H
2020-11-14 09:25,1.211,L
2020-11-14 15:08,2.522,H
2020-11-14 22:06,-0.438,L
2020-11-15 05:24,2.392,H
2020-11-15 10:16,1.461,L
2020-11-15 15:39,2.519,H
2020-11-15 22:48,-0.663,L
2020-11-16 06:22,2.533,H
2020-11-16 11:09,1.674,L
2020-11-16 16:13,2.474,H
2020-11-16 23:32,-0.759,L
2020-11-17 07:19,2.614,H
2020-11-17 12:07,1.830,L
2020-11-17 16:50,2.380,H
2020-11-18 00:18,-0.725,L
2020-11-18 08:16,2.639,H
2020-11-18 13:13,1.915,L
2020-11-18 17:30,2.236,H
2020-11-19 01:06,-0.581,L
2020-11-19 09:14,2.624,H
2020-11-19 14:42,1.912,L
2020-11-19 18:17,2.048,H
2020-11-20 01:57,-0.355,L
2020-11-20 10:12,2.586,H
2020-11-20 17:12,1.778,L
2020-11-20 19:15,1.834,H
2020-11-21 02:52,-0.081,L
2020-11-21 11:08,2.541,H
2020-11-21 18:32,1.550,L
2020-11-21 20:32,1.619,H
2020-11-22 03:50,0.211,L
2020-11-22 11:58,2.493,H
2020-11-22 19:22,1.300,L
2020-11-22 22:10,1.455,H
2020-11-23 04:52,0.496,L
2020-11-23 12:39,2.444,H
2020-11-23 19:59,1.047,L
2020-11-24 00:17,1.424,H
2020-11-24 05:55,0.763,L
2020-11-24 13:12,2.393,H
2020-11-24 20:28,0.801,L
2020-11-25 02:05,1.553,H
2020-11-25 06:54,1.010,L
2020-11-25 13:35,2.346,H
2020-11-25 20:50,0.566,L
2020-11-26 03:16,1.747,H
2020-11-26 07:47,1.237,L
2020-11-26 13:53,2.312,H
2020-11-26 21:09,0.343,L
2020-11-27 04:10,1.945,H
2020-11-27 08:36,1.440,L
2020-11-27 14:10,2.294,H
2020-11-27 21:29,0.133,L
2020-11-28 04:57,2.122,H
2020-11-28 09:22,1.617,L
2020-11-28 14:29,2.284,H
2020-11-28 21:53,-0.054,L
2020-11-29 05:37,2.271,H
2020-11-29 10:06,1.763,L
2020-11-29 14:51,2.272,H
2020-11-29 22:20,-0.209,L
2020-11-30 06:15,2.385,H
2020-11-30 10:49,1.876,L
2020-11-30 15:15,2.246,H
2020-11-30 22:50,-0.323,L
