Date Time, Prediction, Type
2020-11-01 06:11,2.079,H
2020-11-01 10:37,1.574,L
2020-11-01 15:39,2.081,H
2020-11-01 22:42,-0.039,L
2020-11-02 06:59,2.172,H
2020-11-02 11:23,1.741,L
2020-11-02 15:59,2.050,H
2020-11-02 23:13,-0.148,L
2020-11-03 07:49,2.244,H
2020-11-03 12:18,1.879,L
2020-11-03 16:17,2.015,H
2020-11-03 23:48,-0.205,L
2020-11-04 08:43,2.291,H
2020-11-04 13:48,1.976,L
2020-11-04 16:07,1.985,H
2020-11-05 00:27,-0.210,L
2020-11-05 09:39,2.321,H
2020-11-06 01:11,-0.167,L
2020-11-06 10:36,2.340,H
2020-11-07 01:59,-0.082,L
2020-11-07 11:26,2.351,H
2020-11-08 02:52,0.040,L
2020-11-08 12:07,2.354,H
2020-11-09 03:52,0.194,L
2020-11-09 12:39,2.349,H
2020-11-09 19:43,1.486,L
2020-11-09 21:56,1.537,H
2020-11-10 04:55,0.379,L
2020-11-10 13:04,2.340,H
2020-11-10 19:34,1.207,L
2020-11-10 23:51,1.545,H
2020-11-11 05:57,0.597,L
2020-11-11 13:24,2.337,H
2020-11-11 19:50,0.835,L
2020-11-12 01:41,1.680,H
2020-11-12 06:56,0.849,L
2020-11-12 13:43,2.346,H
2020-11-12 20:18,0.415,L
2020-11-13 03:09,1.900,H
2020-11-13 07:52,1.131,L
2020-11-13 14:05,2.367,H
2020-11-13 20:52,0.001,L
2020-11-14 04:20,2.135,H
2020-11-14 08:45,1.422,L
2020-11-14 14:28,2.391,H
2020-11-14 21:30,-0.354,L
2020-11-15 05:23,2.341,H
2020-11-15 09:38,1.694,L
2020-11-15 14:55,2.402,H
2020-11-15 22:12,-0.604,L
2020-11-16 06:23,2.492,H
2020-11-16 10:34,1.916,L
2020-11-16 15:23,2.385,H
2020-11-16 22:55,-0.722,L
2020-11-17 07:22,2.578,H
2020-11-17 11:37,2.067,L
2020-11-17 15:53,2.327,H
2020-11-17 23:41,-0.705,L
2020-11-18 08:21,2.607,H
2020-11-18 13:00,2.129,L
2020-11-18 16:23,2.221,H
2020-11-19 00:29,-0.571,L
2020-11-19 09:19,2.594,H
2020-11-20 01:19,-0.348,L
2020-11-20 10:14,2.558,H
2020-11-21 02:11,-0.070,L
2020-11-21 11:05,2.513,H
2020-11-22 03:05,0.232,L
2020-11-22 11:48,2.465,H
2020-11-23 04:04,0.536,L
2020-11-23 12:25,2.415,H
2020-11-23 19:40,1.118,L
2020-11-24 00:07,1.329,H
2020-11-24 05:07,0.824,L
2020-11-24 12:53,2.364,H
2020-11-24 20:04,0.861,L
2020-11-25 01:57,1.467,H
2020-11-25 06:10,1.088,L
2020-11-25 13:13,2.313,H
2020-11-25 20:25,0.615,L
2020-11-26 03:10,1.670,H
2020-11-26 07:09,1.328,L
2020-11-26 13:23,2.274,H
2020-11-26 20:43,0.382,L
2020-11-27 04:08,1.882,H
2020-11-27 08:03,1.546,L
2020-11-27 13:33,2.252,H
2020-11-27 21:01,0.166,L
2020-11-28 04:57,2.076,H
2020-11-28 08:53,1.738,L
2020-11-28 13:49,2.239,H
2020-11-28 21:21,-0.027,L
2020-11-29 05:42,2.238,H
2020-11-29 09:43,1.901,L
2020-11-29 14:09,2.227,H
2020-11-29 21:45,-0.186,L
2020-11-30 06:24,2.361,H
2020-11-30 10:33,2.030,L
2020-11-30 14:30,2.210,H
2020-11-30 22:13,-0.301,L
