Date Time, Prediction, Type
2020-11-01 06:06,2.194,H
2020-11-01 10:57,1.630,L
2020-11-01 16:14,2.187,H
2020-11-01 23:09,-0.082,L
2020-11-02 06:48,2.273,H
2020-11-02 11:38,1.801,L
2020-11-02 16:36,2.147,H
2020-11-02 23:41,-0.183,L
2020-11-03 07:32,2.328,H
2020-11-03 12:24,1.946,L
2020-11-03 16:58,2.090,H
2020-11-04 00:16,-0.230,L
2020-11-04 08:19,2.359,H
2020-11-04 13:17,2.058,L
2020-11-04 17:14,2.022,H
2020-11-05 00:56,-0.226,L
2020-11-05 09:12,2.368,H
2020-11-05 14:26,2.125,L
2020-11-05 16:29,1.959,H
2020-11-06 01:40,-0.176,L
2020-11-06 10:09,2.366,H
2020-11-07 02:31,-0.087,L
2020-11-07 11:07,2.366,H
2020-11-08 03:28,0.032,L
2020-11-08 11:57,2.371,H
2020-11-08 20:12,1.769,L
2020-11-08 19:47,1.608,H
2020-11-09 04:31,0.175,L
2020-11-09 12:38,2.382,H
2020-11-09 19:25,1.536,L
2020-11-09 22:48,1.544,H
2020-11-10 05:35,0.341,L
2020-11-10 13:11,2.399,H
2020-11-10 19:36,1.194,L
2020-11-11 00:32,1.594,H
2020-11-11 06:36,0.539,L
2020-11-11 13:41,2.426,H
2020-11-11 20:05,0.774,L
2020-11-12 02:03,1.753,H
2020-11-12 07:32,0.775,L
2020-11-12 14:09,2.461,H
2020-11-12 20:39,0.320,L
2020-11-13 03:19,1.973,H
2020-11-13 08:25,1.046,L
2020-11-13 14:38,2.497,H
2020-11-13 21:17,-0.118,L
2020-11-14 04:24,2.199,H
2020-11-14 09:16,1.333,L
2020-11-14 15:08,2.522,H
2020-11-14 21:57,-0.482,L
2020-11-15 05:24,2.392,H
2020-11-15 10:07,1.607,L
2020-11-15 15:39,2.519,H
2020-11-15 22:39,-0.730,L
2020-11-16 06:22,2.533,H
2020-11-16 11:00,1.841,L
2020-11-16 16:13,2.474,H
2020-11-16 23:23,-0.835,L
2020-11-17 07:19,2.614,H
2020-11-17 11:58,2.013,L
2020-11-17 16:50,2.380,H
2020-11-18 00:09,-0.798,L
2020-11-18 08:16,2.639,H
2020-11-18 13:04,2.107,L
2020-11-18 17:30,2.236,H
2020-11-19 00:57,-0.639,L
2020-11-19 09:14,2.624,H
2020-11-19 14:33,2.103,L
2020-11-19 18:17,2.048,H
2020-11-20 01:48,-0.390,L
2020-11-20 10:12,2.586,H
2020-11-20 17:03,1.955,L
2020-11-20 19:15,1.834,H
2020-11-21 02:43,-0.089,L
2020-11-21 11:08,2.541,H
2020-11-21 18:23,1.705,L
2020-11-21 20:32,1.619,H
2020-11-22 03:41,0.232,L
2020-11-22 11:58,2.493,H
2020-11-22 19:13,1.430,L
2020-11-22 22:10,1.455,H
2020-11-23 04:43,0.545,L
2020-11-23 12:39,2.444,H
2020-11-23 19:50,1.151,L
2020-11-24 00:17,1.424,H
2020-11-24 05:46,0.840,L
2020-11-24 13:12,2.393,H
2020-11-24 20:19,0.881,L
2020-11-25 02:05,1.553,H
2020-11-25 06:45,1.111,L
2020-11-25 13:35,2.346,H
2020-11-25 20:41,0.623,L
2020-11-26 03:16,1.747,H
2020-11-26 07:38,1.360,L
2020-11-26 13:53,2.312,H
2020-11-26 21:00,0.377,L
2020-11-27 04:10,1.945,H
2020-11-27 08:27,1.584,L
2020-11-27 14:10,2.294,H
2020-11-27 21:20,0.147,L
2020-11-28 04:57,2.122,H
2020-11-28 09:13,1.779,L
2020-11-28 14:29,2.284,H
2020-11-28 21:44,-0.059,L
2020-11-29 05:37,2.271,H
2020-11-29 09:57,1.939,L
2020-11-29 14:51,2.272,H
2020-11-29 22:11,-0.230,L
2020-11-30 06:15,2.385,H
2020-11-30 10:40,2.063,L
2020-11-30 15:15,2.246,H
2020-11-30 22:41,-0.355,L
