Date Time, Prediction, Type
2020-10-01 04:19,1.939,H
2020-10-01 10:09,0.618,L
2020-10-01 16:47,2.189,H
2020-10-01 22:44,0.719,L
2020-10-02 05:04,1.979,H
2020-10-02 10:44,0.814,L
2020-10-02 17:02,2.165,H
2020-10-02 23:12,0.526,L
2020-10-03 05:48,2.014,H
2020-10-03 11:19,1.033,L
2020-10-03 17:20,2.147,H
2020-10-03 23:42,0.354,L
2020-10-04 06:34,2.046,H
2020-10-04 11:57,1.264,L
2020-10-04 17:42,2.120,H
2020-10-05 00:16,0.219,L
2020-10-05 07:24,2.071,H
2020-10-05 12:38,1.494,L
2020-10-05 18:06,2.074,H
2020-10-06 00:52,0.127,L
2020-10-06 08:18,2.085,H
2020-10-06 13:24,1.707,L
2020-10-06 18:31,2.011,H
2020-10-07 01:31,0.081,L
2020-10-07 09:20,2.093,H
2020-10-07 14:22,1.885,L
2020-10-07 18:55,1.939,H
2020-10-08 02:17,0.076,L
2020-10-08 10:36,2.104,H
2020-10-08 15:45,2.002,L
2020-10-08 19:12,1.870,H
2020-10-09 03:09,0.095,L
2020-10-09 12:03,2.142,H
2020-10-10 04:10,0.117,L
2020-10-10 13:07,2.196,H
2020-10-10 20:22,1.902,L
2020-10-10 19:47,1.730,H
2020-10-11 05:16,0.123,L
2020-10-11 13:49,2.241,H
2020-10-11 19:55,1.774,L
2020-10-11 22:54,1.705,H
2020-10-12 06:19,0.119,L
2020-10-12 14:20,2.274,H
2020-10-12 20:01,1.559,L
2020-10-13 00:25,1.750,H
2020-10-13 07:17,0.137,L
2020-10-13 14:47,2.303,H
2020-10-13 20:27,1.255,L
2020-10-14 01:44,1.856,H
2020-10-14 08:09,0.213,L
2020-10-14 15:12,2.336,H
2020-10-14 21:01,0.883,L
2020-10-15 02:55,1.992,H
2020-10-15 08:57,0.369,L
2020-10-15 15:38,2.371,H
2020-10-15 21:38,0.477,L
2020-10-16 04:00,2.129,H
2020-10-16 09:43,0.607,L
2020-10-16 16:06,2.404,H
2020-10-16 22:18,0.086,L
2020-10-17 05:03,2.247,H
2020-10-17 10:29,0.905,L
2020-10-17 16:35,2.422,H
2020-10-17 23:01,-0.241,L
2020-10-18 06:06,2.336,H
2020-10-18 11:17,1.229,L
2020-10-18 17:06,2.411,H
2020-10-18 23:46,-0.459,L
2020-10-19 07:09,2.390,H
2020-10-19 12:09,1.538,L
2020-10-19 17:40,2.360,H
2020-10-20 00:33,-0.548,L
2020-10-20 08:16,2.412,H
2020-10-20 13:07,1.796,L
2020-10-20 18:16,2.261,H
2020-10-21 01:24,-0.507,L
2020-10-21 09:27,2.415,H
2020-10-21 14:21,1.965,L
2020-10-21 18:57,2.117,H
2020-10-22 02:18,-0.357,L
2020-10-22 10:43,2.415,H
2020-10-22 16:19,1.998,L
2020-10-22 19:48,1.940,H
2020-10-23 03:18,-0.141,L
2020-10-23 11:54,2.420,H
2020-10-23 18:35,1.841,L
2020-10-23 20:56,1.756,H
2020-10-24 04:23,0.094,L
2020-10-24 12:53,2.421,H
2020-10-24 19:39,1.615,L
2020-10-24 22:28,1.611,H
2020-10-25 05:33,0.310,L
2020-10-25 13:41,2.407,H
2020-10-25 20:20,1.377,L
2020-10-26 00:16,1.570,H
2020-10-26 06:38,0.497,L
2020-10-26 14:18,2.376,H
2020-10-26 20:51,1.144,L
2020-10-27 01:50,1.638,H
2020-10-27 07:34,0.671,L
2020-10-27 14:47,2.329,H
2020-10-27 21:14,0.918,L
2020-10-28 02:58,1.753,H
2020-10-28 08:21,0.851,L
2020-10-28 15:08,2.280,H
2020-10-28 21:32,0.693,L
2020-10-29 03:53,1.876,H
2020-10-29 09:02,1.042,L
2020-10-29 15:23,2.242,H
2020-10-29 21:51,0.470,L
2020-10-30 04:40,1.992,H
2020-10-30 09:41,1.241,L
2020-10-30 15:37,2.222,H
2020-10-30 22:14,0.256,L
2020-10-31 05:24,2.100,H
2020-10-31 10:18,1.439,L
2020-10-31 15:53,2.209,H
2020-10-31 22:40,0.067,L
