Date Time, Prediction, Type
2020-11-01 05:35,1.962,H
2020-11-01 09:56,1.476,L
2020-11-01 15:03,2.076,H
2020-11-01 22:30,0.012,L
2020-11-02 06:26,2.038,H
2020-11-02 10:38,1.636,L
2020-11-02 15:23,2.053,H
2020-11-02 23:02,-0.068,L
2020-11-03 07:21,2.100,H
2020-11-03 11:22,1.781,L
2020-11-03 15:38,2.030,H
2020-11-03 23:36,-0.108,L
2020-11-04 08:22,2.153,H
2020-11-04 12:14,1.903,L
2020-11-04 15:36,2.012,H
2020-11-05 00:15,-0.113,L
2020-11-05 09:26,2.206,H
2020-11-06 00:58,-0.088,L
2020-11-06 10:25,2.259,H
2020-11-07 01:46,-0.034,L
2020-11-07 11:12,2.302,H
2020-11-08 02:38,0.054,L
2020-11-08 11:45,2.326,H
2020-11-09 03:33,0.184,L
2020-11-09 12:07,2.333,H
2020-11-10 04:32,0.362,L
2020-11-10 12:23,2.335,H
2020-11-10 19:09,1.142,L
2020-11-10 23:18,1.466,H
2020-11-11 05:32,0.585,L
2020-11-11 12:40,2.345,H
2020-11-11 19:30,0.762,L
2020-11-12 01:06,1.603,H
2020-11-12 06:32,0.844,L
2020-11-12 13:00,2.369,H
2020-11-12 20:02,0.351,L
2020-11-13 02:37,1.812,H
2020-11-13 07:29,1.125,L
2020-11-13 13:25,2.401,H
2020-11-13 20:40,-0.044,L
2020-11-14 03:56,2.040,H
2020-11-14 08:24,1.408,L
2020-11-14 13:53,2.432,H
2020-11-14 21:21,-0.373,L
2020-11-15 05:04,2.243,H
2020-11-15 09:19,1.668,L
2020-11-15 14:23,2.446,H
2020-11-15 22:03,-0.598,L
2020-11-16 06:07,2.390,H
2020-11-16 10:14,1.881,L
2020-11-16 14:55,2.430,H
2020-11-16 22:47,-0.700,L
2020-11-17 07:10,2.478,H
2020-11-17 11:11,2.033,L
2020-11-17 15:28,2.372,H
2020-11-17 23:33,-0.676,L
2020-11-18 08:12,2.517,H
2020-11-18 12:19,2.112,L
2020-11-18 16:00,2.265,H
2020-11-19 00:20,-0.546,L
2020-11-19 09:11,2.521,H
2020-11-20 01:09,-0.340,L
2020-11-20 10:05,2.503,H
2020-11-21 01:59,-0.089,L
2020-11-21 10:52,2.472,H
2020-11-22 02:48,0.185,L
2020-11-22 11:31,2.431,H
2020-11-23 03:37,0.464,L
2020-11-23 12:01,2.384,H
2020-11-23 19:13,1.152,L
2020-11-23 22:36,1.285,H
2020-11-24 04:28,0.739,L
2020-11-24 12:23,2.336,H
2020-11-24 19:36,0.891,L
2020-11-25 01:06,1.374,H
2020-11-25 05:20,0.997,L
2020-11-25 12:36,2.298,H
2020-11-25 19:58,0.638,L
2020-11-26 02:24,1.540,H
2020-11-26 06:13,1.232,L
2020-11-26 12:45,2.279,H
2020-11-26 20:19,0.400,L
2020-11-27 03:29,1.725,H
2020-11-27 07:04,1.441,L
2020-11-27 12:59,2.275,H
2020-11-27 20:41,0.184,L
2020-11-28 04:23,1.906,H
2020-11-28 07:54,1.623,L
2020-11-28 13:18,2.273,H
2020-11-28 21:06,-0.001,L
2020-11-29 05:11,2.066,H
2020-11-29 08:43,1.778,L
2020-11-29 13:40,2.266,H
2020-11-29 21:34,-0.146,L
2020-11-30 05:56,2.197,H
2020-11-30 09:32,1.907,L
2020-11-30 14:02,2.249,H
2020-11-30 22:05,-0.247,L
