Date Time, Prediction, Type
2020-10-01 03:07,1.745,H
2020-10-01 09:16,0.549,L
2020-10-01 15:58,2.015,H
2020-10-01 22:03,0.742,L
2020-10-02 04:02,1.764,H
2020-10-02 09:50,0.732,L
2020-10-02 16:06,1.983,H
2020-10-02 22:31,0.576,L
2020-10-03 04:54,1.782,H
2020-10-03 10:24,0.929,L
2020-10-03 16:19,1.959,H
2020-10-03 23:02,0.432,L
2020-10-04 05:45,1.795,H
2020-10-04 10:59,1.132,L
2020-10-04 16:35,1.938,H
2020-10-04 23:35,0.317,L
2020-10-05 06:42,1.804,H
2020-10-05 11:37,1.333,L
2020-10-05 16:53,1.916,H
2020-10-06 00:11,0.233,L
2020-10-06 07:53,1.817,H
2020-10-06 12:19,1.521,L
2020-10-06 17:10,1.896,H
2020-10-07 00:52,0.176,L
2020-10-07 09:27,1.854,H
2020-10-07 13:11,1.682,L
2020-10-07 17:18,1.882,H
2020-10-08 01:38,0.140,L
2020-10-08 11:02,1.933,H
2020-10-08 14:17,1.802,L
2020-10-08 17:05,1.877,H
2020-10-09 02:29,0.116,L
2020-10-09 12:06,2.028,H
2020-10-10 03:24,0.101,L
2020-10-10 12:48,2.107,H
2020-10-11 04:23,0.096,L
2020-10-11 13:19,2.158,H
2020-10-12 05:24,0.111,L
2020-10-12 13:42,2.182,H
2020-10-12 19:27,1.473,L
2020-10-12 23:04,1.659,H
2020-10-13 06:22,0.165,L
2020-10-13 13:59,2.190,H
2020-10-13 19:49,1.204,L
2020-10-14 00:32,1.724,H
2020-10-14 07:15,0.279,L
2020-10-14 14:16,2.196,H
2020-10-14 20:22,0.873,L
2020-10-15 01:51,1.824,H
2020-10-15 08:06,0.464,L
2020-10-15 14:36,2.207,H
2020-10-15 21:00,0.511,L
2020-10-16 03:08,1.937,H
2020-10-16 08:55,0.713,L
2020-10-16 14:58,2.225,H
2020-10-16 21:41,0.160,L
2020-10-17 04:22,2.048,H
2020-10-17 09:44,1.002,L
2020-10-17 15:24,2.244,H
2020-10-17 22:24,-0.137,L
2020-10-18 05:34,2.136,H
2020-10-18 10:32,1.300,L
2020-10-18 15:52,2.254,H
2020-10-18 23:09,-0.343,L
2020-10-19 06:48,2.194,H
2020-10-19 11:22,1.572,L
2020-10-19 16:22,2.241,H
2020-10-19 23:57,-0.438,L
2020-10-20 08:07,2.233,H
2020-10-20 12:17,1.789,L
2020-10-20 16:52,2.193,H
2020-10-21 00:48,-0.425,L
2020-10-21 09:26,2.264,H
2020-10-21 13:29,1.923,L
2020-10-21 17:23,2.101,H
2020-10-22 01:42,-0.325,L
2020-10-22 10:39,2.290,H
2020-10-22 15:35,1.942,L
2020-10-22 17:51,1.964,H
2020-10-23 02:39,-0.168,L
2020-10-23 11:38,2.306,H
2020-10-24 03:38,0.020,L
2020-10-24 12:25,2.301,H
2020-10-25 04:38,0.214,L
2020-10-25 13:01,2.277,H
2020-10-25 19:35,1.364,L
2020-10-25 22:23,1.472,H
2020-10-26 05:37,0.402,L
2020-10-26 13:31,2.239,H
2020-10-26 20:02,1.137,L
2020-10-27 00:26,1.476,H
2020-10-27 06:30,0.582,L
2020-10-27 13:53,2.195,H
2020-10-27 20:27,0.911,L
2020-10-28 01:49,1.551,H
2020-10-28 07:16,0.762,L
2020-10-28 14:08,2.153,H
2020-10-28 20:49,0.691,L
2020-10-29 02:55,1.651,H
2020-10-29 07:57,0.944,L
2020-10-29 14:17,2.123,H
2020-10-29 21:11,0.482,L
2020-10-30 03:54,1.760,H
2020-10-30 08:37,1.126,L
2020-10-30 14:28,2.106,H
2020-10-30 21:34,0.292,L
2020-10-31 04:46,1.867,H
2020-10-31 09:16,1.305,L
2020-10-31 14:44,2.093,H
2020-10-31 22:01,0.133,L
