Date Time, Prediction, Type
2020-11-01 06:04,2.194,H
2020-11-01 11:06,1.630,L
2020-11-01 16:12,2.187,H
2020-11-01 23:18,-0.082,L
2020-11-02 06:46,2.273,H
2020-11-02 11:47,1.801,L
2020-11-02 16:34,2.147,H
2020-11-02 23:50,-0.183,L
2020-11-03 07:30,2.328,H
2020-11-03 12:33,1.946,L
2020-11-03 16:56,2.090,H
2020-11-04 00:25,-0.230,L
2020-11-04 08:17,2.359,H
2020-11-04 13:26,2.058,L
2020-11-04 17:12,2.022,H
2020-11-05 01:05,-0.226,L
2020-11-05 09:10,2.368,H
2020-11-05 14:35,2.125,L
2020-11-05 16:27,1.959,H
2020-11-06 01:49,-0.176,L
2020-11-06 10:07,2.366,H
2020-11-07 02:40,-0.087,L
2020-11-07 11:05,2.366,H
2020-11-08 03:37,0.032,L
2020-11-08 11:55,2.371,H
2020-11-08 20:21,1.769,L
2020-11-08 19:36,1.609,H
2020-11-09 04:40,0.175,L
2020-11-09 12:36,2.382,H
2020-11-09 19:34,1.536,L
2020-11-09 22:46,1.544,H
2020-11-10 05:44,0.341,L
2020-11-10 13:09,2.399,H
2020-11-10 19:45,1.194,L
2020-11-11 00:30,1.594,H
2020-11-11 06:45,0.539,L
2020-11-11 13:39,2.426,H
2020-11-11 20:14,0.774,L
2020-11-12 02:01,1.753,H
2020-11-12 07:41,0.775,L
2020-11-12 14:07,2.461,H
2020-11-12 20:48,0.320,L
2020-11-13 03:17,1.973,H
2020-11-13 08:34,1.046,L
2020-11-13 14:36,2.497,H
2020-11-13 21:26,-0.118,L
2020-11-14 04:22,2.199,H
2020-11-14 09:25,1.333,L
2020-11-14 15:06,2.522,H
2020-11-14 22:06,-0.482,L
2020-11-15 05:22,2.392,H
2020-11-15 10:16,1.607,L
2020-11-15 15:37,2.519,H
2020-11-15 22:48,-0.730,L
2020-11-16 06:20,2.533,H
2020-11-16 11:09,1.841,L
2020-11-16 16:11,2.474,H
2020-11-16 23:32,-0.835,L
2020-11-17 07:17,2.614,H
2020-11-17 12:07,2.013,L
2020-11-17 16:48,2.380,H
2020-11-18 00:18,-0.798,L
2020-11-18 08:14,2.639,H
2020-11-18 13:13,2.107,L
2020-11-18 17:28,2.236,H
2020-11-19 01:06,-0.639,L
2020-11-19 09:12,2.624,H
2020-11-19 14:42,2.103,L
2020-11-19 18:15,2.048,H
2020-11-20 01:57,-0.390,L
2020-11-20 10:10,2.586,H
2020-11-20 17:12,1.955,L
2020-11-20 19:13,1.834,H
2020-11-21 02:52,-0.089,L
2020-11-21 11:06,2.541,H
2020-11-21 18:32,1.705,L
2020-11-21 20:30,1.619,H
2020-11-22 03:50,0.232,L
2020-11-22 11:56,2.493,H
2020-11-22 19:22,1.430,L
2020-11-22 22:08,1.455,H
2020-11-23 04:52,0.545,L
2020-11-23 12:37,2.444,H
2020-11-23 19:59,1.151,L
2020-11-24 00:15,1.424,H
2020-11-24 05:55,0.840,L
2020-11-24 13:10,2.393,H
2020-11-24 20:28,0.881,L
2020-11-25 02:03,1.553,H
2020-11-25 06:54,1.111,L
2020-11-25 13:33,2.346,H
2020-11-25 20:50,0.623,L
2020-11-26 03:14,1.747,H
2020-11-26 07:47,1.360,L
2020-11-26 13:51,2.312,H
2020-11-26 21:09,0.377,L
2020-11-27 04:08,1.945,H
2020-11-27 08:36,1.584,L
2020-11-27 14:08,2.294,H
2020-11-27 21:29,0.147,L
2020-11-28 04:55,2.122,H
2020-11-28 09:22,1.779,L
2020-11-28 14:27,2.284,H
2020-11-28 21:53,-0.059,L
2020-11-29 05:35,2.271,H
2020-11-29 10:06,1.939,L
2020-11-29 14:49,2.272,H
2020-11-29 22:20,-0.230,L
2020-11-30 06:13,2.385,H
2020-11-30 10:49,2.063,L
2020-11-30 15:13,2.246,H
2020-11-30 22:50,-0.355,L
