Date Time, Prediction, Type
2020-10-01 04:17,1.939,H
2020-10-01 10:18,0.618,L
2020-10-01 16:45,2.189,H
2020-10-01 22:53,0.719,L
2020-10-02 05:02,1.979,H
2020-10-02 10:53,0.814,L
2020-10-02 17:00,2.165,H
2020-10-02 23:21,0.526,L
2020-10-03 05:46,2.014,H
2020-10-03 11:28,1.033,L
2020-10-03 17:18,2.147,H
2020-10-03 23:51,0.354,L
2020-10-04 06:32,2.046,H
2020-10-04 12:06,1.264,L
2020-10-04 17:40,2.120,H
2020-10-05 00:25,0.219,L
2020-10-05 07:22,2.071,H
2020-10-05 12:47,1.494,L
2020-10-05 18:04,2.074,H
2020-10-06 01:01,0.127,L
2020-10-06 08:16,2.085,H
2020-10-06 13:33,1.707,L
2020-10-06 18:29,2.011,H
2020-10-07 01:40,0.081,L
2020-10-07 09:18,2.093,H
2020-10-07 14:31,1.885,L
2020-10-07 18:53,1.939,H
2020-10-08 02:26,0.076,L
2020-10-08 10:34,2.104,H
2020-10-08 15:54,2.002,L
2020-10-08 19:10,1.870,H
2020-10-09 03:18,0.095,L
2020-10-09 12:01,2.142,H
2020-10-10 04:19,0.117,L
2020-10-10 13:05,2.196,H
2020-10-11 05:25,0.123,L
2020-10-11 13:47,2.241,H
2020-10-11 20:04,1.774,L
2020-10-11 22:52,1.705,H
2020-10-12 06:28,0.119,L
2020-10-12 14:18,2.274,H
2020-10-12 20:10,1.559,L
2020-10-13 00:23,1.750,H
2020-10-13 07:26,0.137,L
2020-10-13 14:45,2.303,H
2020-10-13 20:36,1.255,L
2020-10-14 01:42,1.856,H
2020-10-14 08:18,0.213,L
2020-10-14 15:10,2.336,H
2020-10-14 21:10,0.883,L
2020-10-15 02:53,1.992,H
2020-10-15 09:06,0.369,L
2020-10-15 15:36,2.371,H
2020-10-15 21:47,0.477,L
2020-10-16 03:58,2.129,H
2020-10-16 09:52,0.607,L
2020-10-16 16:04,2.404,H
2020-10-16 22:27,0.086,L
2020-10-17 05:01,2.247,H
2020-10-17 10:38,0.905,L
2020-10-17 16:33,2.422,H
2020-10-17 23:10,-0.241,L
2020-10-18 06:04,2.336,H
2020-10-18 11:26,1.229,L
2020-10-18 17:04,2.411,H
2020-10-18 23:55,-0.459,L
2020-10-19 07:07,2.390,H
2020-10-19 12:18,1.538,L
2020-10-19 17:38,2.360,H
2020-10-20 00:42,-0.548,L
2020-10-20 08:14,2.412,H
2020-10-20 13:16,1.796,L
2020-10-20 18:14,2.261,H
2020-10-21 01:33,-0.507,L
2020-10-21 09:25,2.415,H
2020-10-21 14:30,1.965,L
2020-10-21 18:55,2.117,H
2020-10-22 02:27,-0.357,L
2020-10-22 10:41,2.415,H
2020-10-22 16:28,1.998,L
2020-10-22 19:46,1.940,H
2020-10-23 03:27,-0.141,L
2020-10-23 11:52,2.420,H
2020-10-23 18:44,1.841,L
2020-10-23 20:54,1.756,H
2020-10-24 04:32,0.094,L
2020-10-24 12:51,2.421,H
2020-10-24 19:48,1.615,L
2020-10-24 22:26,1.611,H
2020-10-25 05:42,0.310,L
2020-10-25 13:39,2.407,H
2020-10-25 20:29,1.377,L
2020-10-26 00:14,1.570,H
2020-10-26 06:47,0.497,L
2020-10-26 14:16,2.376,H
2020-10-26 21:00,1.144,L
2020-10-27 01:48,1.638,H
2020-10-27 07:43,0.671,L
2020-10-27 14:45,2.329,H
2020-10-27 21:23,0.918,L
2020-10-28 02:56,1.753,H
2020-10-28 08:30,0.851,L
2020-10-28 15:06,2.280,H
2020-10-28 21:41,0.693,L
2020-10-29 03:51,1.876,H
2020-10-29 09:11,1.042,L
2020-10-29 15:21,2.242,H
2020-10-29 22:00,0.470,L
2020-10-30 04:38,1.992,H
2020-10-30 09:50,1.241,L
2020-10-30 15:35,2.222,H
2020-10-30 22:23,0.256,L
2020-10-31 05:22,2.100,H
2020-10-31 10:27,1.439,L
2020-10-31 15:51,2.209,H
2020-10-31 22:49,0.067,L
