Date Time, Prediction, Type
2020-10-01 04:05,1.864,H
2020-10-01 10:00,0.570,L
2020-10-01 16:45,2.162,H
2020-10-01 22:47,0.756,L
2020-10-02 04:56,1.903,H
2020-10-02 10:34,0.757,L
2020-10-02 16:58,2.104,H
2020-10-02 23:13,0.587,L
2020-10-03 05:44,1.934,H
2020-10-03 11:07,0.958,L
2020-10-03 17:07,2.054,H
2020-10-03 23:41,0.440,L
2020-10-04 06:35,1.956,H
2020-10-04 11:42,1.166,L
2020-10-04 17:16,2.018,H
2020-10-05 00:12,0.321,L
2020-10-05 07:30,1.970,H
2020-10-05 12:20,1.371,L
2020-10-05 17:29,1.991,H
2020-10-06 00:47,0.232,L
2020-10-06 08:34,1.987,H
2020-10-06 13:03,1.563,L
2020-10-06 17:45,1.970,H
2020-10-07 01:26,0.173,L
2020-10-07 09:48,2.020,H
2020-10-07 13:53,1.729,L
2020-10-07 18:00,1.952,H
2020-10-08 02:10,0.136,L
2020-10-08 11:06,2.083,H
2020-10-08 14:57,1.856,L
2020-10-08 18:06,1.935,H
2020-10-09 02:59,0.116,L
2020-10-09 12:13,2.170,H
2020-10-10 03:54,0.108,L
2020-10-10 13:03,2.254,H
2020-10-11 04:56,0.110,L
2020-10-11 13:41,2.317,H
2020-10-12 06:00,0.126,L
2020-10-12 14:13,2.353,H
2020-10-12 20:10,1.499,L
2020-10-12 23:42,1.710,H
2020-10-13 07:00,0.175,L
2020-10-13 14:40,2.365,H
2020-10-13 20:34,1.221,L
2020-10-14 01:19,1.795,H
2020-10-14 07:55,0.285,L
2020-10-14 15:04,2.361,H
2020-10-14 21:06,0.879,L
2020-10-15 02:44,1.934,H
2020-10-15 08:48,0.468,L
2020-10-15 15:26,2.350,H
2020-10-15 21:42,0.505,L
2020-10-16 04:01,2.095,H
2020-10-16 09:39,0.719,L
2020-10-16 15:48,2.342,H
2020-10-16 22:22,0.142,L
2020-10-17 05:09,2.245,H
2020-10-17 10:29,1.014,L
2020-10-17 16:11,2.336,H
2020-10-17 23:03,-0.164,L
2020-10-18 06:16,2.357,H
2020-10-18 11:19,1.322,L
2020-10-18 16:36,2.325,H
2020-10-18 23:48,-0.376,L
2020-10-19 07:25,2.425,H
2020-10-19 12:12,1.606,L
2020-10-19 17:02,2.297,H
2020-10-20 00:35,-0.473,L
2020-10-20 08:36,2.459,H
2020-10-20 13:14,1.832,L
2020-10-20 17:30,2.239,H
2020-10-21 01:25,-0.456,L
2020-10-21 09:48,2.474,H
2020-10-21 14:33,1.967,L
2020-10-21 17:57,2.143,H
2020-10-22 02:19,-0.346,L
2020-10-22 10:58,2.481,H
2020-10-23 03:15,-0.170,L
2020-10-23 12:00,2.480,H
2020-10-24 04:15,0.037,L
2020-10-24 12:49,2.465,H
2020-10-25 05:18,0.247,L
2020-10-25 13:29,2.434,H
2020-10-25 20:10,1.395,L
2020-10-25 23:41,1.510,H
2020-10-26 06:21,0.441,L
2020-10-26 14:03,2.390,H
2020-10-26 20:36,1.162,L
2020-10-27 01:26,1.564,H
2020-10-27 07:15,0.625,L
2020-10-27 14:31,2.339,H
2020-10-27 21:02,0.928,L
2020-10-28 02:38,1.669,H
2020-10-28 08:02,0.807,L
2020-10-28 14:53,2.286,H
2020-10-28 21:27,0.700,L
2020-10-29 03:39,1.796,H
2020-10-29 08:45,0.989,L
2020-10-29 15:10,2.234,H
2020-10-29 21:51,0.485,L
2020-10-30 04:32,1.926,H
2020-10-30 09:25,1.171,L
2020-10-30 15:21,2.190,H
2020-10-30 22:14,0.293,L
2020-10-31 05:20,2.047,H
2020-10-31 10:05,1.349,L
2020-10-31 15:31,2.158,H
2020-10-31 22:39,0.130,L
