Date Time, Prediction, Type
2020-10-01 03:29,1.487,H
2020-10-01 09:22,0.461,L
2020-10-01 16:15,1.701,H
2020-10-01 22:08,0.619,L
2020-10-02 04:23,1.505,H
2020-10-02 09:56,0.614,L
2020-10-02 16:23,1.664,H
2020-10-02 22:35,0.474,L
2020-10-03 05:14,1.520,H
2020-10-03 10:30,0.776,L
2020-10-03 16:30,1.640,H
2020-10-03 23:06,0.347,L
2020-10-04 06:06,1.529,H
2020-10-04 11:05,0.944,L
2020-10-04 16:43,1.624,H
2020-10-04 23:39,0.246,L
2020-10-05 07:04,1.534,H
2020-10-05 11:41,1.111,L
2020-10-05 16:58,1.612,H
2020-10-06 00:16,0.173,L
2020-10-06 08:17,1.545,H
2020-10-06 12:22,1.268,L
2020-10-06 17:13,1.604,H
2020-10-07 00:56,0.125,L
2020-10-07 09:41,1.578,H
2020-10-07 13:09,1.406,L
2020-10-07 17:19,1.602,H
2020-10-08 01:42,0.096,L
2020-10-08 11:01,1.639,H
2020-10-08 14:09,1.513,L
2020-10-08 17:12,1.606,H
2020-10-09 02:34,0.078,L
2020-10-09 12:06,1.714,H
2020-10-10 03:29,0.068,L
2020-10-10 12:53,1.780,H
2020-10-11 04:28,0.068,L
2020-10-11 13:27,1.823,H
2020-10-12 05:29,0.084,L
2020-10-12 13:54,1.844,H
2020-10-12 19:25,1.257,L
2020-10-12 23:07,1.405,H
2020-10-13 06:27,0.132,L
2020-10-13 14:15,1.848,H
2020-10-13 19:50,1.019,L
2020-10-14 00:43,1.458,H
2020-10-14 07:21,0.229,L
2020-10-14 14:33,1.849,H
2020-10-14 20:25,0.730,L
2020-10-15 02:06,1.548,H
2020-10-15 08:12,0.386,L
2020-10-15 14:49,1.857,H
2020-10-15 21:04,0.417,L
2020-10-16 03:24,1.650,H
2020-10-16 09:01,0.596,L
2020-10-16 15:10,1.874,H
2020-10-16 21:46,0.114,L
2020-10-17 04:39,1.749,H
2020-10-17 09:49,0.840,L
2020-10-17 15:33,1.896,H
2020-10-17 22:30,-0.140,L
2020-10-18 05:49,1.826,H
2020-10-18 10:36,1.090,L
2020-10-18 16:00,1.910,H
2020-10-18 23:15,-0.316,L
2020-10-19 07:01,1.874,H
2020-10-19 11:25,1.317,L
2020-10-19 16:29,1.904,H
2020-10-20 00:03,-0.396,L
2020-10-20 08:16,1.903,H
2020-10-20 12:17,1.500,L
2020-10-20 16:59,1.867,H
2020-10-21 00:53,-0.381,L
2020-10-21 09:31,1.925,H
2020-10-21 13:21,1.620,L
2020-10-21 17:28,1.791,H
2020-10-22 01:47,-0.290,L
2020-10-22 10:40,1.941,H
2020-10-22 15:05,1.653,L
2020-10-22 17:52,1.676,H
2020-10-23 02:44,-0.150,L
2020-10-23 11:39,1.949,H
2020-10-24 03:43,0.015,L
2020-10-24 12:28,1.946,H
2020-10-25 04:43,0.184,L
2020-10-25 13:07,1.929,H
2020-10-25 19:47,1.164,L
2020-10-25 22:41,1.246,H
2020-10-26 05:42,0.346,L
2020-10-26 13:39,1.900,H
2020-10-26 20:12,0.971,L
2020-10-27 00:54,1.266,H
2020-10-27 06:36,0.500,L
2020-10-27 14:05,1.864,H
2020-10-27 20:35,0.779,L
2020-10-28 02:08,1.340,H
2020-10-28 07:22,0.651,L
2020-10-28 14:25,1.825,H
2020-10-28 20:56,0.591,L
2020-10-29 03:10,1.428,H
2020-10-29 08:02,0.802,L
2020-10-29 14:36,1.792,H
2020-10-29 21:16,0.412,L
2020-10-30 04:06,1.520,H
2020-10-30 08:41,0.954,L
2020-10-30 14:43,1.771,H
2020-10-30 21:39,0.248,L
2020-10-31 04:58,1.609,H
2020-10-31 09:20,1.102,L
2020-10-31 14:54,1.759,H
2020-10-31 22:05,0.109,L
