Date Time, Prediction, Type
2020-11-01 05:15,2.145,H
2020-11-01 10:02,1.448,L
2020-11-01 15:23,2.138,H
2020-11-01 22:14,-0.073,L
2020-11-02 05:57,2.222,H
2020-11-02 10:43,1.601,L
2020-11-02 15:45,2.100,H
2020-11-02 22:46,-0.163,L
2020-11-03 06:41,2.277,H
2020-11-03 11:29,1.730,L
2020-11-03 16:07,2.043,H
2020-11-03 23:21,-0.204,L
2020-11-04 07:28,2.306,H
2020-11-04 12:22,1.830,L
2020-11-04 16:23,1.977,H
2020-11-05 00:01,-0.201,L
2020-11-05 08:21,2.315,H
2020-11-05 13:31,1.888,L
2020-11-05 15:38,1.916,H
2020-11-06 00:45,-0.157,L
2020-11-06 09:18,2.314,H
2020-11-07 01:36,-0.077,L
2020-11-07 10:16,2.314,H
2020-11-08 02:33,0.028,L
2020-11-08 11:06,2.319,H
2020-11-09 03:36,0.156,L
2020-11-09 11:47,2.329,H
2020-11-09 18:30,1.366,L
2020-11-09 21:57,1.509,H
2020-11-10 04:40,0.303,L
2020-11-10 12:20,2.346,H
2020-11-10 18:41,1.061,L
2020-11-10 23:41,1.558,H
2020-11-11 05:41,0.479,L
2020-11-11 12:50,2.372,H
2020-11-11 19:10,0.688,L
2020-11-12 01:12,1.714,H
2020-11-12 06:37,0.689,L
2020-11-12 13:18,2.406,H
2020-11-12 19:44,0.284,L
2020-11-13 02:28,1.929,H
2020-11-13 07:30,0.930,L
2020-11-13 13:47,2.441,H
2020-11-13 20:22,-0.105,L
2020-11-14 03:33,2.150,H
2020-11-14 08:21,1.184,L
2020-11-14 14:17,2.466,H
2020-11-14 21:02,-0.429,L
2020-11-15 04:33,2.339,H
2020-11-15 09:12,1.428,L
2020-11-15 14:48,2.463,H
2020-11-15 21:44,-0.649,L
2020-11-16 05:31,2.476,H
2020-11-16 10:05,1.637,L
2020-11-16 15:22,2.419,H
2020-11-16 22:28,-0.742,L
2020-11-17 06:28,2.556,H
2020-11-17 11:03,1.789,L
2020-11-17 15:59,2.327,H
2020-11-17 23:14,-0.709,L
2020-11-18 07:25,2.580,H
2020-11-18 12:09,1.873,L
2020-11-18 16:39,2.186,H
2020-11-19 00:02,-0.568,L
2020-11-19 08:23,2.565,H
2020-11-19 13:38,1.869,L
2020-11-19 17:26,2.003,H
2020-11-20 00:53,-0.347,L
2020-11-20 09:21,2.528,H
2020-11-20 16:08,1.738,L
2020-11-20 18:24,1.793,H
2020-11-21 01:48,-0.079,L
2020-11-21 10:17,2.484,H
2020-11-21 17:28,1.515,L
2020-11-21 19:41,1.583,H
2020-11-22 02:46,0.206,L
2020-11-22 11:07,2.438,H
2020-11-22 18:18,1.271,L
2020-11-22 21:19,1.423,H
2020-11-23 03:48,0.485,L
2020-11-23 11:48,2.389,H
2020-11-23 18:55,1.023,L
2020-11-23 23:26,1.392,H
2020-11-24 04:51,0.746,L
2020-11-24 12:21,2.340,H
2020-11-24 19:24,0.783,L
2020-11-25 01:14,1.519,H
2020-11-25 05:50,0.987,L
2020-11-25 12:44,2.294,H
2020-11-25 19:46,0.554,L
2020-11-26 02:25,1.708,H
2020-11-26 06:43,1.209,L
2020-11-26 13:02,2.261,H
2020-11-26 20:05,0.335,L
2020-11-27 03:19,1.902,H
2020-11-27 07:32,1.408,L
2020-11-27 13:19,2.243,H
2020-11-27 20:25,0.130,L
2020-11-28 04:06,2.075,H
2020-11-28 08:18,1.581,L
2020-11-28 13:38,2.233,H
2020-11-28 20:49,-0.053,L
2020-11-29 04:46,2.220,H
2020-11-29 09:02,1.724,L
2020-11-29 14:00,2.221,H
2020-11-29 21:16,-0.204,L
2020-11-30 05:24,2.332,H
2020-11-30 09:45,1.834,L
2020-11-30 14:24,2.196,H
2020-11-30 21:46,-0.316,L
