Date Time, Prediction, Type
2020-10-01 03:28,1.896,H
2020-10-01 09:14,0.549,L
2020-10-01 15:56,2.140,H
2020-10-01 21:49,0.639,L
2020-10-02 04:13,1.935,H
2020-10-02 09:49,0.723,L
2020-10-02 16:11,2.117,H
2020-10-02 22:17,0.467,L
2020-10-03 04:57,1.969,H
2020-10-03 10:24,0.918,L
2020-10-03 16:29,2.100,H
2020-10-03 22:47,0.315,L
2020-10-04 05:43,2.000,H
2020-10-04 11:02,1.124,L
2020-10-04 16:51,2.072,H
2020-10-04 23:21,0.194,L
2020-10-05 06:33,2.025,H
2020-10-05 11:43,1.328,L
2020-10-05 17:15,2.028,H
2020-10-05 23:57,0.113,L
2020-10-06 07:27,2.039,H
2020-10-06 12:29,1.517,L
2020-10-06 17:40,1.966,H
2020-10-07 00:36,0.072,L
2020-10-07 08:29,2.046,H
2020-10-07 13:27,1.676,L
2020-10-07 18:04,1.896,H
2020-10-08 01:22,0.068,L
2020-10-08 09:45,2.057,H
2020-10-08 14:50,1.779,L
2020-10-08 18:21,1.829,H
2020-10-09 02:14,0.084,L
2020-10-09 11:12,2.094,H
2020-10-10 03:15,0.104,L
2020-10-10 12:16,2.147,H
2020-10-11 04:21,0.109,L
2020-10-11 12:58,2.191,H
2020-10-11 19:00,1.577,L
2020-10-11 22:03,1.667,H
2020-10-12 05:24,0.106,L
2020-10-12 13:29,2.224,H
2020-10-12 19:06,1.386,L
2020-10-12 23:34,1.711,H
2020-10-13 06:22,0.121,L
2020-10-13 13:56,2.252,H
2020-10-13 19:32,1.116,L
2020-10-14 00:53,1.815,H
2020-10-14 07:14,0.189,L
2020-10-14 14:21,2.284,H
2020-10-14 20:06,0.785,L
2020-10-15 02:04,1.947,H
2020-10-15 08:02,0.328,L
2020-10-15 14:47,2.318,H
2020-10-15 20:43,0.424,L
2020-10-16 03:09,2.081,H
2020-10-16 08:48,0.539,L
2020-10-16 15:15,2.350,H
2020-10-16 21:23,0.077,L
2020-10-17 04:12,2.197,H
2020-10-17 09:34,0.804,L
2020-10-17 15:44,2.368,H
2020-10-17 22:06,-0.214,L
2020-10-18 05:15,2.284,H
2020-10-18 10:22,1.092,L
2020-10-18 16:15,2.358,H
2020-10-18 22:51,-0.408,L
2020-10-19 06:18,2.336,H
2020-10-19 11:14,1.368,L
2020-10-19 16:49,2.307,H
2020-10-19 23:38,-0.488,L
2020-10-20 07:25,2.358,H
2020-10-20 12:12,1.596,L
2020-10-20 17:25,2.211,H
2020-10-21 00:29,-0.451,L
2020-10-21 08:36,2.361,H
2020-10-21 13:26,1.747,L
2020-10-21 18:06,2.070,H
2020-10-22 01:23,-0.318,L
2020-10-22 09:52,2.361,H
2020-10-22 15:24,1.776,L
2020-10-22 18:57,1.897,H
2020-10-23 02:23,-0.125,L
2020-10-23 11:03,2.366,H
2020-10-23 17:40,1.637,L
2020-10-23 20:05,1.717,H
2020-10-24 03:28,0.084,L
2020-10-24 12:02,2.367,H
2020-10-24 18:44,1.435,L
2020-10-24 21:37,1.575,H
2020-10-25 04:38,0.275,L
2020-10-25 12:50,2.354,H
2020-10-25 19:25,1.224,L
2020-10-25 23:25,1.535,H
2020-10-26 05:43,0.442,L
2020-10-26 13:27,2.323,H
2020-10-26 19:56,1.017,L
2020-10-27 00:59,1.602,H
2020-10-27 06:39,0.597,L
2020-10-27 13:56,2.277,H
2020-10-27 20:19,0.816,L
2020-10-28 02:07,1.714,H
2020-10-28 07:26,0.757,L
2020-10-28 14:17,2.229,H
2020-10-28 20:37,0.616,L
2020-10-29 03:02,1.834,H
2020-10-29 08:07,0.927,L
2020-10-29 14:32,2.192,H
2020-10-29 20:56,0.418,L
2020-10-30 03:49,1.947,H
2020-10-30 08:46,1.104,L
2020-10-30 14:46,2.173,H
2020-10-30 21:19,0.228,L
2020-10-31 04:33,2.053,H
2020-10-31 09:23,1.280,L
2020-10-31 15:02,2.160,H
2020-10-31 21:45,0.060,L
