Date Time, Prediction, Type
2020-10-01 04:20,2.112,H
2020-10-01 09:40,0.574,L
2020-10-01 16:48,2.383,H
2020-10-01 22:15,0.668,L
2020-10-02 05:05,2.155,H
2020-10-02 10:15,0.756,L
2020-10-02 17:03,2.358,H
2020-10-02 22:43,0.489,L
2020-10-03 05:49,2.193,H
2020-10-03 10:50,0.960,L
2020-10-03 17:21,2.338,H
2020-10-03 23:13,0.329,L
2020-10-04 06:35,2.228,H
2020-10-04 11:28,1.175,L
2020-10-04 17:43,2.308,H
2020-10-04 23:47,0.203,L
2020-10-05 07:25,2.255,H
2020-10-05 12:09,1.388,L
2020-10-05 18:07,2.258,H
2020-10-06 00:23,0.118,L
2020-10-06 08:19,2.271,H
2020-10-06 12:55,1.586,L
2020-10-06 18:32,2.189,H
2020-10-07 01:02,0.075,L
2020-10-07 09:21,2.279,H
2020-10-07 13:53,1.752,L
2020-10-07 18:56,2.112,H
2020-10-08 01:48,0.071,L
2020-10-08 10:37,2.291,H
2020-10-08 15:16,1.860,L
2020-10-08 19:13,2.036,H
2020-10-09 02:40,0.088,L
2020-10-09 12:04,2.332,H
2020-10-10 03:41,0.109,L
2020-10-10 13:08,2.391,H
2020-10-10 19:53,1.767,L
2020-10-10 21:09,1.886,H
2020-10-11 04:47,0.114,L
2020-10-11 13:50,2.440,H
2020-10-11 19:26,1.649,L
2020-10-11 22:55,1.856,H
2020-10-12 05:50,0.110,L
2020-10-12 14:21,2.476,H
2020-10-12 19:32,1.449,L
2020-10-13 00:26,1.905,H
2020-10-13 06:48,0.127,L
2020-10-13 14:48,2.508,H
2020-10-13 19:58,1.167,L
2020-10-14 01:45,2.021,H
2020-10-14 07:40,0.198,L
2020-10-14 15:13,2.543,H
2020-10-14 20:32,0.821,L
2020-10-15 02:56,2.169,H
2020-10-15 08:28,0.343,L
2020-10-15 15:39,2.581,H
2020-10-15 21:09,0.443,L
2020-10-16 04:01,2.318,H
2020-10-16 09:14,0.564,L
2020-10-16 16:07,2.618,H
2020-10-16 21:49,0.080,L
2020-10-17 05:04,2.447,H
2020-10-17 10:00,0.841,L
2020-10-17 16:36,2.637,H
2020-10-17 22:32,-0.224,L
2020-10-18 06:07,2.543,H
2020-10-18 10:48,1.142,L
2020-10-18 17:07,2.625,H
2020-10-18 23:17,-0.427,L
2020-10-19 07:10,2.602,H
2020-10-19 11:40,1.430,L
2020-10-19 17:41,2.570,H
2020-10-20 00:04,-0.510,L
2020-10-20 08:17,2.626,H
2020-10-20 12:38,1.669,L
2020-10-20 18:17,2.462,H
2020-10-21 00:55,-0.471,L
2020-10-21 09:28,2.629,H
2020-10-21 13:52,1.826,L
2020-10-21 18:58,2.305,H
2020-10-22 01:49,-0.332,L
2020-10-22 10:44,2.629,H
2020-10-22 15:50,1.857,L
2020-10-22 19:49,2.113,H
2020-10-23 02:49,-0.131,L
2020-10-23 11:55,2.635,H
2020-10-23 18:06,1.711,L
2020-10-23 20:57,1.912,H
2020-10-24 03:54,0.087,L
2020-10-24 12:54,2.636,H
2020-10-24 19:10,1.501,L
2020-10-24 22:29,1.754,H
2020-10-25 05:04,0.288,L
2020-10-25 13:42,2.621,H
2020-10-25 19:51,1.280,L
2020-10-26 00:17,1.709,H
2020-10-26 06:09,0.462,L
2020-10-26 14:19,2.587,H
2020-10-26 20:22,1.064,L
2020-10-27 01:51,1.784,H
2020-10-27 07:05,0.624,L
2020-10-27 14:48,2.536,H
2020-10-27 20:45,0.853,L
2020-10-28 02:59,1.909,H
2020-10-28 07:52,0.791,L
2020-10-28 15:09,2.482,H
2020-10-28 21:03,0.644,L
2020-10-29 03:54,2.042,H
2020-10-29 08:33,0.969,L
2020-10-29 15:24,2.441,H
2020-10-29 21:22,0.437,L
2020-10-30 04:41,2.169,H
2020-10-30 09:12,1.154,L
2020-10-30 15:38,2.420,H
2020-10-30 21:45,0.238,L
2020-10-31 05:25,2.286,H
2020-10-31 09:49,1.338,L
2020-10-31 15:54,2.405,H
2020-10-31 22:11,0.063,L
