Date Time, Prediction, Type
2021-11-01 00:45,1.708,H
2021-11-01 06:33,0.505,L
2021-11-01 13:53,2.469,H
2021-11-01 19:50,0.756,L
2021-11-02 02:02,1.876,H
2021-11-02 07:22,0.666,L
2021-11-02 14:16,2.502,H
2021-11-02 20:18,0.386,L
2021-11-03 03:08,2.081,H
2021-11-03 08:08,0.874,L
2021-11-03 14:40,2.543,H
2021-11-03 20:52,0.006,L
2021-11-04 04:10,2.289,H
2021-11-04 08:54,1.116,L
2021-11-04 15:06,2.579,H
2021-11-04 21:30,-0.334,L
2021-11-05 05:09,2.471,H
2021-11-05 09:41,1.367,L
2021-11-05 15:34,2.597,H
2021-11-05 22:11,-0.590,L
2021-11-06 06:07,2.606,H
2021-11-06 10:30,1.597,L
2021-11-06 16:05,2.581,H
2021-11-06 22:55,-0.728,L
2021-11-07 07:07,2.685,H
2021-11-07 11:25,1.782,L
2021-11-07 16:39,2.517,H
2021-11-07 23:43,-0.737,L
2021-11-08 08:10,2.710,H
2021-11-08 12:28,1.898,L
2021-11-08 17:18,2.396,H
2021-11-09 00:34,-0.629,L
2021-11-09 09:14,2.702,H
2021-11-09 13:53,1.922,L
2021-11-09 18:06,2.216,H
2021-11-10 01:30,-0.429,L
2021-11-10 10:19,2.679,H
2021-11-10 16:39,1.801,L
2021-11-10 19:13,1.993,H
2021-11-11 02:31,-0.172,L
2021-11-11 11:19,2.655,H
2021-11-11 18:02,1.554,L
2021-11-11 20:43,1.767,H
2021-11-12 03:36,0.104,L
2021-11-12 12:09,2.632,H
2021-11-12 18:49,1.272,L
2021-11-12 22:33,1.617,H
2021-11-13 04:43,0.375,L
2021-11-13 12:50,2.603,H
2021-11-13 19:26,0.982,L
2021-11-14 00:33,1.628,H
2021-11-14 05:47,0.637,L
2021-11-14 13:24,2.564,H
2021-11-14 19:55,0.702,L
2021-11-15 02:05,1.778,H
2021-11-15 06:43,0.891,L
2021-11-15 13:50,2.518,H
2021-11-15 20:19,0.445,L
2021-11-16 03:14,1.974,H
2021-11-16 07:34,1.134,L
2021-11-16 14:09,2.471,H
2021-11-16 20:41,0.216,L
2021-11-17 04:10,2.167,H
2021-11-17 08:20,1.361,L
2021-11-17 14:25,2.432,H
2021-11-17 21:04,0.020,L
2021-11-18 04:59,2.335,H
2021-11-18 09:05,1.559,L
2021-11-18 14:41,2.399,H
2021-11-18 21:29,-0.136,L
2021-11-19 05:43,2.469,H
2021-11-19 09:49,1.721,L
2021-11-19 14:59,2.364,H
2021-11-19 21:57,-0.245,L
2021-11-20 06:25,2.564,H
2021-11-20 10:36,1.841,L
2021-11-20 15:19,2.317,H
2021-11-20 22:28,-0.303,L
2021-11-21 07:05,2.620,H
2021-11-21 11:27,1.920,L
2021-11-21 15:39,2.254,H
2021-11-21 23:02,-0.310,L
2021-11-22 07:46,2.642,H
2021-11-22 12:26,1.961,L
2021-11-22 15:50,2.177,H
2021-11-22 23:39,-0.272,L
2021-11-23 08:28,2.637,H
2021-11-24 00:20,-0.197,L
2021-11-24 09:13,2.618,H
2021-11-25 01:05,-0.091,L
2021-11-25 09:58,2.596,H
2021-11-26 01:54,0.048,L
2021-11-26 10:39,2.577,H
2021-11-27 02:47,0.218,L
2021-11-27 11:15,2.566,H
2021-11-27 18:48,1.356,L
2021-11-27 21:15,1.517,H
2021-11-28 03:44,0.423,L
2021-11-28 11:46,2.564,H
2021-11-28 18:34,1.089,L
2021-11-28 23:07,1.493,H
2021-11-29 04:43,0.659,L
2021-11-29 12:14,2.575,H
2021-11-29 18:48,0.741,L
2021-11-30 00:55,1.628,H
2021-11-30 05:42,0.917,L
2021-11-30 12:41,2.601,H
2021-11-30 19:16,0.341,L
