Date Time, Prediction, Type
2021-10-01 06:01,0.241,L
2021-10-01 14:33,2.305,H
2021-10-01 20:31,1.762,L
2021-10-01 23:39,1.752,H
2021-10-02 06:57,0.199,L
2021-10-02 14:57,2.317,H
2021-10-02 20:33,1.598,L
2021-10-03 00:54,1.821,H
2021-10-03 07:45,0.181,L
2021-10-03 15:16,2.325,H
2021-10-03 20:48,1.359,L
2021-10-04 02:01,1.922,H
2021-10-04 08:29,0.222,L
2021-10-04 15:36,2.342,H
2021-10-04 21:14,1.045,L
2021-10-05 03:01,2.034,H
2021-10-05 09:09,0.348,L
2021-10-05 15:57,2.368,H
2021-10-05 21:46,0.683,L
2021-10-06 04:00,2.139,H
2021-10-06 09:50,0.561,L
2021-10-06 16:20,2.398,H
2021-10-06 22:22,0.307,L
2021-10-07 04:59,2.229,H
2021-10-07 10:31,0.850,L
2021-10-07 16:46,2.421,H
2021-10-07 23:03,-0.037,L
2021-10-08 06:00,2.296,H
2021-10-08 11:15,1.182,L
2021-10-08 17:13,2.425,H
2021-10-08 23:46,-0.304,L
2021-10-09 07:04,2.337,H
2021-10-09 12:02,1.519,L
2021-10-09 17:44,2.401,H
2021-10-10 00:33,-0.459,L
2021-10-10 08:13,2.356,H
2021-10-10 12:56,1.819,L
2021-10-10 18:17,2.339,H
2021-10-11 01:25,-0.491,L
2021-10-11 09:30,2.365,H
2021-10-11 14:03,2.040,L
2021-10-11 18:55,2.235,H
2021-10-12 02:22,-0.411,L
2021-10-12 10:55,2.389,H
2021-10-12 15:41,2.134,L
2021-10-12 19:44,2.091,H
2021-10-13 03:26,-0.259,L
2021-10-13 12:11,2.431,H
2021-10-13 18:19,2.027,L
2021-10-13 20:57,1.926,H
2021-10-14 04:35,-0.081,L
2021-10-14 13:09,2.465,H
2021-10-14 19:29,1.793,L
2021-10-14 22:33,1.796,H
2021-10-15 05:46,0.090,L
2021-10-15 13:54,2.478,H
2021-10-15 20:09,1.524,L
2021-10-16 00:16,1.762,H
2021-10-16 06:51,0.255,L
2021-10-16 14:31,2.466,H
2021-10-16 20:40,1.242,L
2021-10-17 01:45,1.823,H
2021-10-17 07:45,0.436,L
2021-10-17 15:01,2.436,H
2021-10-17 21:06,0.960,L
2021-10-18 02:54,1.922,H
2021-10-18 08:32,0.648,L
2021-10-18 15:24,2.394,H
2021-10-18 21:31,0.686,L
2021-10-19 03:53,2.024,H
2021-10-19 09:13,0.887,L
2021-10-19 15:42,2.350,H
2021-10-19 21:56,0.432,L
2021-10-20 04:45,2.118,H
2021-10-20 09:52,1.145,L
2021-10-20 15:58,2.311,H
2021-10-20 22:23,0.210,L
2021-10-21 05:34,2.203,H
2021-10-21 10:31,1.403,L
2021-10-21 16:14,2.276,H
2021-10-21 22:52,0.035,L
2021-10-22 06:22,2.278,H
2021-10-22 11:13,1.643,L
2021-10-22 16:33,2.233,H
2021-10-22 23:24,-0.083,L
2021-10-23 07:10,2.334,H
2021-10-23 11:58,1.853,L
2021-10-23 16:53,2.175,H
2021-10-23 23:58,-0.135,L
2021-10-24 08:00,2.368,H
2021-10-24 12:52,2.019,L
2021-10-24 17:14,2.100,H
2021-10-25 00:35,-0.121,L
2021-10-25 08:55,2.378,H
2021-10-25 14:03,2.128,L
2021-10-25 17:29,2.012,H
2021-10-26 01:17,-0.055,L
2021-10-26 09:58,2.374,H
2021-10-27 02:05,0.046,L
2021-10-27 11:06,2.372,H
2021-10-28 03:00,0.159,L
2021-10-28 12:04,2.377,H
2021-10-29 04:02,0.265,L
2021-10-29 12:46,2.383,H
2021-10-29 20:10,1.718,L
2021-10-29 21:41,1.589,H
2021-10-30 05:06,0.357,L
2021-10-30 13:16,2.388,H
2021-10-30 19:58,1.528,L
2021-10-30 23:24,1.582,H
2021-10-31 06:05,0.454,L
2021-10-31 13:40,2.398,H
2021-10-31 19:58,1.247,L
