Date Time, Prediction, Type
2021-11-01 01:07,1.690,H
2021-11-01 07:11,0.545,L
2021-11-01 14:15,2.443,H
2021-11-01 20:28,0.816,L
2021-11-02 02:24,1.857,H
2021-11-02 08:00,0.719,L
2021-11-02 14:38,2.476,H
2021-11-02 20:56,0.417,L
2021-11-03 03:30,2.060,H
2021-11-03 08:46,0.943,L
2021-11-03 15:02,2.516,H
2021-11-03 21:30,0.007,L
2021-11-04 04:32,2.264,H
2021-11-04 09:32,1.205,L
2021-11-04 15:28,2.552,H
2021-11-04 22:08,-0.360,L
2021-11-05 05:31,2.445,H
2021-11-05 10:19,1.475,L
2021-11-05 15:56,2.570,H
2021-11-05 22:49,-0.637,L
2021-11-06 06:29,2.578,H
2021-11-06 11:08,1.724,L
2021-11-06 16:27,2.554,H
2021-11-06 23:33,-0.786,L
2021-11-07 07:29,2.656,H
2021-11-07 12:03,1.924,L
2021-11-07 17:01,2.490,H
2021-11-08 00:21,-0.796,L
2021-11-08 08:32,2.682,H
2021-11-08 13:06,2.049,L
2021-11-08 17:40,2.371,H
2021-11-09 01:12,-0.679,L
2021-11-09 09:36,2.673,H
2021-11-09 14:31,2.075,L
2021-11-09 18:28,2.193,H
2021-11-10 02:08,-0.463,L
2021-11-10 10:41,2.651,H
2021-11-10 17:17,1.945,L
2021-11-10 19:35,1.972,H
2021-11-11 03:09,-0.186,L
2021-11-11 11:41,2.627,H
2021-11-11 18:40,1.678,L
2021-11-11 21:05,1.748,H
2021-11-12 04:14,0.112,L
2021-11-12 12:31,2.604,H
2021-11-12 19:27,1.373,L
2021-11-12 22:55,1.600,H
2021-11-13 05:21,0.405,L
2021-11-13 13:12,2.576,H
2021-11-13 20:04,1.060,L
2021-11-14 00:55,1.611,H
2021-11-14 06:25,0.688,L
2021-11-14 13:46,2.537,H
2021-11-14 20:33,0.758,L
2021-11-15 02:27,1.760,H
2021-11-15 07:21,0.961,L
2021-11-15 14:12,2.492,H
2021-11-15 20:57,0.481,L
2021-11-16 03:36,1.953,H
2021-11-16 08:12,1.225,L
2021-11-16 14:31,2.445,H
2021-11-16 21:19,0.234,L
2021-11-17 04:32,2.144,H
2021-11-17 08:58,1.470,L
2021-11-17 14:47,2.406,H
2021-11-17 21:42,0.022,L
2021-11-18 05:21,2.311,H
2021-11-18 09:43,1.683,L
2021-11-18 15:03,2.374,H
2021-11-18 22:07,-0.146,L
2021-11-19 06:05,2.443,H
2021-11-19 10:27,1.858,L
2021-11-19 15:21,2.339,H
2021-11-19 22:35,-0.264,L
2021-11-20 06:47,2.537,H
2021-11-20 11:14,1.987,L
2021-11-20 15:41,2.293,H
2021-11-20 23:06,-0.327,L
2021-11-21 07:27,2.593,H
2021-11-21 12:05,2.073,L
2021-11-21 16:01,2.231,H
2021-11-21 23:40,-0.334,L
2021-11-22 08:08,2.614,H
2021-11-22 13:04,2.117,L
2021-11-22 16:12,2.154,H
2021-11-23 00:17,-0.294,L
2021-11-23 08:50,2.609,H
2021-11-24 00:58,-0.213,L
2021-11-24 09:35,2.591,H
2021-11-25 01:43,-0.098,L
2021-11-25 10:20,2.569,H
2021-11-26 02:32,0.051,L
2021-11-26 11:01,2.550,H
2021-11-27 03:25,0.236,L
2021-11-27 11:37,2.539,H
2021-11-27 19:26,1.464,L
2021-11-27 21:37,1.501,H
2021-11-28 04:22,0.457,L
2021-11-28 12:08,2.537,H
2021-11-28 19:12,1.176,L
2021-11-28 23:29,1.478,H
2021-11-29 05:21,0.712,L
2021-11-29 12:36,2.548,H
2021-11-29 19:26,0.800,L
2021-11-30 01:17,1.611,H
2021-11-30 06:20,0.990,L
2021-11-30 13:03,2.574,H
2021-11-30 19:54,0.368,L
