Date Time, Prediction, Type
2021-10-01 06:13,0.224,L
2021-10-01 14:46,2.330,H
2021-10-01 20:43,1.641,L
2021-10-01 23:52,1.771,H
2021-10-02 07:09,0.185,L
2021-10-02 15:10,2.342,H
2021-10-02 20:45,1.489,L
2021-10-03 01:07,1.841,H
2021-10-03 07:57,0.168,L
2021-10-03 15:29,2.350,H
2021-10-03 21:00,1.265,L
2021-10-04 02:14,1.943,H
2021-10-04 08:41,0.207,L
2021-10-04 15:49,2.367,H
2021-10-04 21:26,0.974,L
2021-10-05 03:14,2.056,H
2021-10-05 09:21,0.324,L
2021-10-05 16:10,2.393,H
2021-10-05 21:58,0.637,L
2021-10-06 04:13,2.162,H
2021-10-06 10:02,0.523,L
2021-10-06 16:33,2.423,H
2021-10-06 22:34,0.286,L
2021-10-07 05:12,2.253,H
2021-10-07 10:43,0.791,L
2021-10-07 16:59,2.447,H
2021-10-07 23:15,-0.034,L
2021-10-08 06:13,2.321,H
2021-10-08 11:27,1.101,L
2021-10-08 17:26,2.452,H
2021-10-08 23:58,-0.283,L
2021-10-09 07:17,2.362,H
2021-10-09 12:14,1.415,L
2021-10-09 17:57,2.427,H
2021-10-10 00:45,-0.428,L
2021-10-10 08:26,2.381,H
2021-10-10 13:08,1.694,L
2021-10-10 18:30,2.364,H
2021-10-11 01:37,-0.457,L
2021-10-11 09:43,2.390,H
2021-10-11 14:15,1.900,L
2021-10-11 19:08,2.259,H
2021-10-12 02:34,-0.383,L
2021-10-12 11:08,2.415,H
2021-10-12 15:53,1.987,L
2021-10-12 19:57,2.113,H
2021-10-13 03:38,-0.241,L
2021-10-13 12:24,2.457,H
2021-10-13 18:31,1.888,L
2021-10-13 21:10,1.947,H
2021-10-14 04:47,-0.075,L
2021-10-14 13:22,2.492,H
2021-10-14 19:41,1.670,L
2021-10-14 22:46,1.815,H
2021-10-15 05:58,0.084,L
2021-10-15 14:07,2.504,H
2021-10-15 20:21,1.419,L
2021-10-16 00:29,1.781,H
2021-10-16 07:03,0.238,L
2021-10-16 14:44,2.493,H
2021-10-16 20:52,1.157,L
2021-10-17 01:58,1.842,H
2021-10-17 07:57,0.406,L
2021-10-17 15:14,2.462,H
2021-10-17 21:18,0.894,L
2021-10-18 03:07,1.943,H
2021-10-18 08:44,0.603,L
2021-10-18 15:37,2.420,H
2021-10-18 21:43,0.639,L
2021-10-19 04:06,2.045,H
2021-10-19 09:25,0.827,L
2021-10-19 15:55,2.375,H
2021-10-19 22:08,0.403,L
2021-10-20 04:58,2.140,H
2021-10-20 10:04,1.067,L
2021-10-20 16:11,2.336,H
2021-10-20 22:35,0.196,L
2021-10-21 05:47,2.227,H
2021-10-21 10:43,1.306,L
2021-10-21 16:27,2.300,H
2021-10-21 23:04,0.032,L
2021-10-22 06:35,2.302,H
2021-10-22 11:25,1.530,L
2021-10-22 16:46,2.257,H
2021-10-22 23:36,-0.077,L
2021-10-23 07:23,2.359,H
2021-10-23 12:10,1.726,L
2021-10-23 17:06,2.199,H
2021-10-24 00:10,-0.125,L
2021-10-24 08:13,2.393,H
2021-10-24 13:04,1.880,L
2021-10-24 17:27,2.123,H
2021-10-25 00:47,-0.113,L
2021-10-25 09:08,2.404,H
2021-10-25 14:15,1.982,L
2021-10-25 17:42,2.033,H
2021-10-26 01:29,-0.051,L
2021-10-26 10:11,2.400,H
2021-10-27 02:17,0.043,L
2021-10-27 11:19,2.397,H
2021-10-28 03:12,0.148,L
2021-10-28 12:17,2.403,H
2021-10-29 04:14,0.247,L
2021-10-29 12:59,2.408,H
2021-10-30 05:18,0.332,L
2021-10-30 13:29,2.414,H
2021-10-30 20:10,1.423,L
2021-10-30 23:37,1.599,H
2021-10-31 06:17,0.423,L
2021-10-31 13:53,2.423,H
2021-10-31 20:10,1.162,L
