Date Time, Prediction, Type
2021-10-01 06:24,0.191,L
2021-10-01 14:44,2.527,H
2021-10-01 21:19,1.717,L
2021-10-01 23:34,1.758,H
2021-10-02 07:21,0.158,L
2021-10-02 15:13,2.574,H
2021-10-02 21:23,1.532,L
2021-10-03 01:16,1.805,H
2021-10-03 08:12,0.159,L
2021-10-03 15:39,2.602,H
2021-10-03 21:43,1.289,L
2021-10-04 02:29,1.921,H
2021-10-04 08:58,0.225,L
2021-10-04 16:02,2.613,H
2021-10-04 22:08,0.993,L
2021-10-05 03:34,2.074,H
2021-10-05 09:44,0.372,L
2021-10-05 16:25,2.608,H
2021-10-05 22:38,0.660,L
2021-10-06 04:36,2.245,H
2021-10-06 10:29,0.602,L
2021-10-06 16:48,2.593,H
2021-10-06 23:12,0.317,L
2021-10-07 05:37,2.410,H
2021-10-07 11:15,0.899,L
2021-10-07 17:10,2.570,H
2021-10-07 23:48,0.000,L
2021-10-08 06:37,2.544,H
2021-10-08 12:02,1.236,L
2021-10-08 17:34,2.542,H
2021-10-09 00:29,-0.256,L
2021-10-09 07:41,2.635,H
2021-10-09 12:53,1.575,L
2021-10-09 17:58,2.503,H
2021-10-10 01:13,-0.420,L
2021-10-10 08:51,2.687,H
2021-10-10 13:51,1.871,L
2021-10-10 18:23,2.444,H
2021-10-11 02:03,-0.481,L
2021-10-11 10:07,2.719,H
2021-10-11 15:05,2.080,L
2021-10-11 18:49,2.349,H
2021-10-12 02:59,-0.444,L
2021-10-12 11:24,2.747,H
2021-10-12 16:48,2.146,L
2021-10-12 19:15,2.206,H
2021-10-13 04:00,-0.333,L
2021-10-13 12:35,2.774,H
2021-10-14 05:06,-0.177,L
2021-10-14 13:30,2.783,H
2021-10-14 20:18,1.758,L
2021-10-14 22:28,1.803,H
2021-10-15 06:16,-0.005,L
2021-10-15 14:14,2.767,H
2021-10-15 20:48,1.469,L
2021-10-16 00:34,1.746,H
2021-10-16 07:21,0.175,L
2021-10-16 14:49,2.730,H
2021-10-16 21:18,1.162,L
2021-10-17 02:05,1.818,H
2021-10-17 08:18,0.375,L
2021-10-17 15:19,2.679,H
2021-10-17 21:48,0.861,L
2021-10-18 03:17,1.943,H
2021-10-18 09:08,0.601,L
2021-10-18 15:46,2.618,H
2021-10-18 22:18,0.586,L
2021-10-19 04:20,2.086,H
2021-10-19 09:53,0.849,L
2021-10-19 16:09,2.550,H
2021-10-19 22:46,0.353,L
2021-10-20 05:14,2.226,H
2021-10-20 10:36,1.102,L
2021-10-20 16:29,2.476,H
2021-10-20 23:14,0.170,L
2021-10-21 06:04,2.350,H
2021-10-21 11:18,1.349,L
2021-10-21 16:47,2.396,H
2021-10-21 23:42,0.040,L
2021-10-22 06:52,2.447,H
2021-10-22 12:00,1.578,L
2021-10-22 17:03,2.316,H
2021-10-23 00:10,-0.040,L
2021-10-23 07:40,2.512,H
2021-10-23 12:44,1.778,L
2021-10-23 17:15,2.241,H
2021-10-24 00:40,-0.075,L
2021-10-24 08:32,2.547,H
2021-10-24 13:35,1.943,L
2021-10-24 17:22,2.175,H
2021-10-25 01:12,-0.069,L
2021-10-25 09:29,2.562,H
2021-10-25 14:44,2.057,L
2021-10-25 17:19,2.121,H
2021-10-26 01:49,-0.031,L
2021-10-26 10:28,2.572,H
2021-10-27 02:31,0.031,L
2021-10-27 11:28,2.589,H
2021-10-28 03:19,0.111,L
2021-10-28 12:20,2.614,H
2021-10-29 04:14,0.206,L
2021-10-29 13:01,2.639,H
2021-10-30 05:14,0.318,L
2021-10-30 13:33,2.657,H
2021-10-30 20:48,1.407,L
2021-10-30 23:39,1.495,H
2021-10-31 06:17,0.451,L
2021-10-31 14:00,2.666,H
2021-10-31 20:47,1.126,L
