Date Time, Prediction, Type
2021-11-01 00:54,1.553,H
2021-11-01 06:53,0.623,L
2021-11-01 14:06,2.394,H
2021-11-01 20:40,0.829,L
2021-11-02 02:24,1.732,H
2021-11-02 07:48,0.825,L
2021-11-02 14:21,2.387,H
2021-11-02 21:06,0.451,L
2021-11-03 03:38,1.956,H
2021-11-03 08:41,1.071,L
2021-11-03 14:38,2.393,H
2021-11-03 21:39,0.066,L
2021-11-04 04:46,2.192,H
2021-11-04 09:34,1.343,L
2021-11-04 14:59,2.408,H
2021-11-04 22:16,-0.282,L
2021-11-05 05:48,2.404,H
2021-11-05 10:27,1.617,L
2021-11-05 15:24,2.425,H
2021-11-05 22:57,-0.550,L
2021-11-06 06:49,2.561,H
2021-11-06 11:22,1.865,L
2021-11-06 15:52,2.430,H
2021-11-06 23:40,-0.706,L
2021-11-07 07:52,2.656,H
2021-11-07 12:19,2.063,L
2021-11-07 16:22,2.406,H
2021-11-08 00:27,-0.733,L
2021-11-08 08:58,2.702,H
2021-11-08 13:35,2.181,L
2021-11-08 16:54,2.336,H
2021-11-09 01:17,-0.637,L
2021-11-09 10:01,2.712,H
2021-11-09 15:31,2.171,L
2021-11-09 17:24,2.205,H
2021-11-10 02:12,-0.445,L
2021-11-10 10:59,2.695,H
2021-11-11 03:09,-0.186,L
2021-11-11 11:49,2.661,H
2021-11-12 04:05,0.115,L
2021-11-12 12:31,2.616,H
2021-11-12 19:33,1.440,L
2021-11-12 21:49,1.482,H
2021-11-13 05:04,0.432,L
2021-11-13 13:06,2.563,H
2021-11-13 19:58,1.117,L
2021-11-14 00:48,1.480,H
2021-11-14 06:05,0.742,L
2021-11-14 13:33,2.506,H
2021-11-14 20:27,0.799,L
2021-11-15 02:15,1.622,H
2021-11-15 07:05,1.026,L
2021-11-15 13:56,2.448,H
2021-11-15 20:56,0.506,L
2021-11-16 03:26,1.800,H
2021-11-16 07:57,1.282,L
2021-11-16 14:12,2.393,H
2021-11-16 21:24,0.255,L
2021-11-17 04:27,1.988,H
2021-11-17 08:46,1.507,L
2021-11-17 14:23,2.346,H
2021-11-17 21:51,0.051,L
2021-11-18 05:19,2.163,H
2021-11-18 09:34,1.697,L
2021-11-18 14:33,2.310,H
2021-11-18 22:17,-0.103,L
2021-11-19 06:06,2.308,H
2021-11-19 10:23,1.853,L
2021-11-19 14:47,2.279,H
2021-11-19 22:45,-0.205,L
2021-11-20 06:50,2.415,H
2021-11-20 11:11,1.975,L
2021-11-20 15:05,2.247,H
2021-11-20 23:14,-0.259,L
2021-11-21 07:36,2.487,H
2021-11-21 12:02,2.069,L
2021-11-21 15:24,2.211,H
2021-11-21 23:45,-0.266,L
2021-11-22 08:25,2.533,H
2021-11-22 13:07,2.134,L
2021-11-22 15:35,2.169,H
2021-11-23 00:18,-0.232,L
2021-11-23 09:14,2.561,H
2021-11-24 00:55,-0.160,L
2021-11-24 10:01,2.579,H
2021-11-25 01:35,-0.055,L
2021-11-25 10:44,2.587,H
2021-11-26 02:19,0.086,L
2021-11-26 11:20,2.583,H
2021-11-27 03:06,0.269,L
2021-11-27 11:49,2.567,H
2021-11-28 03:56,0.501,L
2021-11-28 12:11,2.546,H
2021-11-28 19:28,1.194,L
2021-11-28 22:55,1.361,H
2021-11-29 04:50,0.783,L
2021-11-29 12:27,2.531,H
2021-11-29 19:40,0.826,L
2021-11-30 01:32,1.536,H
2021-11-30 05:53,1.097,L
2021-11-30 12:43,2.534,H
2021-11-30 20:04,0.408,L
