Date Time, Prediction, Type
2021-11-01 01:09,1.618,H
2021-11-01 07:26,0.517,L
2021-11-01 14:17,2.339,H
2021-11-01 20:43,0.773,L
2021-11-02 02:26,1.778,H
2021-11-02 08:15,0.681,L
2021-11-02 14:40,2.371,H
2021-11-02 21:11,0.395,L
2021-11-03 03:32,1.972,H
2021-11-03 09:01,0.894,L
2021-11-03 15:04,2.409,H
2021-11-03 21:45,0.006,L
2021-11-04 04:34,2.168,H
2021-11-04 09:47,1.141,L
2021-11-04 15:30,2.444,H
2021-11-04 22:23,-0.341,L
2021-11-05 05:33,2.341,H
2021-11-05 10:34,1.398,L
2021-11-05 15:58,2.461,H
2021-11-05 23:04,-0.603,L
2021-11-06 06:31,2.469,H
2021-11-06 11:23,1.634,L
2021-11-06 16:29,2.445,H
2021-11-06 23:48,-0.744,L
2021-11-07 07:31,2.543,H
2021-11-07 12:18,1.823,L
2021-11-07 17:03,2.384,H
2021-11-08 00:36,-0.754,L
2021-11-08 08:34,2.568,H
2021-11-08 13:21,1.941,L
2021-11-08 17:42,2.270,H
2021-11-09 01:27,-0.644,L
2021-11-09 09:38,2.560,H
2021-11-09 14:46,1.966,L
2021-11-09 18:30,2.100,H
2021-11-10 02:23,-0.438,L
2021-11-10 10:43,2.538,H
2021-11-10 17:32,1.842,L
2021-11-10 19:37,1.888,H
2021-11-11 03:24,-0.176,L
2021-11-11 11:43,2.516,H
2021-11-11 18:55,1.589,L
2021-11-11 21:07,1.674,H
2021-11-12 04:29,0.106,L
2021-11-12 12:33,2.493,H
2021-11-12 19:42,1.301,L
2021-11-12 22:57,1.532,H
2021-11-13 05:36,0.383,L
2021-11-13 13:14,2.466,H
2021-11-13 20:19,1.004,L
2021-11-14 00:57,1.543,H
2021-11-14 06:40,0.652,L
2021-11-14 13:48,2.429,H
2021-11-14 20:48,0.718,L
2021-11-15 02:29,1.685,H
2021-11-15 07:36,0.911,L
2021-11-15 14:14,2.386,H
2021-11-15 21:12,0.455,L
2021-11-16 03:38,1.870,H
2021-11-16 08:27,1.160,L
2021-11-16 14:33,2.341,H
2021-11-16 21:34,0.221,L
2021-11-17 04:34,2.053,H
2021-11-17 09:13,1.392,L
2021-11-17 14:49,2.304,H
2021-11-17 21:57,0.021,L
2021-11-18 05:23,2.212,H
2021-11-18 09:58,1.595,L
2021-11-18 15:05,2.273,H
2021-11-18 22:22,-0.139,L
2021-11-19 06:07,2.339,H
2021-11-19 10:42,1.760,L
2021-11-19 15:23,2.239,H
2021-11-19 22:50,-0.250,L
2021-11-20 06:49,2.429,H
2021-11-20 11:29,1.883,L
2021-11-20 15:43,2.195,H
2021-11-20 23:21,-0.310,L
2021-11-21 07:29,2.482,H
2021-11-21 12:20,1.964,L
2021-11-21 16:03,2.136,H
2021-11-21 23:55,-0.317,L
2021-11-22 08:10,2.503,H
2021-11-22 13:19,2.005,L
2021-11-22 16:14,2.063,H
2021-11-23 00:32,-0.278,L
2021-11-23 08:52,2.498,H
2021-11-24 01:13,-0.202,L
2021-11-24 09:37,2.480,H
2021-11-25 01:58,-0.093,L
2021-11-25 10:22,2.460,H
2021-11-26 02:47,0.049,L
2021-11-26 11:03,2.442,H
2021-11-27 03:40,0.223,L
2021-11-27 11:39,2.431,H
2021-11-27 19:41,1.387,L
2021-11-27 21:39,1.437,H
2021-11-28 04:37,0.433,L
2021-11-28 12:10,2.429,H
2021-11-28 19:27,1.114,L
2021-11-28 23:31,1.415,H
2021-11-29 05:36,0.674,L
2021-11-29 12:38,2.440,H
2021-11-29 19:41,0.758,L
2021-11-30 01:19,1.543,H
2021-11-30 06:35,0.938,L
2021-11-30 13:05,2.464,H
2021-11-30 20:09,0.348,L
