Date Time, Prediction, Type
2021-11-01 00:27,1.543,H
2021-11-01 06:39,0.616,L
2021-11-01 14:03,2.216,H
2021-11-01 20:19,0.902,L
2021-11-02 02:01,1.668,H
2021-11-02 07:28,0.817,L
2021-11-02 14:14,2.233,H
2021-11-02 20:40,0.519,L
2021-11-03 03:20,1.851,H
2021-11-03 08:15,1.059,L
2021-11-03 14:31,2.270,H
2021-11-03 21:10,0.117,L
2021-11-04 04:27,2.053,H
2021-11-04 09:02,1.327,L
2021-11-04 14:52,2.312,H
2021-11-04 21:46,-0.250,L
2021-11-05 05:31,2.242,H
2021-11-05 09:50,1.597,L
2021-11-05 15:16,2.344,H
2021-11-05 22:27,-0.534,L
2021-11-06 06:33,2.394,H
2021-11-06 10:42,1.838,L
2021-11-06 15:43,2.352,H
2021-11-06 23:12,-0.699,L
2021-11-07 07:36,2.493,H
2021-11-07 11:41,2.023,L
2021-11-07 16:11,2.323,H
2021-11-08 00:00,-0.732,L
2021-11-08 08:41,2.541,H
2021-11-08 12:55,2.130,L
2021-11-08 16:38,2.247,H
2021-11-09 00:51,-0.637,L
2021-11-09 09:45,2.549,H
2021-11-10 01:46,-0.439,L
2021-11-10 10:46,2.531,H
2021-11-11 02:45,-0.171,L
2021-11-11 11:40,2.499,H
2021-11-12 03:48,0.131,L
2021-11-12 12:24,2.460,H
2021-11-12 19:30,1.397,L
2021-11-12 22:02,1.467,H
2021-11-13 04:54,0.437,L
2021-11-13 13:01,2.416,H
2021-11-13 19:56,1.097,L
2021-11-14 00:43,1.448,H
2021-11-14 05:58,0.730,L
2021-11-14 13:30,2.368,H
2021-11-14 20:22,0.800,L
2021-11-15 02:20,1.584,H
2021-11-15 06:56,1.007,L
2021-11-15 13:50,2.319,H
2021-11-15 20:45,0.522,L
2021-11-16 03:31,1.767,H
2021-11-16 07:49,1.266,L
2021-11-16 14:02,2.277,H
2021-11-16 21:06,0.275,L
2021-11-17 04:30,1.955,H
2021-11-17 08:37,1.502,L
2021-11-17 14:10,2.246,H
2021-11-17 21:26,0.061,L
2021-11-18 05:21,2.127,H
2021-11-18 09:26,1.705,L
2021-11-18 14:22,2.221,H
2021-11-18 21:48,-0.114,L
2021-11-19 06:07,2.272,H
2021-11-19 10:18,1.871,L
2021-11-19 14:40,2.190,H
2021-11-19 22:13,-0.242,L
2021-11-20 06:52,2.383,H
2021-11-20 11:19,1.994,L
2021-11-20 14:59,2.149,H
2021-11-20 22:43,-0.316,L
2021-11-21 07:37,2.457,H
2021-11-21 12:47,2.069,L
2021-11-21 15:12,2.104,H
2021-11-21 23:17,-0.335,L
2021-11-22 08:23,2.494,H
2021-11-22 23:54,-0.300,L
2021-11-23 09:11,2.503,H
2021-11-24 00:34,-0.218,L
2021-11-24 09:59,2.494,H
2021-11-25 01:17,-0.094,L
2021-11-25 10:43,2.474,H
2021-11-26 02:02,0.069,L
2021-11-26 11:20,2.446,H
2021-11-27 02:50,0.272,L
2021-11-27 11:46,2.414,H
2021-11-28 03:42,0.516,L
2021-11-28 12:05,2.388,H
2021-11-28 19:28,1.202,L
2021-11-28 22:51,1.370,H
2021-11-29 04:39,0.796,L
2021-11-29 12:19,2.380,H
2021-11-29 19:26,0.858,L
2021-11-30 01:11,1.485,H
2021-11-30 05:39,1.097,L
2021-11-30 12:35,2.396,H
2021-11-30 19:42,0.444,L
