Date Time, Prediction, Type
2021-11-01 01:09,1.618,H
2021-11-01 07:17,0.568,L
2021-11-01 14:17,2.339,H
2021-11-01 20:34,0.850,L
2021-11-02 02:26,1.778,H
2021-11-02 08:06,0.749,L
2021-11-02 14:40,2.371,H
2021-11-02 21:02,0.435,L
2021-11-03 03:32,1.972,H
2021-11-03 08:52,0.983,L
2021-11-03 15:04,2.409,H
2021-11-03 21:36,0.007,L
2021-11-04 04:34,2.168,H
2021-11-04 09:38,1.255,L
2021-11-04 15:30,2.444,H
2021-11-04 22:14,-0.375,L
2021-11-05 05:33,2.341,H
2021-11-05 10:25,1.537,L
2021-11-05 15:58,2.461,H
2021-11-05 22:55,-0.663,L
2021-11-06 06:31,2.469,H
2021-11-06 11:14,1.797,L
2021-11-06 16:29,2.445,H
2021-11-06 23:39,-0.819,L
2021-11-07 07:31,2.543,H
2021-11-07 12:09,2.005,L
2021-11-07 17:03,2.384,H
2021-11-08 00:27,-0.830,L
2021-11-08 08:34,2.568,H
2021-11-08 13:12,2.135,L
2021-11-08 17:42,2.270,H
2021-11-09 01:18,-0.708,L
2021-11-09 09:38,2.560,H
2021-11-09 14:37,2.162,L
2021-11-09 18:30,2.100,H
2021-11-10 02:14,-0.482,L
2021-11-10 10:43,2.538,H
2021-11-10 17:23,2.027,L
2021-11-10 19:37,1.888,H
2021-11-11 03:15,-0.194,L
2021-11-11 11:43,2.516,H
2021-11-11 18:46,1.748,L
2021-11-11 21:07,1.674,H
2021-11-12 04:20,0.117,L
2021-11-12 12:33,2.493,H
2021-11-12 19:33,1.431,L
2021-11-12 22:57,1.532,H
2021-11-13 05:27,0.422,L
2021-11-13 13:14,2.466,H
2021-11-13 20:10,1.105,L
2021-11-14 00:57,1.543,H
2021-11-14 06:31,0.717,L
2021-11-14 13:48,2.429,H
2021-11-14 20:39,0.790,L
2021-11-15 02:29,1.685,H
2021-11-15 07:27,1.002,L
2021-11-15 14:14,2.386,H
2021-11-15 21:03,0.501,L
2021-11-16 03:38,1.870,H
2021-11-16 08:18,1.276,L
2021-11-16 14:33,2.341,H
2021-11-16 21:25,0.244,L
2021-11-17 04:34,2.053,H
2021-11-17 09:04,1.532,L
2021-11-17 14:49,2.304,H
2021-11-17 21:48,0.023,L
2021-11-18 05:23,2.212,H
2021-11-18 09:49,1.754,L
2021-11-18 15:05,2.273,H
2021-11-18 22:13,-0.152,L
2021-11-19 06:07,2.339,H
2021-11-19 10:33,1.936,L
2021-11-19 15:23,2.239,H
2021-11-19 22:41,-0.275,L
2021-11-20 06:49,2.429,H
2021-11-20 11:20,2.071,L
2021-11-20 15:43,2.195,H
2021-11-20 23:12,-0.341,L
2021-11-21 07:29,2.482,H
2021-11-21 12:11,2.160,L
2021-11-21 16:03,2.136,H
2021-11-21 23:46,-0.348,L
2021-11-22 08:10,2.503,H
2021-11-22 13:10,2.206,L
2021-11-22 16:14,2.063,H
2021-11-23 00:23,-0.306,L
2021-11-23 08:52,2.498,H
2021-11-24 01:04,-0.222,L
2021-11-24 09:37,2.480,H
2021-11-25 01:49,-0.102,L
2021-11-25 10:22,2.460,H
2021-11-26 02:38,0.053,L
2021-11-26 11:03,2.442,H
2021-11-27 03:31,0.246,L
2021-11-27 11:39,2.431,H
2021-11-27 19:32,1.526,L
2021-11-27 21:39,1.437,H
2021-11-28 04:28,0.476,L
2021-11-28 12:10,2.429,H
2021-11-28 19:18,1.226,L
2021-11-28 23:31,1.415,H
2021-11-29 05:27,0.742,L
2021-11-29 12:38,2.440,H
2021-11-29 19:32,0.834,L
2021-11-30 01:19,1.543,H
2021-11-30 06:26,1.032,L
2021-11-30 13:05,2.464,H
2021-11-30 20:00,0.383,L
