Date Time, Prediction, Type
2021-11-01 06:13,0.576,L
2021-11-01 13:17,2.238,H
2021-11-01 19:56,0.822,L
2021-11-02 01:25,1.615,H
2021-11-02 07:06,0.780,L
2021-11-02 13:32,2.257,H
2021-11-02 20:24,0.453,L
2021-11-03 02:46,1.793,H
2021-11-03 07:57,1.025,L
2021-11-03 13:53,2.287,H
2021-11-03 20:58,0.078,L
2021-11-04 04:01,1.991,H
2021-11-04 08:47,1.297,L
2021-11-04 14:17,2.322,H
2021-11-04 21:36,-0.258,L
2021-11-05 05:10,2.174,H
2021-11-05 09:38,1.569,L
2021-11-05 14:43,2.354,H
2021-11-05 22:18,-0.516,L
2021-11-06 06:16,2.316,H
2021-11-06 10:29,1.814,L
2021-11-06 15:12,2.370,H
2021-11-06 23:02,-0.665,L
2021-11-07 07:26,2.410,H
2021-11-07 11:24,2.008,L
2021-11-07 15:42,2.352,H
2021-11-07 23:50,-0.692,L
2021-11-08 08:36,2.464,H
2021-11-08 12:30,2.127,L
2021-11-08 16:11,2.286,H
2021-11-09 00:41,-0.605,L
2021-11-09 09:41,2.487,H
2021-11-09 14:14,2.138,L
2021-11-09 16:33,2.159,H
2021-11-10 01:35,-0.428,L
2021-11-10 10:39,2.486,H
2021-11-11 02:32,-0.189,L
2021-11-11 11:26,2.466,H
2021-11-12 03:28,0.090,L
2021-11-12 12:03,2.431,H
2021-11-12 18:59,1.406,L
2021-11-12 21:02,1.455,H
2021-11-13 04:24,0.385,L
2021-11-13 12:32,2.389,H
2021-11-13 19:25,1.093,L
2021-11-13 23:45,1.386,H
2021-11-14 05:21,0.678,L
2021-11-14 12:54,2.346,H
2021-11-14 19:53,0.786,L
2021-11-15 01:35,1.492,H
2021-11-15 06:15,0.954,L
2021-11-15 13:09,2.309,H
2021-11-15 20:20,0.504,L
2021-11-16 02:52,1.649,H
2021-11-16 07:05,1.206,L
2021-11-16 13:20,2.282,H
2021-11-16 20:46,0.260,L
2021-11-17 03:57,1.819,H
2021-11-17 07:52,1.430,L
2021-11-17 13:33,2.263,H
2021-11-17 21:11,0.062,L
2021-11-18 04:51,1.978,H
2021-11-18 08:38,1.621,L
2021-11-18 13:50,2.244,H
2021-11-18 21:36,-0.088,L
2021-11-19 05:40,2.112,H
2021-11-19 09:24,1.780,L
2021-11-19 14:10,2.218,H
2021-11-19 22:04,-0.189,L
2021-11-20 06:28,2.213,H
2021-11-20 10:11,1.908,L
2021-11-20 14:29,2.185,H
2021-11-20 22:35,-0.241,L
2021-11-21 07:17,2.283,H
2021-11-21 10:59,2.008,L
2021-11-21 14:43,2.149,H
2021-11-21 23:08,-0.247,L
2021-11-22 08:08,2.331,H
2021-11-22 11:54,2.080,L
2021-11-22 14:22,2.120,H
2021-11-22 23:43,-0.214,L
2021-11-23 08:59,2.364,H
2021-11-24 00:22,-0.147,L
2021-11-24 09:47,2.387,H
2021-11-25 01:03,-0.050,L
2021-11-25 10:29,2.399,H
2021-11-26 01:47,0.079,L
2021-11-26 10:59,2.397,H
2021-11-27 02:33,0.249,L
2021-11-27 11:17,2.386,H
2021-11-28 03:22,0.466,L
2021-11-28 11:27,2.379,H
2021-11-28 19:03,1.178,L
2021-11-28 22:07,1.306,H
2021-11-29 04:16,0.731,L
2021-11-29 11:39,2.389,H
2021-11-29 19:01,0.826,L
2021-11-30 00:28,1.412,H
2021-11-30 05:14,1.030,L
2021-11-30 11:58,2.418,H
2021-11-30 19:23,0.418,L
