Date Time, Prediction, Type
2021-10-01 05:25,0.155,L
2021-10-01 14:10,2.097,H
2021-10-01 20:08,1.624,L
2021-10-01 22:19,1.669,H
2021-10-02 06:19,0.143,L
2021-10-02 14:33,2.113,H
2021-10-02 20:05,1.472,L
2021-10-02 23:47,1.686,H
2021-10-03 07:08,0.166,L
2021-10-03 14:49,2.115,H
2021-10-03 20:23,1.256,L
2021-10-04 01:00,1.738,H
2021-10-04 07:53,0.246,L
2021-10-04 15:01,2.114,H
2021-10-04 20:51,0.987,L
2021-10-05 02:09,1.804,H
2021-10-05 08:36,0.396,L
2021-10-05 15:13,2.119,H
2021-10-05 21:25,0.680,L
2021-10-06 03:18,1.877,H
2021-10-06 09:20,0.615,L
2021-10-06 15:30,2.133,H
2021-10-06 22:02,0.364,L
2021-10-07 04:26,1.951,H
2021-10-07 10:03,0.889,L
2021-10-07 15:52,2.153,H
2021-10-07 22:42,0.070,L
2021-10-08 05:35,2.012,H
2021-10-08 10:46,1.190,L
2021-10-08 16:15,2.176,H
2021-10-08 23:26,-0.166,L
2021-10-09 06:52,2.055,H
2021-10-09 11:33,1.486,L
2021-10-09 16:41,2.191,H
2021-10-10 00:14,-0.318,L
2021-10-10 08:21,2.098,H
2021-10-10 12:25,1.741,L
2021-10-10 17:08,2.185,H
2021-10-11 01:06,-0.378,L
2021-10-11 09:54,2.159,H
2021-10-11 13:30,1.922,L
2021-10-11 17:35,2.142,H
2021-10-12 02:04,-0.354,L
2021-10-12 11:14,2.229,H
2021-10-12 14:58,1.997,L
2021-10-12 18:02,2.049,H
2021-10-13 03:05,-0.264,L
2021-10-13 12:13,2.277,H
2021-10-14 04:09,-0.130,L
2021-10-14 12:57,2.291,H
2021-10-15 05:14,0.029,L
2021-10-15 13:32,2.276,H
2021-10-15 19:41,1.452,L
2021-10-15 22:50,1.617,H
2021-10-16 06:15,0.202,L
2021-10-16 14:01,2.243,H
2021-10-16 20:11,1.185,L
2021-10-17 00:37,1.611,H
2021-10-17 07:08,0.393,L
2021-10-17 14:24,2.203,H
2021-10-17 20:41,0.915,L
2021-10-18 02:01,1.661,H
2021-10-18 07:53,0.602,L
2021-10-18 14:42,2.163,H
2021-10-18 21:09,0.661,L
2021-10-19 03:12,1.732,H
2021-10-19 08:35,0.822,L
2021-10-19 14:54,2.127,H
2021-10-19 21:36,0.436,L
2021-10-20 04:15,1.812,H
2021-10-20 09:14,1.042,L
2021-10-20 15:05,2.097,H
2021-10-20 22:04,0.250,L
2021-10-21 05:11,1.889,H
2021-10-21 09:52,1.254,L
2021-10-21 15:20,2.069,H
2021-10-21 22:33,0.109,L
2021-10-22 06:05,1.955,H
2021-10-22 10:31,1.450,L
2021-10-22 15:38,2.038,H
2021-10-22 23:03,0.016,L
2021-10-23 07:02,2.006,H
2021-10-23 11:12,1.625,L
2021-10-23 15:56,2.004,H
2021-10-23 23:37,-0.029,L
2021-10-24 08:06,2.047,H
2021-10-24 11:58,1.773,L
2021-10-24 16:08,1.971,H
2021-10-25 00:14,-0.031,L
2021-10-25 09:15,2.086,H
2021-10-25 12:56,1.886,L
2021-10-25 15:54,1.947,H
2021-10-26 00:56,0.000,L
2021-10-26 10:24,2.131,H
2021-10-27 01:42,0.053,L
2021-10-27 11:23,2.178,H
2021-10-28 02:33,0.119,L
2021-10-28 12:06,2.215,H
2021-10-29 03:26,0.197,L
2021-10-29 12:35,2.234,H
2021-10-30 04:21,0.293,L
2021-10-30 12:55,2.236,H
2021-10-30 19:54,1.395,L
2021-10-30 22:05,1.446,H
2021-10-31 05:18,0.416,L
2021-10-31 13:06,2.233,H
2021-10-31 19:41,1.148,L
2021-10-31 23:55,1.486,H
